,ztfname,integral,phase,subtype
0,ZTF20acvziuf,129.4409572619,-12.088886899997306,norm
1,ZTF19acqehbt,193.77857615921715,-11.000000660002115,norm
2,ZTF20abqbzuv,169.8059331261124,-10.2213316999987,04gs
3,ZTF20acduffd,236.2983033292024,-10.206831169998622,91bg
4,ZTF18aaxdrjn,195.5717537359572,-10.18727019999642,norm
5,ZTF18acsyzca,149.2077208523059,-9.989981350001472,norm
6,ZTF18acehilk,155.72494317551377,-9.705358109997178,norm
7,ZTF20acduffd,196.48684522176197,-9.206831169998622,91bg
8,ZTF20aazkxcw,232.8772319679412,-8.92959633999999,norm
9,ZTF18achbllm,135.8796750109331,-8.466060020000441,norm
10,ZTF19aanhgqg,178.30460110586694,-8.146012270000938,91bg
11,ZTF19aauhwbp,157.2535932708377,-8.052009090002684,91bg
12,ZTF20aammhli,207.74678950841772,-7.721517860001768,91bg
13,ZTF19acynije,194.2371355287548,-7.475000869999349,86G
14,ZTF20acduffd,202.8041758974462,-7.2068311699986225,91bg
15,ZTF18aaxdrjn,142.91976986377517,-7.187270199996419,norm
16,ZTF19aanhgqg,158.09474197275773,-7.146012270000938,91bg
17,ZTF20aazhzna,163.24786869056032,-6.909999089999474,norm
18,ZTF20aaymbjk,162.98413441867916,-6.811501479998697,norm
19,ZTF18aabstmw,182.50237133013215,-6.750250680001045,91bg
20,ZTF18aabstmw,219.87605097114027,-6.750250680001045,91bg
21,ZTF20aahqbib,170.44720715330232,-6.434718359996623,norm
22,ZTF19adcdgca,154.50727983201296,-5.932117559998005,nan
23,ZTF19abzlsbl,165.31268698694095,-5.63650133000192,91bg
24,ZTF19abbytxa,140.51554222308954,-5.61972231999971,norm
25,ZTF20acuosvy,148.7235685889654,-5.615248249996512,91bg
