filename,ztfname,phase,V_Sil_5972_median,pEW_Sil_5972_median_trap,FWHMA_Sil_5972_median,V_sil_5972_err_final_low,V_sil_5972_err_final_high,pEW_err_trap_low_5972_final,pEW_err_trap_high_5972_final,FWHMA_err_low_5972_final,FWHMA_err_high_5972_final,est_pEW_5972,New_Type
ZTF18aabtiph_20180304_MDM-2.4_0.ascii,ZTF18aabtiph,2.24881916276584,-1.155,9.569,107.947,0.02,0.021,0.271,0.222,1.987,1.551,,normal
ZTF18aagstdc_20180410_MDM-2.4_0.ascii,ZTF18aagstdc,3.38491569437191,-1.198,18.688,111.333,0.063,0.063,0.284,0.309,1.22,1.185,,normal
ZTF18aagtcxj_20180410_P200_0.ascii,ZTF18aagtcxj,3.9227337702935,-1.098,18.131,97.47,0.021,0.021,0.666,0.717,2.884,3.886,,normal
ZTF18aahfbqp_20201224_LCO-FLOYDS_0.ascii,ZTF18aahfbqp,-1.76397616353219,,,,,,,,,,2.83,SN Ia
ZTF18aahfgsk_20180410_APO_0.ascii,ZTF18aahfgsk,2.34694140547156,-1.146,15.305,101.099,0.025,0.022,1.353,1.786,6.734,9.447,,normal
ZTF18aahfzea_20180408_NTT_0.ascii,ZTF18aahfzea,-4.23503179648378,-1.101,4.923,47.583,0.021,0.021,0.283,0.529,2.431,4.106,,normal
ZTF18aahheaj_20180421_Ekar_0.ascii,ZTF18aahheaj,2.7129398486026,-0.949,13.679,85.003,0.065,0.022,1.734,4.896,12.336,29.91,,normal
ZTF18aahjafd_20180421_APO_0.ascii,ZTF18aahjafd,-1.5155084746432,-1.303,9.979,158.01,0.037,0.049,1.484,0.863,11.45,12.085,,normal
ZTF18aahjaxz_20180418_SEDm_0.ascii,ZTF18aahjaxz,-0.15700610628478,-1.057,48.676,114.144,0.02,0.02,1.066,0.853,1.807,1.832,,91bg-like
ZTF18aahshhp_20200303_SEDm_0.ascii,ZTF18aahshhp,-0.284196435226927,,,,,,,,,,3.429,SN Ia
ZTF18aahtjsc_20190401_SEDm_0.ascii,ZTF18aahtjsc,-2.28998301870894,,,,,,,,,,10.882,SN Ia
