,wl,fl
0,3809.9,9.724818819918841e-17
1,3824.4,1.1799774638733137e-16
2,3839.0,7.289343467827332e-17
3,3853.5,4.3518366271212625e-17
4,3868.0,1.8550315580519026e-17
5,3882.5,1.08807680328338e-16
6,3897.0,1.5755382459806508e-16
7,3911.5,1.6426352731391253e-16
8,3926.0,1.2215825931635577e-16
9,3940.5,7.190466671816812e-17
10,3955.0,1.076675548315301e-16
11,3969.6,2.092851004046111e-16
12,3984.1,1.7262018914995825e-16
13,3998.7,2.067534685811884e-16
14,4013.3,1.5755123547019822e-16
15,4027.8,1.32943826066617e-16
16,4042.5,1.308759337235353e-16
17,4057.1,9.707204235066822e-17
18,4071.7,7.714466994259799e-17
19,4086.4,1.0510077521265781e-16
20,4101.1,1.5967227176288376e-16
21,4115.8,1.1337834732792536e-16
22,4130.6,1.2759875577677535e-16
23,4145.3,1.3266546635412762e-16
24,4160.2,1.5067925252463342e-16
25,4175.0,1.6053273533930475e-16
26,4189.9,1.1364063906285192e-16
27,4204.8,1.0359629718295007e-16
28,4219.8,1.1586477876444444e-16
29,4234.7,1.0350047148234895e-16
30,4249.8,9.745312858197896e-17
31,4264.9,9.119903995566494e-17
32,4280.0,9.090199317545407e-17
33,4295.2,9.483025168479762e-17
34,4310.4,5.2389914903670354e-17
35,4325.6,8.313863819071562e-17
36,4341.0,1.181531704222346e-16
37,4356.3,8.244611601755502e-17
38,4371.7,7.03990548481445e-17
39,4387.2,7.653148519615391e-17
40,4402.8,5.752547029632397e-17
41,4418.4,6.58464537411415e-17
42,4434.0,7.673307646638973e-17
43,4449.8,3.947033934518948e-17
44,4465.5,6.280229283599392e-17
45,4481.4,6.359160367256186e-17
46,4497.3,8.172378908465122e-17
47,4513.3,9.176941076932187e-17
48,4529.4,6.10338919288779e-17
49,4545.5,1.0571976340862926e-16
50,4561.7,1.4286102964228689e-16
51,4578.0,1.1839140585133404e-16
52,4594.4,9.726509923783464e-17
53,4610.8,7.697846390546177e-17
54,4627.3,1.0729751010005046e-16
55,4643.9,1.0686749306311502e-16
56,4660.6,9.921393346021176e-17
57,4677.4,9.35936681683105e-17
58,4694.3,7.571519183799215e-17
59,4711.2,1.0280586785320279e-16
60,4728.3,8.997716244357638e-17
61,4745.4,4.514214644329419e-17
62,4762.6,7.99209061468407e-17
63,4780.0,1.1980380874792147e-16
64,4797.4,5.712136251029841e-17
65,4814.9,7.373435953893936e-17
66,4832.5,9.211355348801649e-17
67,4850.3,4.403097692449937e-17
68,4868.1,6.137248591600646e-17
69,4886.0,7.748306120203729e-17
70,4904.1,6.519898749953859e-17
71,4922.2,4.029121725301084e-17
72,4940.5,7.354608039934381e-17
73,4958.8,5.895053243773753e-17
74,4977.3,4.331828237244133e-17
75,4995.9,5.1001480541911347e-17
76,5014.6,5.208608978307392e-17
77,5033.5,3.550076998245643e-17
78,5052.4,1.9793014992144224e-17
79,5071.5,3.3953364795638766e-17
80,5090.7,4.221827368856573e-17
81,5110.0,6.958058199952247e-17
82,5129.4,7.748149233412073e-17
83,5149.0,6.560390541259529e-17
84,5168.7,5.731187036325123e-17
85,5188.6,8.73490853656404e-17
86,5208.5,9.819083242029503e-17
87,5228.6,8.300268467328416e-17
88,5248.9,7.991068717432512e-17
89,5269.2,6.24677648754594e-17
90,5289.8,4.973362711922986e-17
91,5310.4,7.050765829284088e-17
92,5331.2,8.494728273017593e-17
93,5352.1,8.14598136663631e-17
94,5373.2,8.608347419158913e-17
95,5394.5,5.800177691068293e-17
96,5415.8,6.875804053590937e-17
97,5437.4,6.640376833015923e-17
98,5459.0,7.507326063329388e-17
99,5480.9,8.826983071725055e-17
100,5502.9,7.845848069575372e-17
101,5525.0,6.816290092525061e-17
102,5547.3,5.4884037290919804e-17
103,5569.8,6.604806489133064e-17
104,5592.4,5.3472430238367446e-17
105,5615.2,3.921938038014827e-17
106,5638.1,5.659273655110337e-17
107,5661.2,6.262679085892795e-17
108,5684.5,4.722234836396309e-17
109,5708.0,4.5277985853479064e-17
110,5731.6,5.968706415771508e-17
111,5755.4,6.732861003915487e-17
112,5779.3,5.615916243310043e-17
113,5803.5,5.5289425887552636e-17
114,5827.8,5.640323688173706e-17
115,5852.3,5.739564359833747e-17
116,5877.0,6.407409432949696e-17
117,5901.8,4.6097665730425505e-17
118,5926.8,3.8822186726562905e-17
119,5952.1,4.75535234683422e-17
120,5977.5,5.3883884306140797e-17
121,6003.1,5.314319844507562e-17
122,6028.8,6.402290713022107e-17
123,6054.8,5.225838169132225e-17
124,6081.0,6.568076784327905e-17
125,6107.3,4.311389363562319e-17
126,6133.9,3.593238696398974e-17
127,6160.6,5.0813204869454764e-17
128,6187.6,4.513631028692241e-17
129,6214.7,5.097859703928733e-17
130,6242.1,3.2020095762436205e-17
131,6269.6,3.2635620612787815e-17
132,6297.4,1.9559632519409336e-17
133,6325.3,2.988297182202072e-17
134,6353.5,4.634364176264102e-17
135,6381.8,5.977646368249402e-17
136,6410.4,3.757677446131701e-17
137,6439.2,5.3578295265254755e-17
138,6468.2,4.970899780165174e-17
139,6497.4,3.895330155765911e-17
140,6526.9,5.040686135831024e-17
141,6556.5,4.961922825237954e-17
142,6586.4,4.778085939189275e-17
143,6616.5,5.068552836951486e-17
144,6646.8,4.22582328654069e-17
145,6677.4,4.990818242579346e-17
146,6708.1,5.1535320479516373e-17
147,6739.1,5.095002942355754e-17
148,6770.3,4.683165965138299e-17
149,6801.8,4.2824792148032394e-17
150,6833.5,5.307896459037414e-17
151,6865.4,5.595086749872333e-17
152,6897.5,4.577964865325873e-17
153,6929.9,4.401909192701397e-17
154,6962.5,4.474059960561156e-17
155,6995.4,4.3355402638859936e-17
156,7028.5,4.220865923954273e-17
157,7061.8,4.485210389886702e-17
158,7095.4,4.191175722516528e-17
159,7129.3,3.8868323347748217e-17
160,7163.3,5.0483561969665647e-17
161,7197.6,4.6132594538233094e-17
162,7232.2,2.720888630555436e-17
