,wl,fl
0,3600.0,2.021540639344698e-16
1,3601.525,2.378016699743522e-16
2,3603.05,2.0787866134573964e-16
3,3604.575,2.0865652193017067e-16
4,3606.1,2.176519377118997e-16
5,3607.625,2.267555833457528e-16
6,3609.15,2.192723595092432e-16
7,3610.675,2.2899437814908397e-16
8,3612.2,2.1203525276906493e-16
9,3613.725,1.9431692475158108e-16
10,3615.25,2.099978731255779e-16
11,3616.775,2.0635797624513557e-16
12,3618.3,1.992341102030168e-16
13,3619.825,2.1210301718853734e-16
14,3621.35,2.2841202297849396e-16
15,3622.875,1.6761852560932631e-16
16,3624.4,1.6855973365875275e-16
17,3625.925,1.9229204027550974e-16
18,3627.45,1.8663431394044926e-16
19,3628.975,1.852852452103855e-16
20,3630.5,2.0852761562067188e-16
21,3632.025,1.982251857177391e-16
22,3633.55,2.0747833007176919e-16
23,3635.075,2.0135421194904144e-16
24,3636.6,1.7730354570692626e-16
25,3638.125,1.8439714458804667e-16
26,3639.65,1.9036196633835954e-16
27,3641.175,1.7947501842100057e-16
28,3642.7,1.9592155894527833e-16
29,3644.225,2.200822667192509e-16
30,3645.75,2.0570154520896017e-16
31,3647.275,1.9684408558141747e-16
32,3648.8,2.0489122984706616e-16
33,3650.325,2.1228709461741035e-16
34,3651.85,2.266806825253246e-16
35,3653.375,1.877380806514785e-16
36,3654.9,2.1364259784459287e-16
37,3656.425,2.007392624573555e-16
38,3657.95,1.6043228362357363e-16
39,3659.475,1.9886603955990645e-16
40,3661.0,2.151242261574946e-16
41,3662.525,2.1682350184636442e-16
42,3664.05,2.1703653343633764e-16
43,3665.575,2.1984218689865191e-16
44,3667.1,2.2020701775739582e-16
45,3668.625,2.0095966220938426e-16
46,3670.15,2.0872263658443596e-16
47,3671.675,2.026770376163368e-16
48,3673.2,1.8194502396857855e-16
49,3674.725,1.8376394831957349e-16
50,3676.25,1.8476931982965418e-16
51,3677.775,2.013390275873609e-16
52,3679.3,2.2823357382546353e-16
53,3680.825,2.002796269325118e-16
54,3682.35,1.661338264316415e-16
55,3683.875,1.7857053146851946e-16
56,3685.4,1.8048687278526593e-16
57,3686.925,1.879991941559082e-16
58,3688.45,1.655468731569001e-16
59,3689.975,1.5107704799654105e-16
60,3691.5,1.6378398635316478e-16
61,3693.025,1.7027668905155873e-16
62,3694.55,1.6434184783204352e-16
63,3696.075,1.5631435573345265e-16
64,3697.6,1.707552364058245e-16
65,3699.125,1.9712339465115044e-16
66,3700.65,1.7753680907215122e-16
67,3702.175,1.6741694151863209e-16
68,3703.7,1.70981141335968e-16
69,3705.225,1.7707154613984805e-16
70,3706.75,1.5243418201915203e-16
71,3708.275,1.724678457385669e-16
72,3709.8,1.7827597862417668e-16
73,3711.325,1.9726758941787483e-16
74,3712.85,1.8225905814741684e-16
75,3714.375,1.9321636127332033e-16
76,3715.9,2.0050890803035178e-16
77,3717.425,1.8068772016644154e-16
78,3718.95,1.5844976292838143e-16
79,3720.475,2.0780422024258587e-16
80,3722.0,2.2022345348718384e-16
81,3723.525,2.1010537234990703e-16
82,3725.05,1.980689823250789e-16
83,3726.575,1.8514417587752204e-16
84,3728.1,1.9627296553567868e-16
85,3729.625,1.9222615115398796e-16
86,3731.15,1.6514616871355032e-16
87,3732.675,1.8503260481264408e-16
88,3734.2,1.9130475309497544e-16
89,3735.725,1.9526803824565588e-16
90,3737.25,1.7011926900752707e-16
91,3738.775,1.8131186097250883e-16
92,3740.3,1.8099409680402033e-16
93,3741.825,2.0795498826859694e-16
94,3743.35,1.8028272726964332e-16
95,3744.875,1.9282891723983983e-16
96,3746.4,2.0255696408416107e-16
97,3747.925,1.8062995731774502e-16
98,3749.45,1.9550529659902508e-16
99,3750.975,1.8886957915594898e-16
100,3752.5,1.752988784052851e-16
101,3754.025,1.8165627352977423e-16
102,3755.55,1.8637719874119823e-16
103,3757.075,1.8422811848619343e-16
104,3758.6,1.8414868965863825e-16
105,3760.125,1.9181646352641024e-16
106,3761.65,1.8346974288954873e-16
107,3763.175,1.7815709455019933e-16
108,3764.7,1.7842447629037852e-16
109,3766.225,1.7220203352000804e-16
110,3767.75,1.810393569821396e-16
111,3769.275,1.8635528452560365e-16
112,3770.8,1.8432570357106168e-16
113,3772.325,1.705959595283495e-16
114,3773.85,1.864634343866412e-16
115,3775.375,1.9685954837503367e-16
116,3776.9,1.8694353748508953e-16
117,3778.425,1.8955050987896031e-16
118,3779.95,1.9990259633066951e-16
119,3781.475,1.8350940235934268e-16
120,3783.0,1.8801187816816255e-16
121,3784.525,1.7502075796379e-16
122,3786.05,1.7811510150926798e-16
123,3787.575,2.0717218025790289e-16
124,3789.1,1.9783154611031477e-16
125,3790.625,1.9066830430991225e-16
126,3792.15,1.739742869587115e-16
127,3793.675,1.7864956905232338e-16
128,3795.2,2.1774338159122072e-16
129,3796.725,2.090099254732508e-16
130,3798.25,1.7727416846443128e-16
131,3799.775,1.7401084689077679e-16
132,3801.3,1.6788868190846342e-16
133,3802.825,1.7937505798454854e-16
134,3804.35,1.9357903659280225e-16
135,3805.875,1.762707096885998e-16
136,3807.4,1.8557965514621573e-16
137,3808.925,1.7516983120790875e-16
138,3810.45,1.7393183210177955e-16
139,3811.975,1.895420610028966e-16
140,3813.5,1.8378867116751088e-16
141,3815.025,1.7316316635146436e-16
142,3816.55,1.8674773837371267e-16
143,3818.075,1.9319675748038244e-16
144,3819.6,1.761081206655311e-16
145,3821.125,1.819507937772779e-16
146,3822.65,1.8883254355973596e-16
147,3824.175,1.7286013049624145e-16
148,3825.7,1.4325861848461433e-16
149,3827.225,1.470770722527845e-16
150,3828.75,1.488385334379537e-16
151,3830.275,1.5423717618367182e-16
152,3831.8,1.4480540061602034e-16
153,3833.325,1.4390390022373966e-16
154,3834.85,1.4282924065779168e-16
155,3836.375,1.4777291460341248e-16
156,3837.9,1.5305191939828704e-16
157,3839.425,1.3790616528089659e-16
158,3840.95,1.276966013114604e-16
159,3842.475,1.4056284917914276e-16
160,3844.0,1.3949918923762288e-16
161,3845.525,1.5549244215358987e-16
162,3847.05,1.409326444734381e-16
