,wl,fl
0,3299.8,8.648221111232669e-17
1,3300.8,1.2499588200112985e-16
2,3301.8,8.291084615848263e-17
3,3302.8,4.787790144420002e-17
4,3303.8,5.814516455675426e-17
5,3304.8,1.4662583968725012e-16
6,3305.8,1.9578927887294306e-16
7,3306.8,1.6219683106799629e-16
8,3307.8,1.3503240469577236e-17
9,3308.8,-4.6527532220563486e-17
10,3309.8,1.4118103388153753e-17
11,3310.8,-5.856425900445698e-17
12,3311.8,-1.8086730627041238e-16
13,3312.8,-9.707537848751319e-17
14,3313.8,-8.13801738791802e-17
15,3314.8,2.8127134547387406e-17
16,3315.8,-4.036635408314097e-18
17,3316.8,-6.191066060646233e-18
18,3317.8,7.508861931192073e-17
19,3318.8,1.4029861839733313e-16
20,3319.8,1.8850153060065573e-16
21,3320.8,3.988773194970823e-17
22,3321.8,-1.5884707761272277e-17
23,3322.8,6.469580351941864e-17
24,3323.8,1.1052396728545234e-16
25,3324.8,2.1551553936476476e-17
26,3325.8,-5.177255951610568e-17
27,3326.8,-8.593680186138714e-17
28,3327.8,-1.1892330383137775e-16
29,3328.8,-5.086797830699237e-17
30,3329.8,7.985732749174098e-17
31,3330.8,3.3225788840593606e-17
32,3331.8,1.0252426578039663e-16
33,3332.8,1.679391794567619e-16
34,3333.8,7.035666790876592e-17
35,3334.8,1.278762741154664e-16
36,3335.8,1.196860405748416e-16
37,3336.8,8.390887024161323e-17
38,3337.8,1.9121790805811052e-16
39,3338.8,2.2048158741956034e-16
40,3339.8,3.666625524259217e-17
41,3340.8,1.7862067840906246e-17
42,3341.8,1.1671718323420496e-16
43,3342.8,2.155219831008726e-17
44,3343.8,-1.3645383728747101e-17
45,3344.8,5.33245124059931e-17
46,3345.8,1.0966104083168989e-16
47,3346.8,2.670727224626324e-17
48,3347.8,1.5657644078226676e-17
49,3348.8,1.8744822604576482e-16
50,3349.8,2.3434168631847157e-16
51,3350.8,2.812706195281622e-16
52,3351.8,3.0494168634696754e-16
53,3352.8,1.5592902135902398e-16
54,3353.8,6.892524856824275e-17
55,3354.8,1.6074494989360852e-16
