,wl,fl
0,3700.0,2.376146272904564e-16
1,3725.6,3.323146939920302e-16
2,3751.1,2.9135043059678744e-16
3,3776.7,2.4404209969423345e-16
4,3802.3,3.415557430210647e-16
5,3827.9,2.8492608192754074e-16
6,3853.4,2.240933045565796e-16
7,3879.0,2.043633340023332e-16
8,3904.6,2.230459559816214e-16
9,3930.1,2.1338931924950793e-16
10,3955.7,1.6091622237498645e-16
11,3981.3,2.2528775895607346e-16
12,4006.8,2.8707405982284724e-16
13,4032.4,2.916336348031235e-16
14,4058.0,3.324821258847006e-16
15,4083.6,3.7286437262597937e-16
16,4109.1,3.3146519026286435e-16
17,4134.7,3.3094765282750005e-16
18,4160.3,2.768297406841148e-16
19,4185.8,3.0579977321209365e-16
20,4211.4,3.1933079649031914e-16
21,4237.0,3.569854067948596e-16
22,4262.6,3.3831624876583794e-16
23,4288.1,3.2439224678777296e-16
24,4313.7,3.5563016486288187e-16
25,4339.3,3.205588966346823e-16
26,4364.8,2.891786626903349e-16
27,4390.4,3.1182553191785896e-16
28,4416.0,2.909508033134866e-16
29,4441.6,2.5159483618291934e-16
30,4467.1,2.3861496942611206e-16
31,4492.7,2.1994246125038862e-16
32,4518.3,2.440835758456436e-16
33,4543.8,2.3830387722576167e-16
34,4569.4,2.2921195718242084e-16
35,4595.0,2.3284281990658273e-16
36,4620.5,2.6337414355235916e-16
37,4646.1,2.4351808924214415e-16
38,4671.7,2.8176945438243333e-16
39,4697.3,2.5025292328797284e-16
40,4722.8,2.8451917203056173e-16
41,4748.4,2.7852979547592038e-16
42,4774.0,2.719695437363829e-16
43,4799.5,2.6989613663311056e-16
44,4825.1,2.6066746158869503e-16
45,4850.7,2.3914805388803523e-16
46,4876.3,2.436888032612845e-16
47,4901.8,2.4061723308088045e-16
48,4927.4,2.3077422957297434e-16
49,4953.0,2.134813642612546e-16
50,4978.5,2.297110893813803e-16
51,5004.1,1.9707778707974122e-16
52,5029.7,1.7033478406442078e-16
53,5055.3,1.6039666676294893e-16
54,5080.8,1.7116484678106088e-16
55,5106.4,1.7216271388623182e-16
56,5132.0,1.7629281631809308e-16
57,5157.5,1.7821689546268746e-16
58,5183.1,1.7655056499797997e-16
59,5208.7,1.7893817657354525e-16
60,5234.2,1.7080815935623608e-16
61,5259.8,1.7539548539543019e-16
62,5285.4,1.7755465357142563e-16
63,5311.0,1.906636746960256e-16
64,5336.5,1.8440396157108687e-16
65,5362.1,1.6906421836027063e-16
66,5387.7,1.7364553467557882e-16
67,5413.2,1.7971615536353217e-16
68,5438.8,1.6568551224512356e-16
69,5464.4,1.5477588298555675e-16
70,5490.0,1.4468682030513006e-16
71,5515.5,1.4549826610037889e-16
72,5541.1,1.4069997505084731e-16
73,5566.7,1.516974717522268e-16
74,5592.2,1.4656192880894766e-16
75,5617.8,1.3732166343389382e-16
76,5643.4,1.3323275932478458e-16
77,5668.9,1.2755357814683793e-16
78,5694.5,1.3499444075086169e-16
79,5720.1,1.4721215688866725e-16
80,5745.7,1.5338017093054226e-16
81,5771.2,1.5180368087971673e-16
82,5796.8,1.5239060674555163e-16
83,5822.4,1.5240952551244321e-16
84,5847.9,1.616300319288161e-16
85,5873.5,1.5789914180218744e-16
86,5899.1,1.4271555806258468e-16
87,5924.7,1.3866204177536748e-16
88,5950.2,1.321214756469697e-16
89,5975.8,1.2660811163395548e-16
90,6001.4,1.129188823124239e-16
91,6026.9,1.167336390519729e-16
92,6052.5,1.3204126281146148e-16
93,6078.1,1.3354770752689004e-16
94,6103.7,1.329073738067249e-16
95,6129.2,1.3238129924189977e-16
96,6154.8,1.4008981914333106e-16
97,6180.4,1.3933524803220977e-16
98,6205.9,1.31033342317434e-16
99,6231.5,1.4909041448640703e-16
100,6257.1,1.326893543897454e-16
101,6282.6,1.1194248179437267e-16
102,6308.2,9.971724531349995e-17
103,6333.8,8.46066254368895e-17
104,6359.4,8.12926532101016e-17
105,6384.9,7.957629431354102e-17
106,6410.5,8.611787182620282e-17
107,6436.1,9.189002041579437e-17
108,6461.6,1.0348304129521146e-16
109,6487.2,1.0736932954362265e-16
110,6512.8,1.1898609696616824e-16
111,6538.4,1.228374797299705e-16
112,6563.9,1.228833056232078e-16
113,6589.5,1.2829297581397335e-16
114,6615.1,1.3112784538509455e-16
115,6640.6,1.2413617903887414e-16
116,6666.2,1.2685858696871035e-16
117,6691.8,1.2779380153675487e-16
118,6717.4,1.2449274301125173e-16
119,6742.9,1.2409165141766897e-16
120,6768.5,1.2157533992778705e-16
121,6794.1,1.2518166641487996e-16
122,6819.6,1.2277880676252654e-16
123,6845.2,1.1604325338503675e-16
124,6870.8,1.1453625263342766e-16
125,6896.3,1.1325311183507484e-16
126,6921.9,1.1441243449237101e-16
127,6947.5,1.0844986753966236e-16
128,6973.1,1.0690560429408726e-16
129,6998.6,1.0387856046931291e-16
130,7024.2,9.63477299259216e-17
131,7049.8,9.335149387561433e-17
132,7075.3,9.622107249968483e-17
133,7100.9,9.716368642260062e-17
134,7126.5,8.763065252308877e-17
135,7152.1,8.54074546504603e-17
136,7177.6,9.156399956776957e-17
137,7203.2,8.869017657664933e-17
138,7228.8,8.284267794309293e-17
139,7254.3,8.342584436964788e-17
140,7279.9,8.561610493855265e-17
141,7305.5,8.47439896739357e-17
142,7331.1,8.522596413480913e-17
143,7356.6,8.48609714117373e-17
144,7382.2,8.585887097057385e-17
145,7407.8,8.396710640123037e-17
146,7433.3,8.374614794261319e-17
147,7458.9,8.308642771913453e-17
148,7484.5,8.237263338622159e-17
149,7510.0,8.05748304146032e-17
150,7535.6,7.968800038148131e-17
151,7561.2,7.99735985164211e-17
152,7586.8,7.286222307019213e-17
153,7612.3,7.265934191190775e-17
154,7637.9,7.975800673645266e-17
155,7663.5,8.147437979210675e-17
156,7689.0,7.799192620738847e-17
157,7714.6,7.233052641523455e-17
158,7740.2,7.008914188522066e-17
159,7765.8,6.890766280937682e-17
160,7791.3,6.402314007613048e-17
161,7816.9,5.892589508954383e-17
162,7842.5,6.096332590592509e-17
163,7868.0,5.927836150239282e-17
164,7893.6,5.248475293663257e-17
165,7919.2,5.2979524201832896e-17
166,7944.7,5.817730353773844e-17
167,7970.3,6.213219310532154e-17
168,7995.9,6.440132838736206e-17
169,8021.5,6.542110819757156e-17
170,8047.0,6.31230541032614e-17
171,8072.6,6.129324153390439e-17
172,8098.2,6.465280704619776e-17
173,8123.7,6.708935072704181e-17
174,8149.3,6.809550294892226e-17
175,8174.9,6.949021967491753e-17
176,8200.5,6.526329330170636e-17
177,8226.0,6.136484152114497e-17
178,8251.6,6.183280741954229e-17
179,8277.2,6.210629333621623e-17
180,8302.7,6.270354666379932e-17
181,8328.3,6.534930536302153e-17
182,8353.9,5.84321068407789e-17
183,8379.5,5.314825683799371e-17
184,8405.0,5.574176647223124e-17
185,8430.6,5.919432255343849e-17
186,8456.2,5.674772592431809e-17
187,8481.7,4.848497121709593e-17
188,8507.3,4.517474094511116e-17
189,8532.9,4.323229691006091e-17
190,8558.4,3.939044159618292e-17
191,8584.0,3.449959379296266e-17
192,8609.6,2.9924144634991644e-17
193,8635.2,3.3377757468911845e-17
194,8660.7,4.245941068260917e-17
195,8686.3,4.225013312854131e-17
196,8711.9,4.119464760638852e-17
197,8737.4,3.937965716634071e-17
198,8763.0,4.139990281840336e-17
199,8788.6,4.804343724711407e-17
200,8814.2,5.261722394640319e-17
201,8839.7,5.876073171646781e-17
202,8865.3,5.935026861476368e-17
203,8890.9,5.585614782637123e-17
204,8916.4,5.508987612272471e-17
205,8942.0,5.247619206939705e-17
206,8967.6,4.9490723293931854e-17
207,8993.2,4.6795714744322716e-17
208,9018.7,4.439089929940321e-17
209,9044.3,4.49967989155263e-17
210,9069.9,4.6072030630982296e-17
211,9095.4,4.445765264230352e-17
212,9121.0,4.387973201353292e-17
213,9146.6,4.405893143189301e-17
214,9172.1,4.3449720819740776e-17
215,9197.7,4.17437756929676e-17
216,9223.3,3.724893481889047e-17
217,9248.9,3.206472298521206e-17
218,9274.4,3.6025582695877735e-17
219,9300.0,4.3963561069616696e-17
