,wl,fl
0,3700.0,2.2598111992835712e-15
1,3725.6,4.109009334936805e-15
2,3751.1,4.6391765543039435e-15
3,3776.7,5.679246345915679e-15
4,3802.3,6.709237092881114e-15
5,3827.9,7.851550090567669e-15
6,3853.4,8.468301484266077e-15
7,3879.0,7.801731467352769e-15
8,3904.6,8.101332348560726e-15
9,3930.1,9.999890173698321e-15
10,3955.7,8.54793626434051e-15
11,3981.3,8.761129258694185e-15
12,4006.8,9.268204973058494e-15
13,4032.4,1.2668167689951316e-14
14,4058.0,1.338638945809148e-14
15,4083.6,1.3656851007342193e-14
16,4109.1,1.3725966569109994e-14
17,4134.7,1.4118209545169044e-14
18,4160.3,1.4208888310792245e-14
19,4185.8,1.3608887525921447e-14
20,4211.4,1.3465853485952058e-14
21,4237.0,1.4034668353462487e-14
22,4262.6,1.3657983682711173e-14
23,4288.1,1.3781537164008082e-14
24,4313.7,1.3061431547859009e-14
25,4339.3,1.3185101969739403e-14
26,4364.8,1.4727005694780433e-14
27,4390.4,1.610052988657068e-14
28,4416.0,1.5823339326633368e-14
29,4441.6,1.689554524398803e-14
30,4467.1,1.7369612391557023e-14
31,4492.7,1.8085897680360104e-14
32,4518.3,1.8679838045160087e-14
33,4543.8,1.8732786553903525e-14
34,4569.4,1.8818736998158814e-14
35,4595.0,1.8981724833745577e-14
36,4620.5,1.8814554592071596e-14
37,4646.1,1.9296380015672936e-14
38,4671.7,1.8437177014699358e-14
39,4697.3,1.746945798497923e-14
40,4722.8,1.7194492235519194e-14
41,4748.4,1.7577908337518023e-14
42,4774.0,1.794999618240282e-14
43,4799.5,1.863938093851127e-14
44,4825.1,1.8583763470140964e-14
45,4850.7,1.929400524157499e-14
46,4876.3,1.9096263025900023e-14
47,4901.8,1.8440153087797252e-14
48,4927.4,1.90514050931322e-14
49,4953.0,1.9836677620767043e-14
50,4978.5,2.0185054488014648e-14
51,5004.1,2.0053620514560474e-14
52,5029.7,1.958484429568337e-14
53,5055.3,1.9094992200007603e-14
54,5080.8,1.9236962946387813e-14
55,5106.4,1.947678185969553e-14
56,5132.0,1.9075240093703853e-14
57,5157.5,1.8913316078611113e-14
58,5183.1,1.7926476383477888e-14
59,5208.7,1.6940782924283255e-14
60,5234.2,1.7181971568232257e-14
61,5259.8,1.844217641412039e-14
62,5285.4,1.9105296262973837e-14
63,5311.0,1.9627128006447827e-14
64,5336.5,2.0202796251737127e-14
65,5362.1,2.0799699305721385e-14
66,5387.7,2.084454711666375e-14
67,5413.2,2.0867913582620407e-14
68,5438.8,2.0534712049773645e-14
69,5464.4,2.0774499878838264e-14
70,5490.0,2.074425412613379e-14
71,5515.5,2.07465790315253e-14
72,5541.1,2.0986372205240053e-14
73,5566.7,2.148495071432171e-14
74,5592.2,2.1746099066280053e-14
75,5617.8,2.148982130023276e-14
76,5643.4,2.1298490821885253e-14
77,5668.9,2.1333593430364593e-14
78,5694.5,2.1314914880989744e-14
79,5720.1,2.1350153447086712e-14
80,5745.7,2.156833328327183e-14
81,5771.2,2.1797229752834665e-14
82,5796.8,2.2047518963932364e-14
83,5822.4,2.2598600157369978e-14
84,5847.9,2.273046485729249e-14
85,5873.5,2.2808592479787188e-14
86,5899.1,2.1641494986005944e-14
87,5924.7,2.0432325075845078e-14
88,5950.2,2.0243178390066404e-14
89,5975.8,2.0740530678065007e-14
90,6001.4,2.1280490153422716e-14
91,6026.9,2.116642651748844e-14
92,6052.5,2.123458873257204e-14
93,6078.1,2.1206357276626283e-14
94,6103.7,2.165999239456682e-14
95,6129.2,2.1738781650383466e-14
96,6154.8,2.1614226425326987e-14
97,6180.4,2.1382813232000608e-14
98,6205.9,2.105535796738214e-14
99,6231.5,2.0824316714417164e-14
100,6257.1,2.0764429914532962e-14
101,6282.6,2.072599209810042e-14
