,wl,fl
0,3700.0,3.7336959294964e-17
1,3725.6,7.840152985363976e-17
2,3751.1,3.1669454248751526e-19
3,3776.7,1.0818851030224878e-22
4,3802.3,4.6696436806592244e-17
5,3827.9,3.872811633109159e-18
6,3853.4,2.121344394622922e-18
7,3879.0,3.408708087745393e-18
8,3904.6,3.786148893014451e-17
9,3930.1,7.100686709672483e-17
10,3955.7,1.5076152798468327e-16
11,3981.3,1.2364367306234083e-16
12,4006.8,1.0197025433455913e-16
13,4032.4,1.0209743593196708e-16
14,4058.0,8.497597294546177e-17
15,4083.6,5.745760896100951e-17
16,4109.1,8.290733923454873e-17
17,4134.7,9.35570828511929e-17
18,4160.3,8.964720929585631e-17
19,4185.8,1.12122485066197e-16
20,4211.4,1.2081857076510105e-16
21,4237.0,1.388233769463248e-16
22,4262.6,1.0256477723589278e-16
23,4288.1,1.4428191334063653e-16
24,4313.7,1.0322972591679525e-16
25,4339.3,1.0668698295009305e-16
26,4364.8,5.343311024469265e-17
27,4390.4,7.912053477123727e-17
28,4416.0,7.516655670867355e-17
29,4441.6,6.381388945206447e-17
30,4467.1,9.297959999503791e-17
31,4492.7,1.0088122286711753e-16
32,4518.3,1.0500609474811475e-16
33,4543.8,1.1146969369606471e-16
34,4569.4,1.140317907887501e-16
35,4595.0,1.249423409966061e-16
36,4620.5,1.2661466425351808e-16
37,4646.1,1.0822476892903391e-16
38,4671.7,1.0255950890058111e-16
39,4697.3,1.0637129853069988e-16
40,4722.8,9.162605995234853e-17
41,4748.4,8.810816790963835e-17
42,4774.0,7.756223587161296e-17
43,4799.5,7.832243008881433e-17
44,4825.1,7.786948660303297e-17
45,4850.7,7.003733929573829e-17
46,4876.3,8.028416318703392e-17
47,4901.8,7.115289357319599e-17
48,4927.4,6.577095043249612e-17
49,4953.0,5.2335806780604467e-17
50,4978.5,5.2687119401068365e-17
51,5004.1,5.505111525237818e-17
52,5029.7,6.523112992999658e-17
53,5055.3,7.876958761882051e-17
54,5080.8,8.412613730845714e-17
55,5106.4,8.12702212887528e-17
56,5132.0,9.042968968394656e-17
57,5157.5,1.0877749300913493e-16
58,5183.1,1.1739511100818247e-16
59,5208.7,1.11378611118727e-16
60,5234.2,1.2020519272446535e-16
61,5259.8,1.1008179656453743e-16
62,5285.4,1.110042778601548e-16
