,wl,fl
0,3700.0,1.887972900615381e-16
1,3725.6,3.7263565549687535e-16
2,3751.1,3.4629699663867086e-16
3,3776.7,3.7327250705719013e-16
4,3802.3,2.438012284769429e-16
5,3827.9,3.058972808238968e-16
6,3853.4,2.955444199995669e-16
7,3879.0,2.679625416954606e-16
8,3904.6,1.9771135041308119e-16
9,3930.1,2.590119185751658e-16
10,3955.7,1.8054078460662887e-16
11,3981.3,2.2517872249777726e-16
12,4006.8,2.3555928047155276e-16
13,4032.4,3.1933828613894987e-16
14,4058.0,3.829631824849383e-16
15,4083.6,3.4816287441126477e-16
16,4109.1,3.6736512729998967e-16
17,4134.7,3.1349450771148313e-16
18,4160.3,3.1646002659134797e-16
19,4185.8,3.152054295240493e-16
20,4211.4,3.2450923465107776e-16
21,4237.0,4.0988517842935814e-16
22,4262.6,3.926124947497128e-16
23,4288.1,3.8856419125011945e-16
24,4313.7,3.8679841644221866e-16
25,4339.3,3.379472062308566e-16
26,4364.8,3.4962572643664104e-16
27,4390.4,3.4352039152744483e-16
28,4416.0,3.1369058554388244e-16
29,4441.6,2.508458582739814e-16
30,4467.1,2.2865260803128244e-16
31,4492.7,2.2640810248524693e-16
32,4518.3,2.3877549013806627e-16
33,4543.8,2.463707799519187e-16
34,4569.4,3.068209642077313e-16
35,4595.0,2.74162902801316e-16
36,4620.5,2.712549565180311e-16
37,4646.1,3.1355841632900886e-16
38,4671.7,3.2890365009605985e-16
39,4697.3,2.9395820700421386e-16
40,4722.8,3.0880392523403717e-16
41,4748.4,2.972665733787284e-16
42,4774.0,2.8933241655942943e-16
43,4799.5,2.862143559013969e-16
44,4825.1,2.644797191669377e-16
45,4850.7,2.5627378536653976e-16
46,4876.3,2.3611841691612506e-16
47,4901.8,2.6874871152428163e-16
48,4927.4,2.599757326324839e-16
49,4953.0,2.3552920412245323e-16
50,4978.5,2.2804979238096667e-16
51,5004.1,2.272702187530532e-16
52,5029.7,1.9388044739632903e-16
53,5055.3,1.9157987892832802e-16
54,5080.8,1.8166959048943667e-16
55,5106.4,1.951014584213453e-16
56,5132.0,1.9535266396773926e-16
57,5157.5,1.9307684018147208e-16
58,5183.1,2.2018268814203732e-16
59,5208.7,2.022580107925667e-16
60,5234.2,2.2389589643017504e-16
61,5259.8,2.1993253332113564e-16
62,5285.4,2.2533034647626334e-16
63,5311.0,2.2880484407327654e-16
64,5336.5,2.259376524061095e-16
65,5362.1,2.25707752315113e-16
66,5387.7,2.273917377473886e-16
67,5413.2,2.0832748361456235e-16
68,5438.8,1.9228100994815116e-16
69,5464.4,1.834093293923485e-16
70,5490.0,1.793133223658285e-16
71,5515.5,1.640609353753153e-16
72,5541.1,1.8503863684965885e-16
73,5566.7,1.649506815836138e-16
74,5592.2,1.57459837240636e-16
75,5617.8,1.7543441689452188e-16
76,5643.4,1.5304808095041093e-16
77,5668.9,1.5244626838136956e-16
78,5694.5,1.4924885609770687e-16
79,5720.1,1.4818185907239122e-16
80,5745.7,1.7305227975839392e-16
81,5771.2,1.8162978803754988e-16
82,5796.8,1.868991230253389e-16
83,5822.4,2.0733229222990402e-16
84,5847.9,1.9530279494840372e-16
85,5873.5,1.8423209126244574e-16
86,5899.1,1.7106769463600516e-16
87,5924.7,1.580416558622564e-16
88,5950.2,1.6401556563695005e-16
89,5975.8,1.5089912862776502e-16
90,6001.4,1.3382559019172855e-16
91,6026.9,1.2601285533264004e-16
92,6052.5,1.4881593745244952e-16
93,6078.1,1.4812475158359812e-16
94,6103.7,1.6948042617039619e-16
95,6129.2,1.6994264262674414e-16
96,6154.8,1.6551229488068295e-16
97,6180.4,1.8145759434672403e-16
98,6205.9,1.7935307872549518e-16
99,6231.5,1.6667448019626957e-16
100,6257.1,1.4030835592880471e-16
101,6282.6,1.416039249723349e-16
102,6308.2,1.277030843871571e-16
103,6333.8,1.0458381085331458e-16
104,6359.4,9.661216150828219e-17
105,6384.9,9.48791087445443e-17
106,6410.5,8.970132053050948e-17
107,6436.1,8.496993943971842e-17
108,6461.6,9.987057130468615e-17
109,6487.2,1.2420445124722875e-16
110,6512.8,1.2977178084582582e-16
111,6538.4,1.379827992486112e-16
112,6563.9,1.6000642202128406e-16
113,6589.5,1.5782504738098667e-16
114,6615.1,1.5461125241252113e-16
115,6640.6,1.673816043999081e-16
116,6666.2,1.6876076262745161e-16
117,6691.8,1.51769465661723e-16
118,6717.4,1.5499278051894117e-16
119,6742.9,1.6497613417679084e-16
120,6768.5,1.523754052953304e-16
121,6794.1,1.32006489216262e-16
122,6819.6,1.3489116442817213e-16
123,6845.2,1.4554606772211117e-16
124,6870.8,1.2899360848323817e-16
125,6896.3,1.261652255988816e-16
126,6921.9,1.2493763606119987e-16
127,6947.5,1.1937885846649223e-16
128,6973.1,1.2374052254635304e-16
129,6998.6,1.1693780187612581e-16
130,7024.2,1.0818689981953084e-16
131,7049.8,1.046443500660112e-16
132,7075.3,1.0998127213792737e-16
133,7100.9,1.0741872138672858e-16
134,7126.5,1.0546102837526054e-16
135,7152.1,1.0948182451801709e-16
136,7177.6,9.51174607567016e-17
137,7203.2,8.91408378704056e-17
138,7228.8,9.524656179403293e-17
139,7254.3,9.107625692872403e-17
140,7279.9,9.266332454044598e-17
141,7305.5,9.483540194095759e-17
142,7331.1,9.526661111238022e-17
143,7356.6,9.494191619686771e-17
144,7382.2,9.111265312352572e-17
145,7407.8,8.728866980204304e-17
146,7433.3,8.590102859827417e-17
147,7458.9,9.270231428827302e-17
148,7484.5,8.977304014183985e-17
149,7510.0,7.924478341789871e-17
150,7535.6,8.625009497376897e-17
151,7561.2,1.024987491094696e-16
152,7586.8,1.0088241246324548e-16
153,7612.3,8.694826658970396e-17
154,7637.9,8.32854008870204e-17
155,7663.5,8.301671746136882e-17
156,7689.0,7.976428434980551e-17
157,7714.6,6.897621942567831e-17
158,7740.2,5.469759972343435e-17
159,7765.8,5.108032184293459e-17
160,7791.3,4.824843581124891e-17
161,7816.9,4.460700664550139e-17
162,7842.5,5.499841784692615e-17
163,7868.0,5.628653847595382e-17
164,7893.6,4.358557311539761e-17
165,7919.2,4.584628430823328e-17
166,7944.7,5.971954508172775e-17
167,7970.3,6.560717099395256e-17
168,7995.9,5.785761077425922e-17
169,8021.5,6.136752355387078e-17
170,8047.0,7.926137350791724e-17
171,8072.6,8.316345681608424e-17
172,8098.2,7.534591959015613e-17
173,8123.7,7.449249417554198e-17
174,8149.3,8.346262605257548e-17
175,8174.9,8.912057637893564e-17
176,8200.5,8.535886142977677e-17
177,8226.0,8.288159361472296e-17
178,8251.6,8.133334170417998e-17
179,8277.2,7.308972020871679e-17
180,8302.7,5.979195539856981e-17
181,8328.3,5.59283545190639e-17
182,8353.9,6.98621937847373e-17
183,8379.5,7.597730171598027e-17
184,8405.0,6.523611654258179e-17
185,8430.6,5.976570340823052e-17
186,8456.2,5.916238058514031e-17
187,8481.7,4.871243265302225e-17
188,8507.3,3.880001745059482e-17
189,8532.9,3.915195685403283e-17
190,8558.4,4.255862049674121e-17
191,8584.0,3.756842401679008e-17
192,8609.6,3.6444616343961476e-17
193,8635.2,4.5893707355890584e-17
194,8660.7,4.7007528803975126e-17
195,8686.3,4.243035971547047e-17
196,8711.9,4.797737842918559e-17
197,8737.4,5.991356162148946e-17
198,8763.0,6.714929800114982e-17
199,8788.6,7.383384031015016e-17
200,8814.2,8.228902281726765e-17
201,8839.7,7.344172996450446e-17
202,8865.3,5.820111986309847e-17
203,8890.9,5.681622366245505e-17
204,8916.4,5.828302016171265e-17
205,8942.0,6.190193379383658e-17
206,8967.6,6.506197223492653e-17
207,8993.2,6.587329570671805e-17
208,9018.7,6.337216059738946e-17
209,9044.3,5.543417270565764e-17
210,9069.9,5.866997213688722e-17
211,9095.4,6.391839104413905e-17
212,9121.0,6.374307583395114e-17
213,9146.6,5.522095055125205e-17
214,9172.1,6.415195761846135e-17
215,9197.7,7.132172253585292e-17
216,9223.3,5.567042417239485e-17
217,9248.9,5.324757004885632e-17
218,9274.4,6.724220827920852e-17
219,9300.0,6.699155277052172e-17
