,wl,fl
0,3700.0,3.19645829433237e-16
1,3725.6,2.0819029555310298e-16
2,3751.1,1.6930106864978492e-16
3,3776.7,1.878398698808792e-16
4,3802.3,1.8039363374493906e-16
5,3827.9,1.650552386761896e-16
6,3853.4,1.7117751999754756e-16
7,3879.0,1.7587376388258994e-16
8,3904.6,2.0937770139026073e-16
9,3930.1,1.7900382026998111e-16
10,3955.7,2.6552432978656597e-16
11,3981.3,3.26901704749643e-16
12,4006.8,3.5475624469992057e-16
13,4032.4,3.047780155616037e-16
14,4058.0,2.9689582159506035e-16
15,4083.6,2.761616209942244e-16
16,4109.1,2.5838246113820704e-16
17,4134.7,2.707399924327717e-16
18,4160.3,2.5951968610854736e-16
19,4185.8,2.960723694651365e-16
20,4211.4,2.730903572601994e-16
21,4237.0,2.613103096262905e-16
22,4262.6,2.541965152062616e-16
23,4288.1,2.3294322945267367e-16
24,4313.7,2.1694562966666417e-16
25,4339.3,2.2760703115793087e-16
26,4364.8,2.166196072124599e-16
27,4390.4,1.8069759438077488e-16
28,4416.0,1.8501411123675325e-16
29,4441.6,1.7848370848239924e-16
30,4467.1,1.998417361479754e-16
31,4492.7,2.0884411137690561e-16
32,4518.3,1.8598802413742194e-16
33,4543.8,2.0520878796026753e-16
34,4569.4,2.2324422383938586e-16
35,4595.0,2.301284003908636e-16
36,4620.5,2.169651388075423e-16
37,4646.1,2.0748865071160437e-16
38,4671.7,2.0420293484373677e-16
39,4697.3,1.955597410070226e-16
40,4722.8,1.9674421925992149e-16
41,4748.4,2.0032062574230182e-16
42,4774.0,1.8806833505817676e-16
43,4799.5,1.8084571506644223e-16
44,4825.1,1.6954658701015461e-16
45,4850.7,1.777978319667106e-16
46,4876.3,1.6913452397029653e-16
47,4901.8,1.6592911402417551e-16
48,4927.4,1.44951427063046e-16
49,4953.0,1.355520167988531e-16
50,4978.5,1.124452998060456e-16
51,5004.1,1.4572380867727413e-16
52,5029.7,1.4730074341033896e-16
53,5055.3,1.3455323752833583e-16
54,5080.8,1.4211339154636643e-16
55,5106.4,1.6047421568474374e-16
56,5132.0,1.7970962327041286e-16
57,5157.5,1.9026088379163512e-16
58,5183.1,1.8304468541199225e-16
59,5208.7,1.7067576080249296e-16
60,5234.2,1.8783752167337957e-16
61,5259.8,1.8255086381463199e-16
62,5285.4,1.7391172228889035e-16
63,5311.0,1.849949081469277e-16
64,5336.5,2.0132579237316946e-16
65,5362.1,1.5489598291523673e-16
66,5387.7,1.4742186612389457e-16
67,5413.2,1.361611026542548e-16
68,5438.8,1.3038503099153166e-16
69,5464.4,1.2484028132223988e-16
70,5490.0,1.2420918028555135e-16
71,5515.5,1.3282919819451985e-16
72,5541.1,1.2662789476943076e-16
73,5566.7,1.1091787634675784e-16
74,5592.2,1.1224712493006585e-16
75,5617.8,1.1140740969958514e-16
76,5643.4,1.0968041809971774e-16
77,5668.9,1.2506044886854893e-16
78,5694.5,1.3221024877454157e-16
79,5720.1,1.4035198327289282e-16
80,5745.7,1.411672223136186e-16
81,5771.2,1.2225367184948303e-16
82,5796.8,1.2041997430377084e-16
83,5822.4,1.1825655384599626e-16
84,5847.9,1.0723115925421504e-16
85,5873.5,1.1084067546103542e-16
86,5899.1,1.1045575901952304e-16
87,5924.7,1.0535273782381026e-16
88,5950.2,9.16612191768125e-17
89,5975.8,7.873348982951953e-17
90,6001.4,1.0703713842407415e-16
91,6026.9,1.1924329416185384e-16
92,6052.5,1.2470165872199715e-16
93,6078.1,1.2795124060836215e-16
94,6103.7,1.1731829811828737e-16
95,6129.2,8.041243092661778e-17
96,6154.8,6.189751539432119e-17
97,6180.4,2.7359657347345347e-17
98,6205.9,1.133710366794401e-17
99,6231.5,9.555902602102701e-21
100,6257.1,2.2610324566846007e-26
101,6282.6,4.4662840327164245e-18
102,6308.2,2.5104346024193928e-17
103,6333.8,5.069157986462175e-17
104,6359.4,6.66601232172008e-17
105,6384.9,7.559888199630696e-17
106,6410.5,9.020607817597084e-17
107,6436.1,1.0684896860427116e-16
108,6461.6,1.0937602937734749e-16
109,6487.2,1.0233585074781665e-16
110,6512.8,9.896635783256049e-17
111,6538.4,1.0377872960724344e-16
112,6563.9,9.981055745252387e-17
113,6589.5,9.585653867112723e-17
114,6615.1,1.0361254822144735e-16
115,6640.6,1.0278232263966791e-16
116,6666.2,1.1260177227169046e-16
117,6691.8,1.2116943910917193e-16
118,6717.4,2.2370198849517195e-16
119,6742.9,4.2683513526161885e-16
120,6768.5,4.982141205581836e-16
121,6794.1,4.185202060988788e-16
122,6819.6,2.257124950747277e-16
123,6845.2,1.0954417000879257e-16
124,6870.8,8.611876745330334e-17
125,6896.3,7.986476209079122e-17
126,6921.9,6.395767425389692e-17
127,6947.5,5.692566205509098e-17
128,6973.1,6.148180976264914e-17
129,6998.6,5.052921804373221e-17
130,7024.2,5.944402934308794e-17
131,7049.8,6.947854370448255e-17
132,7075.3,5.0268676389553105e-17
133,7100.9,3.867895726893829e-17
134,7126.5,4.2895441731199876e-17
135,7152.1,4.261712050013147e-17
136,7177.6,4.371290435810129e-17
137,7203.2,3.7757803335867935e-17
138,7228.8,4.3620970321805913e-17
139,7254.3,5.1132038973985777e-17
140,7279.9,4.942529565943203e-17
141,7305.5,5.186490486043231e-17
142,7331.1,6.967711534007809e-17
143,7356.6,7.279619513578176e-17
144,7382.2,6.006593164065145e-17
145,7407.8,6.484577330101167e-17
146,7433.3,4.918966006358486e-17
147,7458.9,2.7356485234071594e-17
148,7484.5,3.41243954709521e-17
149,7510.0,3.5217742803772414e-17
150,7535.6,2.1042017971681557e-17
151,7561.2,1.3069056006680973e-20
152,7586.8,1.3998114434213524e-20
153,7612.3,1.4410971940919778e-20
154,7637.9,1.665895858305966e-20
155,7663.5,1.580428141428299e-20
156,7689.0,1.0186413492698556e-20
157,7714.6,6.837394439464129e-21
158,7740.2,7.450680528790294e-21
159,7765.8,5.878358319989589e-21
160,7791.3,5.802040203304677e-27
161,7816.9,1.067243444877132e-21
162,7842.5,3.683313224824832e-21
163,7868.0,5.406679097237908e-21
164,7893.6,1.7295139976505092e-17
165,7919.2,1.4980161276785457e-20
166,7944.7,2.6914946980232784e-17
167,7970.3,3.988638083981854e-17
168,7995.9,2.796049300025139e-17
169,8021.5,1.6769606680476185e-17
