,wl,fl
0,3700.0,3.7592936105939034e-16
1,3725.6,1.9923666278756e-16
2,3751.1,2.2185523137846488e-16
3,3776.7,4.273569708441261e-16
4,3802.3,3.458786818097256e-16
5,3827.9,4.2802765836463775e-16
6,3853.4,3.2792428124727604e-16
7,3879.0,2.3404676334189175e-16
8,3904.6,3.7418277808416254e-16
9,3930.1,2.028740585749141e-16
10,3955.7,4.4020646576810115e-16
11,3981.3,5.354093327004737e-16
12,4006.8,7.384405422188269e-16
13,4032.4,8.196454564492989e-16
14,4058.0,7.170182937207028e-16
15,4083.6,5.878158753162624e-16
16,4109.1,5.581166304470391e-16
17,4134.7,5.781913874600442e-16
18,4160.3,5.786643376280844e-16
19,4185.8,5.451982390790355e-16
20,4211.4,5.578111383189237e-16
21,4237.0,5.211469634581697e-16
22,4262.6,4.726519114443054e-16
23,4288.1,5.281874048949227e-16
24,4313.7,4.594963541541702e-16
25,4339.3,4.848633612423272e-16
26,4364.8,4.246936584462295e-16
27,4390.4,3.571337363774469e-16
28,4416.0,3.7136077599484244e-16
29,4441.6,3.575793366193393e-16
30,4467.1,4.0387255823400635e-16
31,4492.7,4.062308717009192e-16
32,4518.3,5.062559364776364e-16
33,4543.8,5.509974190532733e-16
34,4569.4,5.993365228846804e-16
35,4595.0,6.309570787906414e-16
36,4620.5,6.719620704128492e-16
37,4646.1,6.653659071479878e-16
38,4671.7,6.211327749587711e-16
39,4697.3,5.825018646244662e-16
40,4722.8,5.727938118166106e-16
41,4748.4,5.267483907179856e-16
42,4774.0,5.102550437965454e-16
43,4799.5,4.971008079479562e-16
44,4825.1,4.796672540370953e-16
45,4850.7,5.208847506819597e-16
46,4876.3,4.617323390338877e-16
47,4901.8,4.800271658826955e-16
48,4927.4,4.712472722718835e-16
49,4953.0,4.478657078334176e-16
50,4978.5,3.722368193895769e-16
51,5004.1,3.4171001216190155e-16
52,5029.7,3.3020241042948904e-16
53,5055.3,3.5511104290698944e-16
54,5080.8,3.9193762191543844e-16
55,5106.4,3.9094375304411855e-16
56,5132.0,3.983820207380253e-16
57,5157.5,4.08551087071603e-16
58,5183.1,4.0089188845077643e-16
59,5208.7,4.031878128050623e-16
60,5234.2,4.26890291050708e-16
61,5259.8,4.177165418399145e-16
62,5285.4,3.981920115738503e-16
63,5311.0,4.0605942860309032e-16
64,5336.5,3.8885667117837673e-16
65,5362.1,3.969452554251873e-16
66,5387.7,3.5984441480269064e-16
67,5413.2,3.24958858447331e-16
68,5438.8,3.316605321852902e-16
69,5464.4,3.487962034070654e-16
