,wl,fl
0,3700.0,7.572367225768668e-16
1,3725.6,3.117843045420215e-24
2,3751.1,1.1036633058064956e-22
3,3776.7,2.281242801810038e-22
4,3802.3,1.123130164631846e-20
5,3827.9,1.500697792649199e-22
6,3853.4,2.7862934285560846e-21
7,3879.0,1.1757925106866264e-21
8,3904.6,5.4447086596282625e-21
9,3930.1,6.102245307964191e-17
10,3955.7,8.042129804217646e-24
11,3981.3,3.045533368521575e-23
12,4006.8,1.4314983284456007e-21
13,4032.4,6.420318633275785e-17
14,4058.0,1.5132962842468503e-16
15,4083.6,3.655419165263058e-24
16,4109.1,1.9540646978743928e-16
17,4134.7,1.6456997790676208e-16
18,4160.3,3.0505665744528843e-25
19,4185.8,1.008794422926302e-16
20,4211.4,2.497315566576047e-16
21,4237.0,3.4442000411881016e-16
22,4262.6,1.7132850861844986e-16
23,4288.1,3.182865162740733e-16
24,4313.7,5.163023241576662e-16
25,4339.3,2.611502177746634e-16
26,4364.8,2.9147330893343573e-16
27,4390.4,3.382216592686869e-16
28,4416.0,8.647705767598841e-17
29,4441.6,1.0328139495935056e-16
30,4467.1,1.6938392012401614e-16
31,4492.7,1.187122107610725e-16
32,4518.3,6.52215267713905e-17
33,4543.8,8.718732741198159e-17
34,4569.4,1.3720529200345325e-16
35,4595.0,1.4838202398446185e-16
36,4620.5,4.79386082078967e-17
37,4646.1,1.9884286122257917e-16
38,4671.7,5.450119476400531e-17
39,4697.3,2.604537683302539e-16
40,4722.8,1.0080495458335222e-16
41,4748.4,2.276623091080593e-16
42,4774.0,1.1162558013862427e-16
43,4799.5,1.594695245104198e-16
44,4825.1,1.2379384475742602e-16
45,4850.7,1.5048399175243473e-16
46,4876.3,1.6473653007001266e-16
47,4901.8,1.775337109222575e-16
48,4927.4,1.4406352928106999e-16
49,4953.0,3.3100055185629954e-17
50,4978.5,4.2185510410571104e-17
51,5004.1,1.3600179053144217e-16
52,5029.7,5.991033073577648e-17
53,5055.3,6.428059072376007e-17
54,5080.8,1.4707602028534074e-16
55,5106.4,1.2534493174523779e-16
56,5132.0,1.4381220661941174e-16
57,5157.5,1.8788910818344875e-16
58,5183.1,1.6482205764324014e-16
59,5208.7,2.4088635168385286e-16
60,5234.2,1.471055649563431e-16
61,5259.8,1.3995609079089878e-16
62,5285.4,1.2352234705360802e-16
63,5311.0,1.7560285678827765e-16
64,5336.5,1.4348993036808213e-16
65,5362.1,3.3313486456123796e-17
66,5387.7,7.927850986071947e-17
67,5413.2,5.802594950905004e-17
68,5438.8,1.4163868045764376e-16
69,5464.4,1.0554149323606962e-16
70,5490.0,1.153141581466971e-16
71,5515.5,1.112773907723752e-16
72,5541.1,1.0981756201515902e-16
73,5566.7,7.919848782236388e-17
74,5592.2,9.946445477420516e-18
75,5617.8,6.695176517382181e-17
76,5643.4,5.226030627821997e-17
77,5668.9,1.0142738098592416e-16
78,5694.5,8.052904474666559e-17
79,5720.1,7.709057415817043e-17
80,5745.7,1.423056704215143e-16
81,5771.2,1.0751172346525483e-16
82,5796.8,1.0687965549693507e-16
83,5822.4,6.116712406203287e-17
84,5847.9,8.414359808107576e-17
85,5873.5,1.6750374953077908e-17
86,5899.1,7.213323944967501e-17
87,5924.7,6.701465336710769e-17
88,5950.2,7.74284241966257e-17
89,5975.8,9.210459565179031e-17
90,6001.4,9.793979242568987e-17
91,6026.9,7.347379377931117e-17
92,6052.5,6.817375428650184e-17
93,6078.1,1.1196514265146727e-16
94,6103.7,1.5344501265227828e-16
95,6129.2,4.270050623277067e-17
96,6154.8,6.402232327598649e-17
97,6180.4,9.617056958780271e-17
98,6205.9,2.1178150930533254e-20
99,6231.5,1.5078486851508204e-17
100,6257.1,4.063205816474103e-17
101,6282.6,8.031023593286571e-17
