,wl,fl
0,3308.06,-1.0881610476148698e-17
1,3315.06,-1.6559447374484724e-16
2,3322.06,-1.9986625018868995e-16
3,3329.06,-3.165869250978651e-16
4,3336.06,-7.299267160097002e-16
5,3343.06,1.0141864532571295e-16
6,3350.06,-1.831270379921158e-16
7,3357.06,7.657469651137184e-17
8,3364.06,-1.2197696690499756e-16
9,3371.06,-2.035996621268571e-16
10,3378.06,-3.572048888342984e-16
11,3385.06,-1.4153125855270934e-16
12,3392.06,-3.9688466843478977e-16
13,3399.06,-1.4499554995602336e-17
14,3406.06,-1.7519423319236775e-16
15,3413.06,-1.9139077176596362e-16
16,3420.06,1.4834282779682185e-16
17,3427.06,-5.93056676579363e-16
18,3434.06,-6.610234170939551e-16
19,3441.06,-1.2908987243508273e-16
20,3448.06,-1.3064050544752192e-16
21,3455.06,-9.674727306945276e-17
22,3462.06,-1.2358854566706428e-16
23,3469.06,-1.2835315187492415e-16
24,3476.06,5.771234203672945e-17
25,3483.06,1.0554455397596683e-18
26,3490.06,1.0235824365128401e-16
27,3497.06,2.1266603019760063e-17
28,3504.06,1.633491166936499e-16
29,3511.06,4.425515369896932e-17
30,3518.06,-5.952073958112132e-17
31,3525.06,-5.65585566314668e-18
32,3532.06,-7.420306917240584e-17
33,3539.06,-1.2101612099419423e-16
34,3546.06,-7.392628713093704e-17
35,3553.06,-1.4969166274418778e-17
36,3560.06,5.2113999571089434e-17
37,3567.06,1.3347304683527972e-16
38,3574.06,2.8941132598460605e-16
39,3581.06,2.329031482321449e-16
40,3588.06,1.3578704556321474e-16
41,3595.06,1.5113491169816138e-16
42,3602.06,1.4023383799915197e-16
43,3609.06,1.4227803657861473e-16
44,3616.06,1.519472963596702e-16
45,3623.06,-5.417596805439731e-17
46,3630.06,9.512688368685094e-19
47,3637.06,8.327948079348117e-17
48,3644.06,1.605334535077406e-16
49,3651.06,-2.7413959690149624e-17
50,3658.06,1.1566541913038801e-16
51,3665.06,6.780934367686713e-17
52,3672.06,1.0818987420844622e-16
53,3679.06,2.1667785158522338e-16
54,3686.06,1.1779170922780568e-16
55,3693.06,3.733857035351472e-17
56,3700.06,1.104653845088001e-16
57,3707.06,3.3637334444725236e-17
58,3714.06,2.185430165075534e-16
59,3721.06,2.0440260096356542e-16
60,3728.06,1.8565827614282172e-16
61,3735.06,2.593380032229136e-16
62,3742.06,1.0556026359675633e-16
63,3749.06,1.0046571644112133e-17
64,3756.06,1.7656319710868655e-16
65,3763.06,8.431198161083892e-17
66,3770.06,1.5809765548940228e-16
67,3777.06,2.6514388261703718e-16
68,3784.06,1.719948885397599e-16
69,3791.06,3.960669675728365e-16
70,3798.06,1.875824912882516e-16
71,3805.06,2.833133491021075e-16
72,3812.06,2.752726917326611e-16
73,3819.06,2.7643910814501343e-16
74,3826.06,3.311185341262747e-16
75,3833.06,8.425602693532725e-17
76,3840.06,1.4104151084652483e-16
77,3847.06,2.0020770099808644e-16
78,3854.06,2.213327450536163e-16
79,3861.06,1.5936920892537503e-16
80,3868.06,1.3358509415239384e-16
81,3875.06,1.1928410620984855e-16
82,3882.06,1.9564206848669362e-16
83,3889.06,4.409672092352746e-17
84,3896.06,1.1497150282311185e-16
85,3903.06,2.3263041303337885e-16
86,3910.06,2.8810374431028333e-16
87,3917.06,1.6575705683914336e-16
88,3924.06,1.9354301480458915e-16
89,3931.06,1.5486218587758248e-16
90,3938.06,1.5773188781255242e-16
91,3945.06,1.1308310353406832e-16
92,3952.06,9.331221851591594e-17
93,3959.06,1.8264386031592414e-16
94,3966.06,2.3524568713669076e-16
95,3973.06,2.7461214824203353e-16
96,3980.06,1.540693107487137e-16
97,3987.06,3.566679726680741e-16
