,wl,fl
0,3700.0,1.0931949085976146e-15
1,3725.6,1.429130716196522e-15
2,3751.1,1.2901210718560597e-15
3,3776.7,1.3966325337362885e-15
4,3802.3,1.3190538191675617e-15
5,3827.9,1.0155137029384845e-15
6,3853.4,9.782609885161714e-16
7,3879.0,9.98925003504115e-16
8,3904.6,9.424360565349041e-16
9,3930.1,1.0526048605064257e-15
10,3955.7,1.223888498288923e-15
11,3981.3,1.624276067272353e-15
12,4006.8,1.535634320981411e-15
13,4032.4,1.5924441686938506e-15
14,4058.0,1.347503942733511e-15
15,4083.6,1.2247644867687023e-15
16,4109.1,1.2528121052653897e-15
17,4134.7,1.2996284886446451e-15
18,4160.3,1.4415161521812285e-15
19,4185.8,1.4273253678387618e-15
20,4211.4,1.3424266190068508e-15
21,4237.0,1.3349207755726095e-15
22,4262.6,1.3417619214044181e-15
23,4288.1,1.2261925872527596e-15
24,4313.7,1.1030556841626934e-15
25,4339.3,1.0199445395289811e-15
26,4364.8,1.0335673083662916e-15
27,4390.4,8.925451124858005e-16
28,4416.0,8.478745007191191e-16
29,4441.6,8.703677795699385e-16
30,4467.1,8.7329831952979e-16
31,4492.7,8.400302702655229e-16
32,4518.3,9.351571727876827e-16
33,4543.8,9.334453036624921e-16
34,4569.4,1.0147086324085867e-15
35,4595.0,1.0112019292583885e-15
36,4620.5,9.864992081974945e-16
37,4646.1,9.405273667155855e-16
38,4671.7,9.51502332494402e-16
39,4697.3,9.402105639240699e-16
40,4722.8,9.194544797691298e-16
41,4748.4,8.641825282897826e-16
42,4774.0,8.293504839030053e-16
43,4799.5,8.401744993664055e-16
44,4825.1,7.91704623448509e-16
45,4850.7,7.770001552995869e-16
46,4876.3,7.542784683844524e-16
47,4901.8,7.867556344139885e-16
48,4927.4,7.380188646185992e-16
49,4953.0,6.246926766236746e-16
50,4978.5,5.724251195048738e-16
51,5004.1,6.039763845185606e-16
52,5029.7,6.319254131575203e-16
53,5055.3,6.425316786832887e-16
54,5080.8,6.598413656625096e-16
55,5106.4,6.590793106998147e-16
56,5132.0,6.412465310017532e-16
57,5157.5,6.7788424683207355e-16
58,5183.1,7.270165417149507e-16
59,5208.7,7.168560016062185e-16
60,5234.2,7.213831237411067e-16
61,5259.8,6.92051755978102e-16
62,5285.4,6.822603065391848e-16
63,5311.0,6.8497970992953795e-16
64,5336.5,6.562575691098345e-16
65,5362.1,5.720190489149377e-16
66,5387.7,5.314324403353609e-16
67,5413.2,5.208914526763667e-16
68,5438.8,5.300362534438338e-16
69,5464.4,5.414339615430341e-16
70,5490.0,5.215643908512954e-16
71,5515.5,5.223323017974491e-16
72,5541.1,4.842421964503658e-16
73,5566.7,4.5348008006827e-16
74,5592.2,4.636127407709041e-16
75,5617.8,5.177038220488281e-16
76,5643.4,5.403516546438271e-16
77,5668.9,5.493782428594181e-16
78,5694.5,5.452248818704548e-16
79,5720.1,5.598157572015791e-16
80,5745.7,5.574860357891558e-16
81,5771.2,5.858722412110023e-16
82,5796.8,5.503779742649007e-16
83,5822.4,5.398255757076629e-16
84,5847.9,5.132468592459704e-16
85,5873.5,4.879685738314754e-16
86,5899.1,4.50635306087596e-16
87,5924.7,4.575431525293787e-16
88,5950.2,4.755525196500431e-16
89,5975.8,4.96646748036656e-16
90,6001.4,5.076989943354735e-16
91,6026.9,5.155460696944819e-16
92,6052.5,5.136846109052307e-16
93,6078.1,5.015908637744232e-16
94,6103.7,5.054916558193113e-16
95,6129.2,4.937294237565974e-16
96,6154.8,4.588608087309311e-16
97,6180.4,4.0995757745862587e-16
98,6205.9,3.6140316413659917e-16
99,6231.5,2.927633941047471e-16
100,6257.1,2.693793932581909e-16
101,6282.6,2.787681113247962e-16
102,6308.2,2.896399564580112e-16
103,6333.8,3.457889219046841e-16
104,6359.4,3.943609577396299e-16
105,6384.9,4.156028336821623e-16
106,6410.5,4.485152128943314e-16
107,6436.1,4.630403356995462e-16
