,wl,fl
0,3700.0,3.587761363457176e-16
1,3725.6,4.48948016392673e-16
2,3751.1,3.661667159826758e-16
3,3776.7,3.759306420679946e-16
4,3802.3,3.3082271187406217e-16
5,3827.9,4.921541387375272e-16
6,3853.4,4.188409606946943e-16
7,3879.0,3.7966275768491214e-16
8,3904.6,3.8302809146217265e-16
9,3930.1,2.7227141784866126e-16
10,3955.7,1.8041517100117368e-16
11,3981.3,2.3730873322118644e-16
12,4006.8,2.834760969967854e-16
13,4032.4,2.596738226302167e-16
14,4058.0,2.7726418574763605e-16
15,4083.6,3.7230623629466705e-16
16,4109.1,3.6820048080478826e-16
17,4134.7,4.5188104690353e-16
18,4160.3,4.1586026216801515e-16
19,4185.8,3.9248683623761456e-16
20,4211.4,3.6284189438835374e-16
21,4237.0,3.205355675341014e-16
22,4262.6,3.380886946696659e-16
23,4288.1,3.821927614584591e-16
24,4313.7,3.574737901522255e-16
25,4339.3,3.559124111161377e-16
26,4364.8,3.446691662908034e-16
27,4390.4,3.2860088665692107e-16
28,4416.0,2.7463880457512354e-16
29,4441.6,3.0234984191243416e-16
30,4467.1,2.8667276745152837e-16
31,4492.7,2.611453288291174e-16
32,4518.3,2.3521416933923666e-16
33,4543.8,2.2870614809285187e-16
34,4569.4,2.1246488193150666e-16
35,4595.0,2.3234453675300923e-16
36,4620.5,2.480459556072823e-16
37,4646.1,2.543324090735141e-16
38,4671.7,2.482749631775411e-16
39,4697.3,2.5619292144524968e-16
40,4722.8,2.6366709346320635e-16
41,4748.4,2.906399499304982e-16
42,4774.0,2.777207792452611e-16
43,4799.5,2.5839801288973277e-16
44,4825.1,2.721688606578963e-16
45,4850.7,2.598335485051088e-16
46,4876.3,2.562069473423421e-16
47,4901.8,2.634464001502189e-16
48,4927.4,2.368172297937917e-16
49,4953.0,2.3061236855390385e-16
50,4978.5,2.4772564357360546e-16
51,5004.1,2.2234652691641307e-16
52,5029.7,2.238542980285509e-16
53,5055.3,2.2720249217591357e-16
54,5080.8,2.0609900009625853e-16
55,5106.4,1.7690791670301834e-16
56,5132.0,1.696876881295723e-16
57,5157.5,1.3924984767594307e-16
58,5183.1,1.5268103222708157e-16
59,5208.7,1.676117691199123e-16
60,5234.2,1.675352162658799e-16
61,5259.8,1.8482030379346634e-16
62,5285.4,1.912053370932881e-16
63,5311.0,1.7603913904134396e-16
64,5336.5,1.8027160661139858e-16
65,5362.1,1.8923776589997374e-16
66,5387.7,1.8969738657850605e-16
67,5413.2,1.6972263314542777e-16
68,5438.8,1.5739818966364557e-16
69,5464.4,1.6539636101919996e-16
70,5490.0,1.8273553632091732e-16
71,5515.5,1.7364542187633126e-16
72,5541.1,1.5404290665180113e-16
73,5566.7,1.4400621567714584e-16
74,5592.2,1.4095028722188063e-16
75,5617.8,1.4475976797139974e-16
