,wl,fl
0,3700.0,1.7074268064393222e-16
1,3725.6,9.997652077120237e-16
2,3751.1,1.3052920596221281e-15
3,3776.7,1.7074628224778029e-15
4,3802.3,4.3071615703967967e-16
5,3827.9,9.78356259201309e-16
6,3853.4,5.336461625905326e-16
7,3879.0,7.41077018055997e-16
8,3904.6,3.2789124886180024e-16
9,3930.1,3.5163288414390643e-16
10,3955.7,2.4926114364788045e-16
11,3981.3,6.66626279541304e-16
12,4006.8,6.70019789095493e-16
13,4032.4,9.34530366916031e-16
14,4058.0,9.000093816531836e-16
15,4083.6,8.47167806483571e-16
16,4109.1,1.1940421944522451e-15
17,4134.7,1.5769449694121462e-15
18,4160.3,1.9669501842117147e-15
19,4185.8,2.2949814194744855e-15
20,4211.4,2.2461806765214595e-15
21,4237.0,2.2350542963948326e-15
22,4262.6,2.1768785013515316e-15
23,4288.1,1.9420874150863137e-15
24,4313.7,1.7210167912245607e-15
25,4339.3,1.4906766716243833e-15
26,4364.8,1.2197491240129809e-15
27,4390.4,1.060691081543411e-15
28,4416.0,8.110351512314762e-16
29,4441.6,9.127235916654795e-16
30,4467.1,1.0565949098709964e-15
31,4492.7,1.0958983982316584e-15
32,4518.3,1.3269821285190394e-15
33,4543.8,1.2953230970430268e-15
34,4569.4,1.3824471204651541e-15
35,4595.0,1.5080568813172041e-15
36,4620.5,1.6065275153140926e-15
37,4646.1,1.6424907937993977e-15
38,4671.7,1.6232875280044068e-15
39,4697.3,1.579133385630792e-15
40,4722.8,1.5142111354180322e-15
41,4748.4,1.3682324881458944e-15
42,4774.0,1.3678557942184539e-15
43,4799.5,1.1721303600344897e-15
44,4825.1,1.1510390543808418e-15
45,4850.7,1.1663130419975803e-15
46,4876.3,1.1410896544332666e-15
47,4901.8,1.0774774963092154e-15
48,4927.4,1.0429582459158973e-15
49,4953.0,9.61668579611172e-16
50,4978.5,8.867509170562753e-16
51,5004.1,8.96388226095522e-16
52,5029.7,8.445445001479102e-16
53,5055.3,8.72332981131347e-16
54,5080.8,9.259160691051012e-16
55,5106.4,9.778197596243612e-16
56,5132.0,1.0689612363776567e-15
57,5157.5,1.0287547170140514e-15
58,5183.1,1.05710977572904e-15
59,5208.7,1.0630973677714515e-15
60,5234.2,1.0918556453027533e-15
61,5259.8,1.0450702464924858e-15
62,5285.4,1.0810685948092792e-15
63,5311.0,1.1398110964488565e-15
64,5336.5,1.0423844186854033e-15
65,5362.1,9.691912749569028e-16
66,5387.7,9.151526668592757e-16
67,5413.2,7.900306627100943e-16
68,5438.8,8.284309540764213e-16
69,5464.4,7.848903407848647e-16
70,5490.0,9.183162361217632e-16
71,5515.5,8.519555203099797e-16
72,5541.1,8.184565841055094e-16
73,5566.7,8.091303431356592e-16
74,5592.2,8.283005767707694e-16
75,5617.8,8.451952669563451e-16
76,5643.4,8.114179004676184e-16
77,5668.9,8.99403737316781e-16
78,5694.5,8.923509999593934e-16
79,5720.1,9.861790104238421e-16
80,5745.7,9.568425065438096e-16
81,5771.2,9.743312641464738e-16
82,5796.8,9.70371199023019e-16
83,5822.4,9.891954782737623e-16
84,5847.9,9.054625163436495e-16
85,5873.5,8.251554252274183e-16
86,5899.1,8.297771237234028e-16
87,5924.7,8.47070645006365e-16
88,5950.2,8.161518954298992e-16
89,5975.8,8.111972916405645e-16
90,6001.4,8.839962384465555e-16
91,6026.9,9.060134136941539e-16
92,6052.5,8.970358677644199e-16
93,6078.1,8.215624438209303e-16
94,6103.7,8.14761663086153e-16
95,6129.2,7.797657957545968e-16
96,6154.8,7.07633022943209e-16
97,6180.4,6.326390821352197e-16
98,6205.9,5.571512638352935e-16
99,6231.5,5.236492836745027e-16
100,6257.1,4.23307487392753e-16
101,6282.6,4.523536809764772e-16
102,6308.2,4.706992327496079e-16
103,6333.8,4.710494247931999e-16
104,6359.4,5.027509319259535e-16
105,6384.9,5.782279989541364e-16
106,6410.5,6.51732953317072e-16
107,6436.1,7.289181600050859e-16
108,6461.6,7.672490013190218e-16
109,6487.2,8.005362076743535e-16
110,6512.8,7.899569883023574e-16
111,6538.4,7.746563961439818e-16
112,6563.9,7.656239619024248e-16
113,6589.5,7.680927894199875e-16
114,6615.1,7.509530557060008e-16
115,6640.6,7.560923018661891e-16
116,6666.2,7.684141532970708e-16
117,6691.8,7.130036290654733e-16
118,6717.4,6.843876354653571e-16
119,6742.9,7.112824705511523e-16
120,6768.5,7.74278388212927e-16
121,6794.1,8.046416401277819e-16
122,6819.6,7.065994118843294e-16
123,6845.2,6.067361340922301e-16
124,6870.8,5.561118838162406e-16
125,6896.3,5.265163896658886e-16
126,6921.9,5.095358804133123e-16
127,6947.5,5.3068540745633575e-16
128,6973.1,5.267229888090073e-16
129,6998.6,5.191756288501285e-16
130,7024.2,5.173670415690167e-16
131,7049.8,5.180173332626851e-16
132,7075.3,5.020752286434936e-16
133,7100.9,5.083597623992463e-16
134,7126.5,5.19762445345937e-16
135,7152.1,4.665585859925949e-16
136,7177.6,4.529857251009127e-16
137,7203.2,4.739102401517286e-16
138,7228.8,4.224727027615061e-16
139,7254.3,4.118783262488809e-16
140,7279.9,4.402691814808796e-16
141,7305.5,4.49112732761586e-16
142,7331.1,4.338134939923874e-16
143,7356.6,4.3866705907351923e-16
144,7382.2,4.3820146127109945e-16
145,7407.8,4.1513858469168805e-16
146,7433.3,4.1028021836181283e-16
147,7458.9,4.134986994079013e-16
148,7484.5,3.9801171252664927e-16
149,7510.0,3.9571256765048765e-16
150,7535.6,3.9208548467479017e-16
151,7561.2,3.765052502093797e-16
152,7586.8,3.14446566724542e-16
153,7612.3,2.8887016400604854e-16
154,7637.9,3.029279833818658e-16
155,7663.5,3.0207273671584953e-16
156,7689.0,2.980526191290607e-16
157,7714.6,3.204760705275762e-16
158,7740.2,3.4309819172919575e-16
159,7765.8,3.310111961193783e-16
160,7791.3,3.540350560894426e-16
161,7816.9,3.7205304947705187e-16
162,7842.5,3.7190515658676427e-16
163,7868.0,3.607396110102326e-16
164,7893.6,3.4723066928909e-16
165,7919.2,3.5157421861924916e-16
166,7944.7,3.590785393685997e-16
167,7970.3,3.6331808288354023e-16
168,7995.9,3.6245897610395874e-16
169,8021.5,3.661878687343432e-16
170,8047.0,3.619655067497003e-16
171,8072.6,3.3990798936487487e-16
172,8098.2,3.3232705276259213e-16
173,8123.7,3.3269631934256015e-16
174,8149.3,3.2807320785250643e-16
175,8174.9,3.23145812961182e-16
176,8200.5,2.896982004864546e-16
177,8226.0,2.5513813580142207e-16
178,8251.6,2.494066892228332e-16
179,8277.2,2.5080478235895983e-16
180,8302.7,2.5291564996265096e-16
181,8328.3,2.486123758193314e-16
182,8353.9,2.403402469283957e-16
183,8379.5,2.469307725604568e-16
184,8405.0,2.3947540038640186e-16
185,8430.6,2.1116014841980968e-16
186,8456.2,1.984192713156208e-16
187,8481.7,2.0196021241864322e-16
188,8507.3,2.1180804675493783e-16
189,8532.9,2.166697558325945e-16
190,8558.4,2.1797090917526188e-16
191,8584.0,2.0330460952933285e-16
192,8609.6,2.0806484052827243e-16
193,8635.2,2.372285888668645e-16
194,8660.7,2.5316962558737893e-16
195,8686.3,2.5558651417288335e-16
196,8711.9,2.7670805643462754e-16
197,8737.4,2.941670345456096e-16
198,8763.0,2.776760640638777e-16
199,8788.6,2.741969449888457e-16
200,8814.2,2.7214152122027054e-16
201,8839.7,2.6449823184262064e-16
202,8865.3,2.723004126362566e-16
203,8890.9,2.8416563322300634e-16
204,8916.4,2.6138777756841855e-16
205,8942.0,2.1535170803517936e-16
206,8967.6,2.4428411061658847e-16
207,8993.2,2.930180360882129e-16
208,9018.7,2.442490368630926e-16
209,9044.3,1.8198083010424743e-16
210,9069.9,1.7932834376067923e-16
211,9095.4,1.823607871849645e-16
212,9121.0,2.0163896429760298e-16
213,9146.6,2.7726000092695504e-16
214,9172.1,3.0414309874514804e-16
215,9197.7,2.4088215684519904e-16
216,9223.3,1.992499127702409e-16
217,9248.9,1.87463142461346e-16
218,9274.4,1.4868189862709553e-16
219,9300.0,2.0915585901324864e-16
