,wl,fl
0,3700.0,6.062119082592122e-16
1,3725.6,5.862652830562281e-16
2,3751.1,4.271019301397031e-16
3,3776.7,3.253052132697524e-16
4,3802.3,3.2912773363685787e-16
5,3827.9,3.6763118027237676e-16
6,3853.4,2.0481506622572236e-16
7,3879.0,3.8650381080843656e-16
8,3904.6,2.69007283679594e-16
9,3930.1,2.7362660649459583e-16
10,3955.7,3.1475380046139004e-16
11,3981.3,3.7691720101154414e-16
12,4006.8,3.80980435132538e-16
13,4032.4,4.2693863631734524e-16
14,4058.0,3.4969527828216915e-16
15,4083.6,3.877507473424508e-16
16,4109.1,2.419026346158501e-16
17,4134.7,3.444614648418421e-16
18,4160.3,2.856512684179309e-16
19,4185.8,2.9245065324724325e-16
20,4211.4,4.2903249530618244e-16
21,4237.0,3.55800708867892e-16
22,4262.6,3.870547991987831e-16
23,4288.1,3.557776391508225e-16
24,4313.7,3.720749541048653e-16
25,4339.3,3.1920200994933657e-16
26,4364.8,2.8726688349913577e-16
27,4390.4,2.0077138524337792e-16
28,4416.0,1.7000032130841145e-16
29,4441.6,1.7559073347299258e-16
30,4467.1,1.770167492982364e-16
31,4492.7,1.8719386633197476e-16
32,4518.3,2.351435316279792e-16
33,4543.8,2.0133768728305764e-16
34,4569.4,2.3923503384655763e-16
35,4595.0,2.596218389370342e-16
36,4620.5,2.5661852085864096e-16
37,4646.1,2.938249753261592e-16
38,4671.7,3.1044170241403123e-16
39,4697.3,3.1666486219052273e-16
40,4722.8,3.212105638926949e-16
41,4748.4,2.9335399529470127e-16
42,4774.0,2.879028189341372e-16
43,4799.5,2.769051758627331e-16
44,4825.1,2.2016065670200805e-16
45,4850.7,2.101211576062511e-16
46,4876.3,1.7247936638150046e-16
47,4901.8,1.9918111103079225e-16
48,4927.4,1.7434178996877934e-16
49,4953.0,1.6016463628014676e-16
50,4978.5,1.7100732379163608e-16
51,5004.1,1.2236676190123953e-16
52,5029.7,1.0388282607309456e-16
53,5055.3,9.679470829006115e-17
54,5080.8,1.3437670752619327e-16
55,5106.4,1.2448006124310757e-16
56,5132.0,1.638515362673913e-16
57,5157.5,1.5780652459854738e-16
58,5183.1,1.1468037784462338e-16
59,5208.7,1.3628238208082227e-16
60,5234.2,1.581908979103496e-16
61,5259.8,1.7941651811500849e-16
62,5285.4,1.801957380227053e-16
63,5311.0,1.6517191086651796e-16
64,5336.5,2.154317996911128e-16
65,5362.1,2.0446489746523813e-16
66,5387.7,2.0161977396204692e-16
67,5413.2,1.7128998148344684e-16
68,5438.8,1.603671672418199e-16
69,5464.4,1.376399685032801e-16
70,5490.0,1.3833876782481071e-16
71,5515.5,1.3084015236116698e-16
72,5541.1,1.1482737865150853e-16
73,5566.7,1.4971974199920927e-16
74,5592.2,1.2094389524729464e-16
75,5617.8,1.0341070749699849e-16
76,5643.4,9.419309036178228e-17
77,5668.9,9.639764148474533e-17
78,5694.5,1.1615459317003544e-16
79,5720.1,1.4496795809653367e-16
80,5745.7,1.5960445017736017e-16
81,5771.2,1.5877651001442422e-16
82,5796.8,1.489209164995824e-16
83,5822.4,1.857220112992561e-16
84,5847.9,1.493440936378202e-16
85,5873.5,1.4765483267145577e-16
86,5899.1,1.297850530369941e-16
87,5924.7,1.0114933094286274e-16
88,5950.2,8.963946501527924e-17
89,5975.8,9.800141012486225e-17
90,6001.4,1.0093527190056828e-16
91,6026.9,1.0693500316022382e-16
92,6052.5,1.2103547777645504e-16
93,6078.1,1.4092063813237857e-16
94,6103.7,1.456325223464996e-16
95,6129.2,1.543461994049075e-16
96,6154.8,1.4704031349622548e-16
97,6180.4,1.1800028163522688e-16
98,6205.9,9.685276256159482e-17
99,6231.5,7.032738308893196e-17
100,6257.1,5.202154318882825e-17
101,6282.6,4.445357973272527e-17
102,6308.2,4.13498987686623e-17
103,6333.8,3.638137942203382e-17
104,6359.4,4.840849607535744e-17
105,6384.9,5.911141707320434e-17
106,6410.5,6.728395063407288e-17
107,6436.1,9.837367860588454e-17
108,6461.6,1.1182719257484917e-16
109,6487.2,1.2804961646764093e-16
110,6512.8,1.359709947116148e-16
111,6538.4,1.3893631293932689e-16
112,6563.9,1.4921526939677076e-16
113,6589.5,1.4819472812924102e-16
114,6615.1,1.4459476762118812e-16
115,6640.6,1.4003031571031991e-16
116,6666.2,1.3879918312682634e-16
117,6691.8,1.2983668177615295e-16
118,6717.4,1.2614081546307714e-16
119,6742.9,1.2674033835155644e-16
120,6768.5,1.1854241366275194e-16
121,6794.1,1.2236115589874124e-16
122,6819.6,1.2617733098447886e-16
123,6845.2,1.1584487282262854e-16
124,6870.8,1.1205441054768962e-16
125,6896.3,1.111581396233502e-16
126,6921.9,1.0134497805931467e-16
127,6947.5,8.873500656480803e-17
128,6973.1,8.443519898037433e-17
129,6998.6,8.826573378644564e-17
130,7024.2,9.023335843234282e-17
131,7049.8,8.22721806293392e-17
132,7075.3,8.181571979855921e-17
