,wl,fl
0,3700.0,3.9910171562790863e-16
1,3725.6,5.658499826466961e-16
2,3751.1,3.930851887266458e-16
3,3776.7,7.701942173833507e-16
4,3802.3,3.184101617006871e-16
5,3827.9,6.00063677139895e-16
6,3853.4,2.152416356496695e-16
7,3879.0,4.927870487514679e-16
8,3904.6,6.801481898387853e-16
9,3930.1,5.434533665991328e-16
10,3955.7,5.321221015685279e-16
11,3981.3,6.087223453177711e-16
12,4006.8,7.851670192749767e-16
13,4032.4,9.925010755335008e-16
14,4058.0,7.697762779469634e-16
15,4083.6,9.273567925769476e-16
16,4109.1,8.370803853302068e-16
17,4134.7,8.251215057228507e-16
18,4160.3,8.898164127574144e-16
19,4185.8,1.0190176299908101e-15
20,4211.4,9.818642731146222e-16
21,4237.0,9.982220544392344e-16
22,4262.6,9.820626911606908e-16
23,4288.1,8.621372041857515e-16
24,4313.7,7.870560660552973e-16
25,4339.3,7.09838659992646e-16
26,4364.8,6.524224193640797e-16
27,4390.4,6.21467209236137e-16
28,4416.0,4.859111675365829e-16
29,4441.6,4.841079694169783e-16
30,4467.1,5.372860329670267e-16
31,4492.7,5.7355812513055415e-16
32,4518.3,6.307344407519748e-16
33,4543.8,5.353253311153335e-16
34,4569.4,5.835585342136606e-16
35,4595.0,6.254314978155422e-16
36,4620.5,6.369429633280617e-16
37,4646.1,6.531674398140691e-16
38,4671.7,6.495640744594345e-16
39,4697.3,5.952279627849627e-16
40,4722.8,6.144900661223624e-16
41,4748.4,5.860186397448497e-16
42,4774.0,5.577063895869743e-16
43,4799.5,4.672049021929358e-16
44,4825.1,4.356643065786958e-16
45,4850.7,4.2695523649235834e-16
46,4876.3,4.2381172500821023e-16
47,4901.8,4.01384421225068e-16
48,4927.4,4.38849354466097e-16
49,4953.0,3.97988358634768e-16
50,4978.5,3.732904584698996e-16
51,5004.1,3.66873013725069e-16
52,5029.7,3.157469127676808e-16
53,5055.3,3.50539390610362e-16
54,5080.8,3.4355468380845723e-16
55,5106.4,3.737306488212873e-16
56,5132.0,3.830580483862214e-16
57,5157.5,4.1319456845485433e-16
58,5183.1,4.0989981378760973e-16
59,5208.7,4.411229490436945e-16
60,5234.2,4.634641498229532e-16
61,5259.8,4.612253412942092e-16
62,5285.4,4.549084429637218e-16
63,5311.0,4.774081894231912e-16
64,5336.5,4.549107267611306e-16
65,5362.1,4.375306199440009e-16
66,5387.7,4.2429288267271317e-16
67,5413.2,3.562535005889054e-16
68,5438.8,3.6782975148868944e-16
69,5464.4,2.8689503007904987e-16
70,5490.0,3.2592505966405994e-16
71,5515.5,3.3375213328231086e-16
72,5541.1,3.359162924268832e-16
73,5566.7,3.214450172691277e-16
74,5592.2,3.2095774166717997e-16
75,5617.8,3.117821675861126e-16
76,5643.4,2.966296432292187e-16
77,5668.9,3.246046149052054e-16
78,5694.5,3.337252938542915e-16
79,5720.1,3.699534461157288e-16
80,5745.7,3.833771524810562e-16
81,5771.2,3.864275431885053e-16
82,5796.8,3.7675967550922726e-16
83,5822.4,3.820672986790104e-16
84,5847.9,3.658396542015776e-16
85,5873.5,3.6482574914452465e-16
86,5899.1,3.374739995031792e-16
87,5924.7,3.053300119074964e-16
88,5950.2,3.0257191174932243e-16
89,5975.8,3.145179909626899e-16
90,6001.4,3.067792956519329e-16
91,6026.9,3.296903340091712e-16
92,6052.5,3.3424419466867854e-16
93,6078.1,3.2246959130479257e-16
94,6103.7,3.2233114124278384e-16
95,6129.2,2.9211254819708543e-16
96,6154.8,2.714633900849544e-16
97,6180.4,2.4787782473771484e-16
98,6205.9,2.2110767916323816e-16
99,6231.5,2.0088197948487973e-16
100,6257.1,1.8238843561632364e-16
101,6282.6,1.771282028085234e-16
102,6308.2,1.6167835713288232e-16
103,6333.8,1.8831384694949026e-16
104,6359.4,1.9504659912502904e-16
105,6384.9,2.1617627026852246e-16
106,6410.5,2.387974172085671e-16
107,6436.1,2.7099304921023633e-16
108,6461.6,3.102944344030651e-16
109,6487.2,3.199177398022595e-16
110,6512.8,3.114817338056466e-16
111,6538.4,2.9987122336841635e-16
112,6563.9,3.015614086075676e-16
113,6589.5,2.97127483224128e-16
114,6615.1,3.0505346373068766e-16
115,6640.6,3.082565892241335e-16
116,6666.2,2.897300848674302e-16
117,6691.8,2.8393362849273486e-16
118,6717.4,2.8093815105149294e-16
119,6742.9,2.804819050919354e-16
120,6768.5,2.753472764338188e-16
121,6794.1,2.769166550754115e-16
122,6819.6,2.849153899538848e-16
123,6845.2,2.6580860533220804e-16
124,6870.8,2.485079264347885e-16
125,6896.3,2.462043979954332e-16
126,6921.9,2.356196536813566e-16
127,6947.5,2.28946252661266e-16
128,6973.1,2.284245566622738e-16
129,6998.6,2.1939889116751456e-16
130,7024.2,2.0989335572326792e-16
131,7049.8,2.161332531777809e-16
132,7075.3,2.1425730675182033e-16
133,7100.9,2.1001904574198695e-16
134,7126.5,2.0305488458008148e-16
135,7152.1,1.9449235690868298e-16
136,7177.6,1.9116081651726239e-16
137,7203.2,1.8151698345613306e-16
138,7228.8,1.7709353024229102e-16
139,7254.3,1.8355872361917612e-16
140,7279.9,1.9445215765987715e-16
141,7305.5,1.8731554334847716e-16
142,7331.1,1.7403728820087415e-16
143,7356.6,1.7616905304515479e-16
144,7382.2,1.8394723195148782e-16
145,7407.8,1.8385210814129164e-16
146,7433.3,1.717445069296185e-16
147,7458.9,1.6982739227678837e-16
148,7484.5,1.7476352736152016e-16
149,7510.0,1.6979444722367073e-16
150,7535.6,1.6471436173557472e-16
151,7561.2,1.6805520909947673e-16
152,7586.8,1.6298941146931023e-16
153,7612.3,1.545320730934929e-16
154,7637.9,1.5508062234566117e-16
155,7663.5,1.4847146292103028e-16
156,7689.0,1.4381714321224719e-16
157,7714.6,1.419567085682438e-16
158,7740.2,1.2535345490474468e-16
159,7765.8,1.1482580153743747e-16
160,7791.3,1.2675552991446912e-16
161,7816.9,1.3142991183677734e-16
162,7842.5,1.2502370512780866e-16
163,7868.0,1.2788803044502563e-16
164,7893.6,1.3482792667854535e-16
165,7919.2,1.371956543866545e-16
166,7944.7,1.4423127444590922e-16
167,7970.3,1.4921715455457756e-16
