,wl,fl
0,3700.0,8.827540566951878e-17
1,3725.6,2.7230278141394546e-16
2,3751.1,2.1169443120940397e-16
3,3776.7,1.8244542229214082e-16
4,3802.3,2.744858532915993e-16
5,3827.9,2.2067071379523946e-16
6,3853.4,2.444049969353469e-16
7,3879.0,2.2688588742090336e-16
8,3904.6,2.2561262485930183e-16
9,3930.1,1.8611629091917132e-16
10,3955.7,1.8735668097670615e-16
11,3981.3,2.664079126716677e-16
12,4006.8,3.1512789302048203e-16
13,4032.4,2.6197287120368536e-16
14,4058.0,2.417811881987755e-16
15,4083.6,1.9473191181169597e-16
16,4109.1,2.4436654788265433e-16
17,4134.7,2.5693031994563477e-16
18,4160.3,2.3622517618821185e-16
19,4185.8,2.692681526898971e-16
20,4211.4,3.024825500200824e-16
21,4237.0,2.380424783566158e-16
22,4262.6,2.656079051315795e-16
23,4288.1,2.639400299691242e-16
24,4313.7,2.2817059225421427e-16
25,4339.3,1.5894241604745953e-16
26,4364.8,1.960004430656731e-16
27,4390.4,1.914796970809347e-16
28,4416.0,1.401127214394617e-16
29,4441.6,1.4782250994962378e-16
30,4467.1,1.63112541206284e-16
31,4492.7,1.7848978834382359e-16
32,4518.3,1.6408126282384958e-16
33,4543.8,1.5437443396537167e-16
34,4569.4,1.9509936350436883e-16
35,4595.0,1.5491350320261836e-16
36,4620.5,1.9224385782400513e-16
37,4646.1,1.5867497371655712e-16
38,4671.7,1.8507392697927408e-16
39,4697.3,1.7917065806485092e-16
40,4722.8,1.620880404852089e-16
41,4748.4,1.784658941571203e-16
42,4774.0,1.5941954348910732e-16
43,4799.5,1.370855919840061e-16
44,4825.1,1.143420254738945e-16
45,4850.7,1.5466898525377783e-16
46,4876.3,1.476131427034905e-16
47,4901.8,1.4597085344717762e-16
48,4927.4,1.3496672342290075e-16
49,4953.0,1.451185293922939e-16
50,4978.5,1.5448876443727946e-16
51,5004.1,1.331679126699623e-16
52,5029.7,1.0556698281401335e-16
53,5055.3,1.014277783936615e-16
54,5080.8,1.4401035915932428e-16
55,5106.4,1.7650587107238105e-16
56,5132.0,1.6938662937754175e-16
57,5157.5,1.4047253814253562e-16
58,5183.1,1.579154654905676e-16
59,5208.7,1.754498823816592e-16
60,5234.2,1.592744407582351e-16
61,5259.8,1.9647216525972892e-16
62,5285.4,1.5713901162468258e-16
63,5311.0,1.328112110368497e-16
64,5336.5,1.1396783850094668e-16
65,5362.1,1.3300530996253855e-16
66,5387.7,1.3043180341283173e-16
67,5413.2,1.292791100826593e-16
68,5438.8,1.2344328938267243e-16
69,5464.4,1.3155328944904476e-16
70,5490.0,1.1799522987027687e-16
71,5515.5,1.175068442115107e-16
72,5541.1,1.1005920425595791e-16
73,5566.7,1.1283726140865033e-16
74,5592.2,1.2213336590561477e-16
75,5617.8,1.1817120743434467e-16
76,5643.4,1.1823008100397628e-16
77,5668.9,1.0873974777624506e-16
78,5694.5,1.4254044482182833e-16
79,5720.1,1.4627802842178638e-16
80,5745.7,1.3949937371571005e-16
81,5771.2,1.4139482337000463e-16
82,5796.8,1.2455220304053183e-16
83,5822.4,1.4225953304886778e-16
84,5847.9,1.2564727915777396e-16
85,5873.5,1.4723629359511153e-16
86,5899.1,1.3539372899618496e-16
87,5924.7,1.491805745704691e-16
88,5950.2,1.26432886195682e-16
89,5975.8,1.204455504512529e-16
90,6001.4,1.20294018556559e-16
91,6026.9,1.3363622810921613e-16
92,6052.5,1.29919772568496e-16
93,6078.1,1.2210723757473698e-16
94,6103.7,1.2238776331287517e-16
95,6129.2,1.1339828789462756e-16
96,6154.8,1.228413103595591e-16
97,6180.4,9.624622799011398e-17
98,6205.9,8.157929752972862e-17
99,6231.5,8.10668895716657e-17
100,6257.1,8.374010828005083e-17
101,6282.6,7.913991182159809e-17
102,6308.2,6.895102246739864e-17
103,6333.8,6.884165743104251e-17
104,6359.4,7.918842560072216e-17
105,6384.9,7.714221833306865e-17
106,6410.5,1.0073114734113771e-16
107,6436.1,1.2495910400532938e-16
108,6461.6,1.267417112039937e-16
109,6487.2,1.1908223777689498e-16
110,6512.8,1.1914958602307159e-16
111,6538.4,1.299378480021433e-16
112,6563.9,1.2496454505314931e-16
113,6589.5,1.2556556803909568e-16
114,6615.1,1.3162838521694644e-16
115,6640.6,1.273018787214787e-16
116,6666.2,1.2533274700017357e-16
117,6691.8,1.2507682472491958e-16
118,6717.4,1.213983610866541e-16
119,6742.9,1.3215712038175465e-16
120,6768.5,1.2676847933315336e-16
121,6794.1,1.2084915332113245e-16
122,6819.6,1.3170400484222562e-16
123,6845.2,1.6967350747789544e-16
124,6870.8,2.4134863237770542e-16
125,6896.3,2.470301069639051e-16
126,6921.9,2.0331795348763141e-16
127,6947.5,1.535568412283075e-16
128,6973.1,1.153420557537337e-16
129,6998.6,9.95850079681398e-17
130,7024.2,1.0601775340743987e-16
