,wl,fl
0,3700.0,1.6177613716438632e-16
1,3725.6,1.8532656180627786e-16
2,3751.1,1.671068060450632e-16
3,3776.7,6.211614605144498e-17
4,3802.3,1.3908017650683748e-16
5,3827.9,1.0396039013072904e-16
6,3853.4,2.51918628239784e-16
7,3879.0,1.3210422460209976e-16
8,3904.6,2.8594280846923184e-16
9,3930.1,2.1099945917513696e-16
10,3955.7,2.330511285184684e-16
11,3981.3,2.497763041543277e-16
12,4006.8,3.678834614709161e-16
13,4032.4,3.605714849202973e-16
14,4058.0,3.4362859838365746e-16
15,4083.6,3.2298790028822727e-16
16,4109.1,3.6606811136093815e-16
17,4134.7,2.9228376940303454e-16
18,4160.3,2.2367388455461775e-16
19,4185.8,3.1910852072576687e-16
20,4211.4,3.667524939431009e-16
21,4237.0,3.9067276713603564e-16
22,4262.6,3.3608602036258013e-16
23,4288.1,3.494242462193799e-16
24,4313.7,3.1615077548691264e-16
25,4339.3,2.7656783017939705e-16
26,4364.8,2.3084566314551683e-16
27,4390.4,1.896087775325031e-16
28,4416.0,1.3195211288438595e-16
29,4441.6,1.2401607532244468e-16
30,4467.1,1.3990535677401408e-16
31,4492.7,1.6481869004432382e-16
32,4518.3,1.652866330414612e-16
33,4543.8,1.1880841760298517e-16
34,4569.4,1.6157610918810787e-16
35,4595.0,1.8845896478430553e-16
36,4620.5,1.6844298786150654e-16
37,4646.1,2.3603500169116415e-16
38,4671.7,1.5143724741612378e-16
39,4697.3,1.822462633348773e-16
40,4722.8,1.9992883947982136e-16
41,4748.4,1.5306377447009709e-16
42,4774.0,1.3206314438344914e-16
43,4799.5,1.1079427554782951e-16
44,4825.1,1.091890334283186e-16
45,4850.7,9.232420059093825e-17
46,4876.3,8.69038931664916e-17
47,4901.8,9.945961562353596e-17
48,4927.4,5.868464076422727e-17
49,4953.0,6.843037918501152e-17
50,4978.5,7.782150491749762e-17
51,5004.1,2.9973137647391566e-17
52,5029.7,2.8964535437485985e-17
53,5055.3,1.4354892953802336e-17
54,5080.8,2.5409872610389267e-17
55,5106.4,2.7892792428842846e-17
56,5132.0,4.290812244688184e-17
57,5157.5,7.20465892627438e-17
58,5183.1,5.384465803124382e-17
59,5208.7,6.35587776716707e-17
60,5234.2,1.0110478238524725e-16
61,5259.8,8.901447751257332e-17
62,5285.4,1.0338276341176245e-16
63,5311.0,1.0099765902464288e-16
64,5336.5,9.007987132233072e-17
65,5362.1,7.50656214866665e-17
66,5387.7,7.203931511738406e-17
67,5413.2,4.670625700218053e-17
68,5438.8,1.6045943573919528e-17
69,5464.4,2.9703440299361673e-17
70,5490.0,2.5509155083057838e-17
71,5515.5,2.4540258113537885e-17
72,5541.1,3.652091106807687e-17
73,5566.7,2.2792544439387413e-17
74,5592.2,3.857833917935226e-18
75,5617.8,9.740112832574106e-25
76,5643.4,2.3234121447809067e-25
77,5668.9,1.380522071523588e-17
78,5694.5,2.4548346682638316e-17
79,5720.1,3.259043983643146e-17
80,5745.7,3.5988654328139224e-17
81,5771.2,2.3630998346750154e-17
82,5796.8,4.25736698497647e-17
83,5822.4,3.420888409368319e-17
84,5847.9,4.363083816388777e-17
85,5873.5,3.5630729697502063e-17
86,5899.1,2.2716330647285907e-17
87,5924.7,1.0032109446648399e-17
88,5950.2,1.2414914027718957e-17
89,5975.8,7.465316762882307e-18
90,6001.4,1.8530122847412154e-17
91,6026.9,8.504836502292244e-18
92,6052.5,1.0170042193974792e-17
93,6078.1,2.0028250124632122e-17
94,6103.7,2.7659375496086792e-17
95,6129.2,1.8201042299415347e-17
96,6154.8,1.0407332838160476e-21
97,6180.4,4.221579703183307e-27
98,6205.9,6.918870255568102e-23
99,6231.5,2.667545341136881e-24
100,6257.1,2.1032374278457067e-25
101,6282.6,1.8302162153606928e-30
102,6308.2,5.211535506166891e-27
103,6333.8,1.5029131763174977e-25
104,6359.4,9.301058182292761e-26
105,6384.9,8.280624800578106e-26
106,6410.5,5.59302604772221e-23
107,6436.1,2.941713749470232e-23
108,6461.6,1.3359694975294475e-17
109,6487.2,2.3009026707482373e-17
110,6512.8,1.9777162827787336e-17
111,6538.4,1.8085089581546697e-17
112,6563.9,2.981905387550552e-17
113,6589.5,1.773809356842454e-17
114,6615.1,1.6440293636055376e-17
115,6640.6,1.0464717665451985e-17
116,6666.2,6.263478669361589e-18
117,6691.8,2.8161419755262833e-18
118,6717.4,1.8066691368720136e-21
119,6742.9,2.2263370787939714e-26
120,6768.5,4.496001967773552e-24
121,6794.1,2.2110719567643058e-23
122,6819.6,5.429664661312416e-25
123,6845.2,4.9096831624522165e-27
124,6870.8,3.800528465530593e-25
125,6896.3,3.1437625695299338e-24
126,6921.9,1.4965523259913483e-27
127,6947.5,3.9277766314713843e-25
128,6973.1,3.616012222737866e-26
129,6998.6,1.22648275515077e-24
130,7024.2,1.1801517689285133e-25
131,7049.8,1.6729582709762306e-24
132,7075.3,3.7843579729242565e-24
133,7100.9,1.2445857325417942e-24
134,7126.5,8.38289309724483e-25
135,7152.1,1.0562535828413028e-25
136,7177.6,6.306288371813809e-25
137,7203.2,7.083948543915856e-25
138,7228.8,1.4475340705166269e-25
139,7254.3,5.401102160292284e-24
140,7279.9,1.5651628960926248e-25
141,7305.5,3.4332125020880735e-25
142,7331.1,5.63911503676176e-26
143,7356.6,4.5461121063918265e-26
144,7382.2,1.4187290061042211e-25
145,7407.8,1.9242017620608036e-25
146,7433.3,1.0554575779772672e-25
147,7458.9,1.2536073858465746e-25
148,7484.5,1.6628827212832971e-25
149,7510.0,1.6249175872033575e-25
150,7535.6,2.7380768735378453e-25
151,7561.2,1.0554882529079266e-24
152,7586.8,2.384160369710045e-25
153,7612.3,5.105866592397596e-29
154,7637.9,6.233296726714557e-26
155,7663.5,1.4120723268800402e-27
156,7689.0,6.27362760258778e-25
157,7714.6,1.953782955239065e-25
158,7740.2,2.1830739152633657e-28
159,7765.8,2.441552228942061e-25
160,7791.3,1.0733864552187376e-24
161,7816.9,3.516586220679446e-25
162,7842.5,8.459397415550621e-27
163,7868.0,2.392153743437776e-27
164,7893.6,1.4882996146031987e-26
165,7919.2,9.915993337815061e-28
166,7944.7,5.5667809876102396e-24
167,7970.3,3.551443502140741e-27
168,7995.9,4.979601221498414e-27
169,8021.5,4.0028312810491576e-27
170,8047.0,6.688278589075288e-27
171,8072.6,6.113679015747636e-25
172,8098.2,1.1802194586369346e-24
173,8123.7,4.232921084466938e-25
174,8149.3,1.797563074476601e-24
175,8174.9,2.106145210229516e-25
176,8200.5,1.0747680236286476e-24
177,8226.0,4.512451509713666e-25
178,8251.6,2.8389130641519246e-25
179,8277.2,8.046269876629129e-28
180,8302.7,1.6334473603257102e-24
181,8328.3,6.888274804117026e-28
182,8353.9,2.6781637142707454e-30
183,8379.5,3.205642196846144e-25
184,8405.0,3.5293759457971646e-25
185,8430.6,1.4630238288353836e-26
186,8456.2,1.4052533582060078e-25
187,8481.7,3.863403845423779e-26
188,8507.3,2.1258256441673814e-27
189,8532.9,3.567180236031637e-24
190,8558.4,8.019337612388923e-25
191,8584.0,8.444458482023254e-26
192,8609.6,2.574803481316997e-25
193,8635.2,3.142552017253976e-26
194,8660.7,7.623410356892705e-25
195,8686.3,7.202326183782535e-27
196,8711.9,3.175981002959432e-26
197,8737.4,1.0492597470893198e-24
198,8763.0,9.386993719777787e-26
199,8788.6,1.2143624583877063e-26
200,8814.2,1.9598720780692208e-26
201,8839.7,2.6361335924694792e-24
202,8865.3,7.532277624561651e-27
203,8890.9,5.594819748390427e-26
204,8916.4,8.065499097910258e-26
205,8942.0,1.3926821234400386e-25
206,8967.6,6.66921025919854e-25
207,8993.2,6.2211135131236246e-24
208,9018.7,4.7086497755124306e-26
209,9044.3,5.940503969358814e-25
210,9069.9,9.145200381741891e-29
211,9095.4,4.700195097990986e-29
212,9121.0,4.8828517531119046e-24
213,9146.6,2.9590092033767312e-25
214,9172.1,2.688675658056947e-24
215,9197.7,6.602494954359582e-26
216,9223.3,7.468881537476985e-24
217,9248.9,7.646786911501835e-26
218,9274.4,4.6820284409830634e-24
219,9300.0,7.51230342589354e-27
