,wl,fl
0,3700.0,2.292298705713077e-17
1,3725.6,2.085928932992773e-16
2,3751.1,1.2769938518750706e-16
3,3776.7,8.619721813812812e-17
4,3802.3,3.0626622134174174e-20
5,3827.9,1.3515626947136937e-21
6,3853.4,1.399651012171264e-21
7,3879.0,2.9512699515140504e-17
8,3904.6,7.474134494597808e-17
9,3930.1,9.765401363782288e-17
10,3955.7,7.731513144552597e-17
11,3981.3,6.496120215819392e-17
12,4006.8,1.0734383312573706e-16
13,4032.4,9.679338540930686e-17
14,4058.0,1.603146298712855e-16
15,4083.6,1.8289182904831962e-16
16,4109.1,2.1098560829285195e-16
17,4134.7,2.313897395265656e-16
18,4160.3,1.8124428708206936e-16
19,4185.8,2.1006408037888978e-16
20,4211.4,1.9821530901314055e-16
21,4237.0,2.0379216013284113e-16
22,4262.6,1.885132536224243e-16
23,4288.1,2.0190977546844516e-16
24,4313.7,2.42174336007111e-16
25,4339.3,2.279323456606206e-16
26,4364.8,1.7918804506130641e-16
27,4390.4,1.8314086525528818e-16
28,4416.0,1.539966685228685e-16
29,4441.6,1.7615333426562474e-16
30,4467.1,1.581575700281355e-16
31,4492.7,1.5663599220071934e-16
32,4518.3,1.4998527361454372e-16
33,4543.8,1.593012951789322e-16
34,4569.4,1.745197381419981e-16
35,4595.0,1.725365816914545e-16
36,4620.5,1.6601367671355458e-16
37,4646.1,2.0025909313589763e-16
38,4671.7,1.7501022385095937e-16
39,4697.3,1.9785618147252393e-16
40,4722.8,1.7503647061349261e-16
41,4748.4,2.0542416346794565e-16
42,4774.0,1.9089150647657232e-16
43,4799.5,1.6848192033287736e-16
44,4825.1,1.8763234995226122e-16
45,4850.7,1.7800558644679963e-16
46,4876.3,1.7740801379553386e-16
47,4901.8,1.3832233720171155e-16
48,4927.4,1.79933513738026e-16
49,4953.0,1.4327130686837968e-16
50,4978.5,1.3260580827012096e-16
51,5004.1,1.291384625023038e-16
52,5029.7,1.2567789383028056e-16
53,5055.3,1.3017804470989752e-16
54,5080.8,1.105486887244265e-16
55,5106.4,1.4643505171349956e-16
56,5132.0,1.1614889528439816e-16
57,5157.5,1.1132105521315636e-16
58,5183.1,1.3407487997614234e-16
59,5208.7,1.2584122591045537e-16
60,5234.2,1.2910346224700872e-16
61,5259.8,1.3057985095816066e-16
62,5285.4,1.395158739524666e-16
63,5311.0,1.517803633843787e-16
64,5336.5,1.3867620037383567e-16
65,5362.1,1.5304075068804158e-16
66,5387.7,1.376215555828055e-16
67,5413.2,1.5719025843440882e-16
68,5438.8,1.4378636441510436e-16
69,5464.4,1.5512604820656969e-16
70,5490.0,1.338727318031292e-16
71,5515.5,1.306983297182889e-16
72,5541.1,1.048564705099099e-16
73,5566.7,1.1705991843610814e-16
74,5592.2,1.1987402278585181e-16
75,5617.8,1.1881734673813947e-16
76,5643.4,1.2483274696172423e-16
77,5668.9,1.259848310184291e-16
78,5694.5,1.2338402917420503e-16
79,5720.1,1.141680971883082e-16
80,5745.7,1.0684713707686174e-16
81,5771.2,1.2893574746239264e-16
82,5796.8,1.3504319219816596e-16
83,5822.4,1.2650254366095984e-16
84,5847.9,1.217122487004418e-16
85,5873.5,1.4563585795959292e-16
86,5899.1,1.1907261388659975e-16
87,5924.7,1.4077886947555203e-16
88,5950.2,1.2874291281975125e-16
89,5975.8,1.354937007130239e-16
90,6001.4,1.219348193931148e-16
91,6026.9,1.1540943200317372e-16
92,6052.5,1.0879112708996444e-16
93,6078.1,1.2473662245451134e-16
94,6103.7,1.1131668365771975e-16
95,6129.2,1.134600352341577e-16
