,wl,fl
0,3700.0,1.2648473077416189e-14
1,3725.6,1.0463194996989821e-14
2,3751.1,1.0310774557878882e-14
3,3776.7,6.870263143064961e-15
4,3802.3,7.945441932759969e-15
5,3827.9,7.215075230919401e-15
6,3853.4,5.5293811384014125e-15
7,3879.0,4.829611046746832e-15
8,3904.6,5.138752278816246e-15
9,3930.1,4.235623612192192e-15
10,3955.7,2.400121149013036e-15
11,3981.3,4.7050247868383725e-15
12,4006.8,4.993942404296414e-15
13,4032.4,3.0221200087006888e-15
14,4058.0,2.288905482315428e-15
15,4083.6,2.2221916523984677e-15
16,4109.1,2.2882309575848e-15
17,4134.7,2.8189620333845284e-15
18,4160.3,2.615824843643171e-15
19,4185.8,2.340684554931475e-15
20,4211.4,2.243321818382257e-15
21,4237.0,2.3386451328225975e-15
22,4262.6,1.5895292175397002e-15
23,4288.1,1.3696932284552074e-15
24,4313.7,1.8253377038563262e-15
25,4339.3,9.875783299440034e-16
26,4364.8,1.0756735377435509e-15
27,4390.4,1.0990936979501335e-15
28,4416.0,7.653481462566435e-16
29,4441.6,7.780661066973064e-16
30,4467.1,8.80178261315497e-16
31,4492.7,1.2944882891313357e-15
32,4518.3,7.169058522556413e-16
33,4543.8,7.7185231290246765e-16
34,4569.4,1.0318287452082578e-15
35,4595.0,1.060544124963422e-15
36,4620.5,8.230488666241243e-16
37,4646.1,8.980136894879248e-16
38,4671.7,7.407045716255854e-16
39,4697.3,6.321271213743386e-16
40,4722.8,7.811912534794394e-16
41,4748.4,5.966421109582805e-16
42,4774.0,6.303036913902733e-16
43,4799.5,5.701341243407107e-16
44,4825.1,3.861059552930091e-16
45,4850.7,4.573754768535982e-16
46,4876.3,2.6939476239430813e-16
47,4901.8,4.813758375669252e-16
48,4927.4,4.1470666292901387e-16
49,4953.0,4.2989146719793466e-16
50,4978.5,5.039716532011421e-16
51,5004.1,2.892677859519378e-16
52,5029.7,2.5313293742631713e-16
53,5055.3,2.8217321999139384e-16
54,5080.8,2.691582516775721e-16
55,5106.4,2.8137923881968066e-16
56,5132.0,3.144368860578132e-16
57,5157.5,3.1106645387090964e-16
58,5183.1,2.794129006229458e-16
59,5208.7,3.847523474166993e-16
60,5234.2,4.0018430291956207e-16
61,5259.8,4.581847080685088e-16
62,5285.4,4.362268509857025e-16
63,5311.0,4.4301778908769745e-16
64,5336.5,3.6915120334835046e-16
65,5362.1,3.60957576893791e-16
66,5387.7,3.185094578684162e-16
67,5413.2,2.796648229228619e-16
68,5438.8,2.7929739875693177e-16
69,5464.4,2.862256165942911e-16
70,5490.0,2.0330660322108428e-16
71,5515.5,2.371928362327371e-16
72,5541.1,2.8294520923121345e-16
73,5566.7,1.932965969521637e-16
74,5592.2,2.365177841484172e-16
75,5617.8,2.358255870283827e-16
76,5643.4,2.095884222982195e-16
77,5668.9,2.8859715383056663e-16
78,5694.5,2.639740264918804e-16
79,5720.1,2.578342123502192e-16
80,5745.7,2.687016986768819e-16
81,5771.2,2.9400093347018317e-16
82,5796.8,2.966233735244692e-16
83,5822.4,3.067438161902938e-16
84,5847.9,2.7030683088271063e-16
85,5873.5,2.167472730512007e-16
86,5899.1,2.3087720756048475e-16
87,5924.7,2.291832376703122e-16
88,5950.2,1.9657329718202245e-16
89,5975.8,1.8294692995539862e-16
90,6001.4,1.6739301476786858e-16
