,wl,fl
0,4020.0,5.187805930456861e-16
1,4029.2,4.823814407840112e-16
2,4038.4,-2.6756106767277578e-17
3,4047.6,6.499666518666927e-16
4,4056.8,2.5914761915281596e-16
5,4066.0,2.7122110730137927e-16
6,4075.2,3.0191480944414246e-16
7,4084.4,4.272565093278168e-17
8,4093.6,7.291569887146114e-16
9,4102.8,6.792897592241785e-16
10,4112.0,3.006924626507281e-16
11,4121.2,5.594273569324894e-16
12,4130.4,3.19143835647909e-16
13,4139.6,3.7729875334666717e-16
14,4148.8,4.484046422771695e-16
15,4158.0,2.9125585185608536e-16
16,4167.2,2.7989267898783625e-16
17,4176.4,3.457575894153782e-16
18,4185.6,2.8035580145166233e-16
19,4194.8,2.9373131495478476e-16
20,4204.0,3.3482950072594816e-16
21,4213.2,2.9371609916867814e-16
22,4222.4,2.0369513993344654e-16
23,4231.6,3.024699777411199e-16
24,4240.8,2.4075626669127274e-16
25,4250.0,7.809614252001797e-17
26,4259.2,3.9794156057112645e-16
27,4268.4,2.730263098792971e-16
28,4277.6,2.9113175887597817e-16
29,4286.8,2.2144772246057877e-16
30,4296.0,1.9315975373645702e-16
31,4305.2,1.840612671038031e-16
32,4314.4,2.546032650711939e-16
33,4323.6,2.6292798353590994e-16
34,4332.8,2.5622367092250295e-16
35,4342.0,3.3556228482961714e-16
36,4351.2,2.086553332378339e-16
37,4360.4,1.6767911847226617e-16
38,4369.6,1.790870287385423e-16
39,4378.8,1.9993897743856584e-16
40,4388.0,1.8808636096013854e-16
41,4397.2,2.144918155539978e-16
42,4406.4,2.564475246230088e-16
43,4415.6,1.5139254047243217e-16
44,4424.8,1.9728569283568059e-16
45,4434.0,2.8341609215120983e-16
46,4443.2,1.524701363118865e-16
47,4452.4,1.7170521754321006e-16
48,4461.6,2.896644967827985e-16
49,4470.8,3.393116547235416e-16
50,4480.0,3.432667682376159e-16
51,4489.2,3.3448588851128634e-16
52,4498.4,3.204889058765268e-16
53,4507.6,3.6808299608324734e-16
54,4516.8,3.413232297300977e-16
55,4526.0,3.7693435536125313e-16
56,4535.2,3.8801519406420327e-16
57,4544.4,4.2548126316078434e-16
58,4553.6,4.940876484480835e-16
59,4562.8,4.0472016450603494e-16
60,4572.0,4.063203717678062e-16
61,4581.2,4.140636530531709e-16
62,4590.4,4.53180021357577e-16
63,4599.6,4.25582975200271e-16
64,4608.8,4.290657263565814e-16
65,4618.0,4.928332226233833e-16
66,4627.2,3.999765360879671e-16
67,4636.4,4.360742928912281e-16
68,4645.6,4.1433692912169307e-16
69,4654.8,4.101084145322362e-16
70,4664.0,4.0347221086280155e-16
71,4673.2,3.6458900642953913e-16
72,4682.4,3.704113035251648e-16
73,4691.6,4.1812461515294917e-16
74,4700.8,3.252540064145748e-16
75,4710.0,3.637091626121386e-16
76,4719.2,3.0756727619722406e-16
77,4728.4,3.0922549672749476e-16
78,4737.6,3.1887462411737366e-16
79,4746.8,3.4098750693963995e-16
80,4756.0,3.696559163853047e-16
81,4765.2,3.063385396886644e-16
82,4774.4,3.859712365279581e-16
83,4783.6,4.1154591229905514e-16
84,4792.8,3.3629460997108815e-16
85,4802.0,3.250110596014488e-16
86,4811.2,3.1564244949869476e-16
87,4820.4,3.210080952794313e-16
88,4829.6,3.4727917622820515e-16
89,4838.8,3.1026400824417707e-16
90,4848.0,3.1803107323319155e-16
91,4857.2,2.8491721497687963e-16
92,4866.4,3.0061074534515365e-16
93,4875.6,2.849497428515975e-16
94,4884.8,3.018762476278488e-16
95,4894.0,2.9755551926891637e-16
96,4903.2,2.223001056371042e-16
97,4912.4,1.9177450893247258e-16
98,4921.6,2.1907531192507005e-16
99,4930.8,2.249424017573246e-16
100,4940.0,1.56254895563119e-16
101,4949.2,1.8886433376815823e-16
102,4958.4,1.6963425922950861e-16
103,4967.6,1.5661991252834363e-16
104,4976.8,1.6385464665145897e-16
105,4986.0,1.9154124635697252e-16
106,4995.2,2.1890862234957568e-16
107,5004.4,2.1214128351492048e-16
108,5013.6,2.1272567847622646e-16
109,5022.8,2.094358149048653e-16
110,5032.0,2.0634779949483159e-16
111,5041.2,2.13815900670806e-16
112,5050.4,2.656001738719889e-16
113,5059.6,2.3159623362332367e-16
114,5068.8,2.78822342180663e-16
115,5078.0,2.258185887046235e-16
116,5087.2,2.559950502262847e-16
117,5096.4,2.648327977043598e-16
118,5105.6,2.371327545019594e-16
119,5114.8,2.3028327667841697e-16
120,5124.0,2.5916693289759037e-16
121,5133.2,2.6761320701646794e-16
122,5142.4,2.567994289837148e-16
123,5151.6,2.1614904193271631e-16
124,5160.8,2.849368025903905e-16
125,5170.0,2.7083583748394894e-16
126,5179.2,2.691193680666773e-16
127,5188.4,2.9088955900435317e-16
128,5197.6,3.003011095749587e-16
129,5206.8,2.9070109159105235e-16
130,5216.0,2.924004218973854e-16
131,5225.2,2.861112448377046e-16
132,5234.4,2.7510913850356735e-16
133,5243.6,2.69262447732636e-16
134,5252.8,2.775640060521825e-16
135,5262.0,2.3715433256079487e-16
136,5271.2,2.93270888444774e-16
137,5280.4,2.942165408708902e-16
138,5289.6,2.7547749013657297e-16
139,5298.8,2.6540284736642195e-16
140,5308.0,2.835877044773621e-16
141,5317.2,2.560443572883555e-16
142,5326.4,2.660371852574216e-16
143,5335.6,2.4845788056974067e-16
144,5344.8,2.2588675821259807e-16
145,5354.0,2.4579149776650307e-16
146,5363.2,2.3557072756261743e-16
147,5372.4,2.5566320209225517e-16
148,5381.6,2.1776501591167094e-16
149,5390.8,2.259279400821855e-16
150,5400.0,2.340560031481945e-16
151,5409.2,2.3900875952378167e-16
152,5418.4,2.150285987866582e-16
153,5427.6,2.5575225458588224e-16
154,5436.8,2.0799965403698803e-16
155,5446.0,2.4292097535611314e-16
156,5455.2,2.352278929512379e-16
157,5464.4,2.4636179538143934e-16
158,5473.6,2.0972035005345713e-16
159,5482.8,2.055065322083138e-16
160,5492.0,2.249933915634519e-16
161,5501.2,2.086312371787064e-16
162,5510.4,2.483120258019174e-16
163,5519.6,1.8992690525846212e-16
164,5528.8,1.9913830504835402e-16
165,5538.0,1.6931472751813758e-16
166,5547.2,2.1112602719295834e-16
167,5556.4,2.0501890451392378e-16
168,5565.6,1.5374426417391697e-16
169,5574.8,2.07772047453364e-16
170,5584.0,2.1119595726878792e-16
171,5593.2,2.1960595308889797e-16
172,5602.4,1.8776396702822111e-16
173,5611.6,1.9772888134682465e-16
174,5620.8,1.8571196004913386e-16
175,5630.0,2.1742071693630818e-16
176,5639.2,2.3070442444551837e-16
177,5648.4,2.29923819940445e-16
178,5657.6,2.1826638884158557e-16
179,5666.8,2.2846462611140017e-16
180,5676.0,2.0774611242472752e-16
181,5685.2,2.0508740492021502e-16
182,5694.4,2.0054880101363363e-16
183,5703.6,2.3497566462803834e-16
184,5712.8,2.229473383965431e-16
185,5722.0,2.3056015384470577e-16
186,5731.2,2.1488760093367742e-16
187,5740.4,2.1308060036247098e-16
188,5749.6,2.1729152034467416e-16
189,5758.8,2.251821003602354e-16
190,5768.0,2.0047537580712693e-16
191,5777.2,2.2146838736417925e-16
192,5786.4,1.6978088272813464e-16
193,5795.6,2.0237081545056858e-16
194,5804.8,1.9282793581178764e-16
195,5814.0,1.966217295241319e-16
196,5823.2,1.906621855696367e-16
197,5832.4,1.5369991090898004e-16
198,5841.6,1.6138756304703292e-16
199,5850.8,1.3158214041055656e-16
200,5860.0,1.4121549154807092e-16
201,5869.2,1.3532261060018485e-16
202,5878.4,1.1808092155618928e-16
203,5887.6,1.557807225915621e-16
204,5896.8,1.4964931654891646e-16
205,5906.0,1.8183697646073264e-16
206,5915.2,1.851509525140324e-16
207,5924.4,1.4427544317281373e-16
208,5933.6,1.7553843682114385e-16
209,5942.8,1.9433672400545465e-16
210,5952.0,1.9528978557518898e-16
211,5961.2,1.940781849015061e-16
212,5970.4,2.2104353574000815e-16
213,5979.6,2.234807847194993e-16
214,5988.8,2.3769641769666993e-16
215,5998.0,2.0802026387735418e-16
216,6007.2,2.2178575659952647e-16
217,6016.4,2.385308220273146e-16
218,6025.6,2.413977964993381e-16
219,6034.8,2.2226240527314037e-16
220,6044.0,2.326212219541337e-16
221,6053.2,2.2106128286642128e-16
222,6062.4,2.4201113704781266e-16
223,6071.6,2.0193117569139166e-16
224,6080.8,2.1132461292757899e-16
225,6090.0,2.403471546741319e-16
226,6099.2,2.3838706865627805e-16
227,6108.4,2.333375391607213e-16
228,6117.6,1.6600206392315071e-16
229,6126.8,2.0053310254091916e-16
230,6136.0,2.0008606759096679e-16
231,6145.2,1.5763733133965473e-16
232,6154.4,1.5978480763767933e-16
233,6163.6,1.2493595645744392e-16
234,6172.8,1.104074761238823e-16
235,6182.0,1.1963699419029357e-16
236,6191.2,9.491460832641065e-17
237,6200.4,7.553408870290289e-17
238,6209.6,7.323026819891746e-17
239,6218.8,7.829737180207086e-17
240,6228.0,7.861333430375112e-17
241,6237.2,7.465852231494154e-17
242,6246.4,8.891841320362461e-17
243,6255.6,7.615308458334391e-17
244,6264.8,1.0101805791272558e-16
245,6274.0,8.533726345856293e-17
246,6283.2,1.1877280601424657e-16
247,6292.4,9.185699499954192e-17
248,6301.6,1.154808961009213e-16
249,6310.8,1.3346661270769909e-16
250,6320.0,1.4405697919224742e-16
251,6329.2,1.460313564956424e-16
252,6338.4,1.6249731084349114e-16
253,6347.6,1.7067469595287257e-16
254,6356.8,1.4783565623776834e-16
255,6366.0,2.0497068733792178e-16
256,6375.2,1.7958458484864724e-16
257,6384.4,1.9891642991219454e-16
258,6393.6,1.7932973963835142e-16
259,6402.8,2.113746828399391e-16
260,6412.0,2.021491540768058e-16
261,6421.2,1.9161787062430118e-16
262,6430.4,1.877327672076748e-16
263,6439.6,1.9126035983416636e-16
264,6448.8,1.894261521597091e-16
265,6458.0,1.7892486848497556e-16
266,6467.2,2.0035980531455254e-16
267,6476.4,1.878573549016581e-16
268,6485.6,1.7073023696017947e-16
269,6494.8,1.82259631937214e-16
270,6504.0,1.9108016287882361e-16
271,6513.2,2.1377500025185144e-16
272,6522.4,2.112418336541032e-16
273,6531.6,1.7446880139155712e-16
274,6540.8,1.8866075095750986e-16
275,6550.0,1.6463927804684287e-16
276,6559.2,1.3457823538842055e-16
277,6568.4,1.691960893774935e-16
278,6577.6,1.703535957590519e-16
279,6586.8,1.5656740875858295e-16
280,6596.0,1.742223300947287e-16
281,6605.2,1.826895300777429e-16
282,6614.4,1.7653404514665333e-16
283,6623.6,1.8159956398029575e-16
284,6632.8,1.6947030954268522e-16
285,6642.0,1.7216771559774716e-16
286,6651.2,1.8676349858038227e-16
287,6660.4,1.520657646287636e-16
288,6669.6,1.659029385361324e-16
289,6678.8,1.5620278806826956e-16
290,6688.0,1.4786620446269386e-16
291,6697.2,1.5035995404090185e-16
292,6706.4,1.5642695085306885e-16
293,6715.6,1.5380164287425001e-16
294,6724.8,1.6287166943396823e-16
295,6734.0,1.50777476785159e-16
296,6743.2,1.6884701594908547e-16
297,6752.4,1.557402913838113e-16
298,6761.6,1.36398625623171e-16
299,6770.8,1.5395138220632722e-16
300,6780.0,1.694436050445447e-16
301,6789.2,1.5259406970754539e-16
302,6798.4,1.4286031516790484e-16
303,6807.6,1.5596627360499667e-16
304,6816.8,1.5487725637918274e-16
305,6826.0,1.416467699846835e-16
306,6835.2,1.5754943448885545e-16
307,6844.4,1.3336859763049736e-16
308,6853.6,1.3127883742527966e-16
309,6862.8,1.3517456022694597e-16
310,6872.0,1.0812952780910228e-16
311,6881.2,1.4892943980799467e-16
312,6890.4,1.4095692732039475e-16
313,6899.6,1.4550914313318468e-16
314,6908.8,1.4222363666743443e-16
315,6918.0,1.5174334873540969e-16
316,6927.2,1.410411979490456e-16
317,6936.4,1.074382382330444e-16
318,6945.6,1.2686497250842476e-16
319,6954.8,1.2825644334267013e-16
320,6964.0,1.0725996347905381e-16
321,6973.2,1.1537918511699652e-16
322,6982.4,1.2573166362818441e-16
323,6991.6,1.4016899973419438e-16
324,7000.8,1.0769140056483954e-16
325,7010.0,1.4096152927578018e-16
326,7019.2,1.411375175158636e-16
327,7028.4,1.1961635350297282e-16
328,7037.6,1.0975322495048284e-16
329,7046.8,1.4642231924065967e-16
330,7056.0,1.3199505628625376e-16
331,7065.2,1.1102524702839503e-16
332,7074.4,1.4245759238982492e-16
333,7083.6,1.321672428046799e-16
334,7092.8,1.2951262003427798e-16
335,7102.0,1.3331007754697277e-16
336,7111.2,1.249200144009043e-16
337,7120.4,1.440148415337628e-16
338,7129.6,9.677128199342563e-17
339,7138.8,1.179719280798311e-16
340,7148.0,1.238910402225862e-16
341,7157.2,1.4318500210645727e-16
342,7166.4,1.4337146268553622e-16
343,7175.6,1.0314017744781e-16
344,7184.8,1.116112167330992e-16
345,7194.0,1.5392217368548912e-16
346,7203.2,1.2645050739029005e-16
347,7212.4,1.4505406212408948e-16
348,7221.6,1.0947059195527513e-16
349,7230.8,1.1936370287776247e-16
350,7240.0,1.0864604194758639e-16
351,7249.2,1.2007005684295118e-16
352,7258.4,1.2609394008551338e-16
353,7267.6,1.1276155912665125e-16
354,7276.8,1.3570691775046001e-16
355,7286.0,8.853089834384369e-17
356,7295.2,1.1500585088103228e-16
357,7304.4,8.972145348411801e-17
358,7313.6,9.440611782445452e-17
359,7322.8,1.4162607662149766e-16
360,7332.0,1.0018936917287564e-16
361,7341.2,1.2075406793235802e-16
362,7350.4,1.221769198189058e-16
363,7359.6,9.790184915084849e-17
364,7368.8,1.1516661874470815e-16
