,wl,fl
0,3700.0,1.2358707858636885e-15
1,3725.6,1.411079582542416e-15
2,3751.1,9.696014894682848e-16
3,3776.7,1.0221187605308164e-15
4,3802.3,1.1188848802105618e-15
5,3827.9,1.2471642836799306e-15
6,3853.4,1.3345311432751655e-15
7,3879.0,1.430095141690041e-15
8,3904.6,1.5857632099210251e-15
9,3930.1,1.489308934951869e-15
10,3955.7,1.4728355709161977e-15
11,3981.3,1.7163348718107016e-15
12,4006.8,1.589344710642297e-15
13,4032.4,9.043137121330748e-16
14,4058.0,9.145608868054838e-16
15,4083.6,9.065848474870553e-16
16,4109.1,1.0401379886626253e-15
17,4134.7,1.1616288189250781e-15
18,4160.3,1.1333561045280745e-15
19,4185.8,1.1048909736763219e-15
20,4211.4,1.0676378750738621e-15
21,4237.0,1.1034227001035518e-15
22,4262.6,8.641129808519798e-16
23,4288.1,8.909681045680349e-16
24,4313.7,8.391467425636038e-16
25,4339.3,7.678605812970212e-16
26,4364.8,6.097354262059919e-16
27,4390.4,6.724578541484886e-16
28,4416.0,6.745249360160056e-16
29,4441.6,7.550027923500915e-16
30,4467.1,6.717553395082219e-16
31,4492.7,8.135492429611402e-16
32,4518.3,7.861161198436592e-16
33,4543.8,8.073667318834586e-16
34,4569.4,7.614161793402478e-16
35,4595.0,7.877938071136713e-16
36,4620.5,7.306651865653107e-16
37,4646.1,7.159985743181105e-16
38,4671.7,5.477574904540821e-16
39,4697.3,6.131019441918361e-16
40,4722.8,4.709824104763787e-16
41,4748.4,5.812930162285333e-16
42,4774.0,4.065552898030511e-16
43,4799.5,4.0701996619614675e-16
44,4825.1,3.856733990339758e-16
45,4850.7,3.7663394033557527e-16
46,4876.3,4.359129417759644e-16
47,4901.8,3.865815172436116e-16
48,4927.4,3.5699268774192896e-16
49,4953.0,3.8187673137507336e-16
50,4978.5,3.93142714485399e-16
51,5004.1,4.2380550446675606e-16
52,5029.7,4.528290325373763e-16
53,5055.3,4.515079341286785e-16
54,5080.8,4.0464371004954646e-16
55,5106.4,4.613766748237452e-16
56,5132.0,4.352791555036391e-16
57,5157.5,4.905160917843366e-16
58,5183.1,5.014026697099807e-16
59,5208.7,5.022831068822142e-16
60,5234.2,4.853306752513899e-16
61,5259.8,4.798542337123785e-16
62,5285.4,4.565019802826908e-16
63,5311.0,4.0027456731868107e-16
64,5336.5,4.056546923290629e-16
65,5362.1,3.874309397678631e-16
66,5387.7,3.6741774241386105e-16
67,5413.2,3.4476209643541665e-16
68,5438.8,3.462267557632294e-16
69,5464.4,3.580314155874621e-16
70,5490.0,3.165002623032827e-16
71,5515.5,3.3849059338335036e-16
72,5541.1,3.5540787755376765e-16
73,5566.7,3.242586153929248e-16
74,5592.2,3.4769988575994366e-16
75,5617.8,3.6651903174453825e-16
76,5643.4,3.709671269353012e-16
77,5668.9,3.759756009183318e-16
78,5694.5,3.9495085554580643e-16
79,5720.1,3.9512014836927356e-16
80,5745.7,3.58848302917133e-16
81,5771.2,3.5038326523120635e-16
82,5796.8,3.666351853765668e-16
83,5822.4,3.0848397950420478e-16
84,5847.9,3.086860368963781e-16
85,5873.5,3.020503377928566e-16
86,5899.1,3.2832824026945356e-16
87,5924.7,3.446483447981206e-16
88,5950.2,3.693978683158084e-16
89,5975.8,3.517662180102789e-16
90,6001.4,3.32391751222718e-16
91,6026.9,2.908170748516045e-16
92,6052.5,2.4605488379349713e-16
93,6078.1,2.1011507805145292e-16
94,6103.7,1.6863988502284636e-16
95,6129.2,1.627549016073924e-16
96,6154.8,1.2107633125982428e-16
97,6180.4,1.191306043742832e-16
98,6205.9,1.3809003569004975e-16
99,6231.5,1.7916020675374732e-16
100,6257.1,2.0387291461336343e-16
101,6282.6,2.4214250665170086e-16
102,6308.2,2.6642221976189816e-16
103,6333.8,2.854694775844057e-16
104,6359.4,3.142314007401257e-16
105,6384.9,3.2557118300631767e-16
106,6410.5,3.211831798165701e-16
107,6436.1,3.330196716641186e-16
108,6461.6,3.355157304060635e-16
109,6487.2,3.208937580080203e-16
110,6512.8,3.153262200074041e-16
111,6538.4,3.237448827906504e-16
112,6563.9,3.21275418184903e-16
113,6589.5,3.034059483670058e-16
114,6615.1,3.017720335160268e-16
115,6640.6,2.885227588301045e-16
116,6666.2,2.8091093938948353e-16
117,6691.8,2.8863767685047887e-16
118,6717.4,2.91021484177338e-16
119,6742.9,2.937978653339064e-16
120,6768.5,2.7600609003078114e-16
121,6794.1,2.5296630905360517e-16
122,6819.6,2.4520189523559042e-16
123,6845.2,2.402308416999668e-16
124,6870.8,2.302617840921086e-16
125,6896.3,2.1307853670596646e-16
126,6921.9,2.1750909413801349e-16
127,6947.5,2.27573028084927e-16
128,6973.1,2.1859374607901988e-16
129,6998.6,2.176281638886693e-16
130,7024.2,2.1561744435265528e-16
131,7049.8,2.138730007721861e-16
132,7075.3,2.1500258344656901e-16
133,7100.9,2.1352323651113584e-16
134,7126.5,2.158178915663588e-16
135,7152.1,2.1018615599217632e-16
136,7177.6,2.0936785977227474e-16
137,7203.2,2.310752658950329e-16
138,7228.8,2.363029852347164e-16
139,7254.3,2.0885834435193763e-16
140,7279.9,1.8935341443078258e-16
141,7305.5,1.9732030295224764e-16
142,7331.1,1.9793789044518098e-16
143,7356.6,1.9380572226891682e-16
144,7382.2,1.8994040298279906e-16
145,7407.8,1.8007081963637795e-16
146,7433.3,1.7099702394112082e-16
147,7458.9,1.6845655943738177e-16
148,7484.5,1.688543733715615e-16
149,7510.0,1.506724918807497e-16
150,7535.6,1.3393910565328878e-16
151,7561.2,1.2602174302697206e-16
152,7586.8,1.3229396319646074e-16
153,7612.3,1.3919481308052205e-16
154,7637.9,1.3204946414477498e-16
155,7663.5,1.4460942909756055e-16
156,7689.0,1.5348115651294126e-16
157,7714.6,1.5087672855475317e-16
158,7740.2,1.5833281605597943e-16
159,7765.8,1.6652167326021565e-16
160,7791.3,1.6817305163579292e-16
161,7816.9,1.8320994962365084e-16
162,7842.5,1.9520709969844335e-16
163,7868.0,1.867057590544431e-16
164,7893.6,1.819663023608304e-16
165,7919.2,1.6056197876248634e-16
166,7944.7,1.5773744458922811e-16
167,7970.3,1.416380280965526e-16
168,7995.9,1.1123878197908133e-16
169,8021.5,9.692874528904724e-17
170,8047.0,9.21903988576426e-17
171,8072.6,8.288323275553676e-17
172,8098.2,8.040833530757244e-17
173,8123.7,8.570037899994179e-17
174,8149.3,8.758405168380882e-17
175,8174.9,8.953736617874657e-17
176,8200.5,9.178099978879337e-17
177,8226.0,9.278253237869823e-17
178,8251.6,8.58750112620864e-17
179,8277.2,8.880185199748045e-17
180,8302.7,9.769364275284117e-17
181,8328.3,1.0874756626122919e-16
182,8353.9,1.1360044447453184e-16
183,8379.5,1.1645988829817781e-16
184,8405.0,1.1807489162658762e-16
185,8430.6,1.124037736299082e-16
186,8456.2,1.1601029264279453e-16
187,8481.7,1.2089434566753608e-16
188,8507.3,1.2847834346014339e-16
189,8532.9,1.427178387653428e-16
190,8558.4,1.4980662054471354e-16
191,8584.0,1.4940521131205687e-16
192,8609.6,1.4346558632846834e-16
193,8635.2,1.4042835498256311e-16
194,8660.7,1.4641565030765646e-16
195,8686.3,1.4951017253028802e-16
196,8711.9,1.5332049401455067e-16
197,8737.4,1.6431731214953037e-16
198,8763.0,1.7313943998108703e-16
199,8788.6,1.6448238075930325e-16
200,8814.2,1.636124449126731e-16
201,8839.7,1.642995580183533e-16
202,8865.3,1.4387198212424413e-16
203,8890.9,1.2229108256465005e-16
204,8916.4,1.1754176085765358e-16
205,8942.0,1.3076954918690372e-16
206,8967.6,1.349418159624583e-16
207,8993.2,1.191520001451997e-16
208,9018.7,1.1451220521826303e-16
209,9044.3,1.0996436739982478e-16
210,9069.9,1.0273500673161262e-16
211,9095.4,1.0287322562544867e-16
212,9121.0,1.1572837307413596e-16
213,9146.6,1.1977917438167208e-16
214,9172.1,1.2417927784827364e-16
215,9197.7,1.4108795992053086e-16
216,9223.3,1.6245533241242942e-16
217,9248.9,1.8897913638928582e-16
218,9274.4,2.0733701834512148e-16
219,9300.0,2.108359398724439e-16
