,wl,fl
0,3700.0,5.222570835124891e-16
1,3725.6,5.295935323219651e-16
2,3751.1,7.497803344665716e-16
3,3776.7,7.072635572887773e-16
4,3802.3,1.0883370211235921e-15
5,3827.9,7.368175375475961e-16
6,3853.4,7.934880449433474e-16
7,3879.0,8.160540608693684e-16
8,3904.6,4.66869957773639e-16
9,3930.1,3.8817304716809397e-16
10,3955.7,4.1911887449499176e-16
11,3981.3,3.29667307771881e-16
12,4006.8,4.889059817581407e-16
13,4032.4,4.730497657056004e-16
14,4058.0,5.178825827403994e-16
15,4083.6,8.10847397385922e-16
16,4109.1,8.616644684293147e-16
17,4134.7,9.514657679687108e-16
18,4160.3,8.8985024821526e-16
19,4185.8,7.533451873934435e-16
20,4211.4,7.512420263857342e-16
21,4237.0,7.92614552600727e-16
22,4262.6,7.880754771354888e-16
23,4288.1,8.560202379979794e-16
24,4313.7,8.296724304181927e-16
25,4339.3,8.902738269777481e-16
26,4364.8,7.939391558805157e-16
27,4390.4,7.613686629296637e-16
28,4416.0,6.849443310777826e-16
29,4441.6,6.207658958911971e-16
30,4467.1,5.150684879777035e-16
31,4492.7,5.394064986138406e-16
32,4518.3,4.61886114640994e-16
33,4543.8,4.636223483859499e-16
34,4569.4,5.02601613856427e-16
35,4595.0,5.18527191812989e-16
36,4620.5,5.105081209398739e-16
37,4646.1,4.794240166307663e-16
38,4671.7,4.490866268502839e-16
39,4697.3,5.587316441280034e-16
40,4722.8,5.682783451212625e-16
41,4748.4,6.200247046566791e-16
42,4774.0,5.8666914350758e-16
43,4799.5,5.881121680791372e-16
44,4825.1,5.832859642590021e-16
45,4850.7,5.809910872653164e-16
46,4876.3,5.647096470777439e-16
47,4901.8,4.866891377197199e-16
48,4927.4,4.807205410864124e-16
49,4953.0,4.641986337019107e-16
50,4978.5,4.428897293370768e-16
51,5004.1,4.190425253118442e-16
52,5029.7,4.327045270823518e-16
53,5055.3,4.0202547181714585e-16
54,5080.8,3.5055165195009517e-16
55,5106.4,3.14282358759327e-16
56,5132.0,2.739247628951673e-16
57,5157.5,2.750476541340336e-16
58,5183.1,2.969523828180824e-16
59,5208.7,2.917900445366337e-16
60,5234.2,2.9179927334401225e-16
61,5259.8,3.0957633582259305e-16
62,5285.4,3.267047735143937e-16
63,5311.0,3.365879989901604e-16
64,5336.5,3.6855201329473863e-16
65,5362.1,3.5776937393473506e-16
66,5387.7,3.6821097538809974e-16
67,5413.2,3.512616035029582e-16
68,5438.8,3.539210685199343e-16
69,5464.4,3.660504951063077e-16
70,5490.0,3.4456471945735694e-16
71,5515.5,3.251896622786728e-16
72,5541.1,2.9484324081411395e-16
73,5566.7,2.657711300540455e-16
74,5592.2,2.624907685637409e-16
75,5617.8,2.662186052671807e-16
76,5643.4,2.741623306189786e-16
77,5668.9,2.737841996842204e-16
78,5694.5,2.7220551959947166e-16
79,5720.1,2.4670741581470073e-16
80,5745.7,2.356727027546521e-16
81,5771.2,2.432627759334149e-16
82,5796.8,2.7877859655094755e-16
83,5822.4,2.8895657265483164e-16
84,5847.9,3.1312468849371304e-16
85,5873.5,2.903721017928465e-16
86,5899.1,3.1270885098706006e-16
87,5924.7,3.0874407110287233e-16
88,5950.2,2.9345633729079227e-16
89,5975.8,2.7044736706712704e-16
90,6001.4,2.74035982165831e-16
91,6026.9,2.38827916419607e-16
92,6052.5,2.2995455650222145e-16
93,6078.1,2.420063263313701e-16
94,6103.7,2.227003030260681e-16
95,6129.2,2.3462261800304504e-16
96,6154.8,2.410741426854372e-16
97,6180.4,2.4787155360134147e-16
98,6205.9,2.4957132792609216e-16
99,6231.5,2.705420986499795e-16
100,6257.1,2.8013823733667426e-16
101,6282.6,2.723660071094299e-16
102,6308.2,2.4679205881780367e-16
103,6333.8,2.2172946683070638e-16
104,6359.4,1.71970283728615e-16
105,6384.9,1.3911885095899334e-16
106,6410.5,1.2525220670540665e-16
107,6436.1,1.1553173101919615e-16
108,6461.6,1.0990123731955919e-16
109,6487.2,1.1622411259366253e-16
110,6512.8,1.444512780333978e-16
111,6538.4,1.6953070303830252e-16
112,6563.9,1.967968553183423e-16
113,6589.5,2.2074545326925788e-16
114,6615.1,2.2198023854119719e-16
115,6640.6,2.2087759213073778e-16
116,6666.2,2.327312703073448e-16
117,6691.8,2.415344414364025e-16
118,6717.4,2.358732832334296e-16
119,6742.9,2.248645270741915e-16
120,6768.5,2.2434411639472665e-16
121,6794.1,2.2335918506655146e-16
122,6819.6,2.159860662171116e-16
123,6845.2,2.14660256714196e-16
124,6870.8,2.2389284304666957e-16
125,6896.3,2.1920157647833145e-16
126,6921.9,2.0953589508276267e-16
127,6947.5,2.0173662435344991e-16
128,6973.1,1.9013254290838854e-16
129,6998.6,1.773909248557645e-16
130,7024.2,1.711347094597334e-16
131,7049.8,1.7065726198966233e-16
132,7075.3,1.6845141363162425e-16
133,7100.9,1.618703002514098e-16
134,7126.5,1.5921329078181517e-16
135,7152.1,1.5932103423400983e-16
136,7177.6,1.6207271573480102e-16
137,7203.2,1.5034762391517424e-16
138,7228.8,1.5356037822058633e-16
139,7254.3,1.4828221837290766e-16
140,7279.9,1.4071979409988916e-16
141,7305.5,1.3832165067738075e-16
142,7331.1,1.3066398855999154e-16
143,7356.6,1.283919108470986e-16
144,7382.2,1.3731862242074808e-16
145,7407.8,1.3938242449529886e-16
146,7433.3,1.3551202531877673e-16
147,7458.9,1.3164717551319967e-16
148,7484.5,1.37810900905305e-16
149,7510.0,1.3702352921075227e-16
150,7535.6,1.2759429970788368e-16
151,7561.2,1.2908837834676087e-16
152,7586.8,1.3523580078086622e-16
153,7612.3,1.360417609757786e-16
154,7637.9,1.3537238406613215e-16
155,7663.5,1.3187191348939128e-16
156,7689.0,1.218112492326898e-16
157,7714.6,1.157247630312184e-16
158,7740.2,1.1416912214483988e-16
159,7765.8,1.1487512820012955e-16
160,7791.3,1.155806800989053e-16
161,7816.9,1.0775831263414085e-16
162,7842.5,9.840363406328962e-17
163,7868.0,9.70932523205428e-17
164,7893.6,9.55259294526177e-17
165,7919.2,9.265662005357685e-17
166,7944.7,8.74657188629233e-17
167,7970.3,9.164812267176466e-17
168,7995.9,1.0049325238407184e-16
169,8021.5,9.388440932511016e-17
170,8047.0,9.172315346048831e-17
171,8072.6,9.695599875045789e-17
172,8098.2,9.87464409358018e-17
173,8123.7,9.608428074757324e-17
174,8149.3,9.419704074458931e-17
175,8174.9,9.990689903812892e-17
176,8200.5,1.075290982353247e-16
177,8226.0,1.0744646768937857e-16
178,8251.6,9.77122567767822e-17
179,8277.2,9.848353115506381e-17
180,8302.7,9.976661925978862e-17
181,8328.3,8.459630458648106e-17
182,8353.9,8.121848591577926e-17
183,8379.5,9.131035891606616e-17
