,wl,fl
0,3700.0,1.971857013747783e-15
1,3725.6,3.2967389781698567e-15
2,3751.1,2.7292329174405473e-15
3,3776.7,2.0848695141445312e-15
4,3802.3,2.6547010898059052e-15
5,3827.9,1.6856532554868805e-15
6,3853.4,1.677404517252851e-15
7,3879.0,1.2793072030550029e-15
8,3904.6,1.3474432271665413e-15
9,3930.1,1.3237633870623853e-15
10,3955.7,1.4004779216136075e-15
11,3981.3,1.914829441584835e-15
12,4006.8,2.61189891837282e-15
13,4032.4,2.6173000571575237e-15
14,4058.0,2.904281449901322e-15
15,4083.6,2.674219996569064e-15
16,4109.1,2.370439073961583e-15
17,4134.7,2.322705642338675e-15
18,4160.3,2.2827582901570815e-15
19,4185.8,2.5823373261825914e-15
20,4211.4,2.766392154906637e-15
21,4237.0,3.2043224370261726e-15
22,4262.6,2.7554821995760223e-15
23,4288.1,2.6143491775865602e-15
24,4313.7,2.346006014050344e-15
25,4339.3,2.4089735611456295e-15
26,4364.8,1.9225509084843965e-15
27,4390.4,1.7798495354755707e-15
28,4416.0,1.468152327252769e-15
29,4441.6,1.3000955880238586e-15
30,4467.1,1.3052885988150982e-15
31,4492.7,1.5561920754087605e-15
32,4518.3,1.5327083010889112e-15
33,4543.8,1.5515623438195565e-15
34,4569.4,1.4816106921161617e-15
35,4595.0,1.5380910665610296e-15
36,4620.5,1.4963671722378763e-15
37,4646.1,1.6708370348874486e-15
38,4671.7,1.66901915648754e-15
39,4697.3,1.703897208563358e-15
40,4722.8,1.542840390906803e-15
41,4748.4,1.6022860586752497e-15
42,4774.0,1.496115284006007e-15
43,4799.5,1.3649407038897703e-15
44,4825.1,1.2778934811173123e-15
45,4850.7,1.1249225131713395e-15
46,4876.3,1.2064154986214506e-15
47,4901.8,1.1581713954405305e-15
48,4927.4,9.721474237835677e-16
49,4953.0,1.0740475419103058e-15
50,4978.5,9.896559629918263e-16
51,5004.1,8.305240163254887e-16
52,5029.7,7.138191863327605e-16
53,5055.3,6.570995081785854e-16
54,5080.8,6.964368339117887e-16
55,5106.4,7.699509339905157e-16
56,5132.0,8.315131326708768e-16
57,5157.5,8.111750451880464e-16
58,5183.1,8.696997415898295e-16
59,5208.7,8.518022689469625e-16
60,5234.2,8.683588384325613e-16
61,5259.8,9.388003702349286e-16
62,5285.4,9.4927735406188e-16
63,5311.0,9.193592146730258e-16
64,5336.5,8.969401752914799e-16
65,5362.1,8.843652201635492e-16
66,5387.7,8.510645577903186e-16
67,5413.2,8.196028627644895e-16
68,5438.8,6.737508300581583e-16
69,5464.4,6.63726486251629e-16
70,5490.0,6.058200301093689e-16
71,5515.5,6.028678631204039e-16
72,5541.1,6.561285313233835e-16
73,5566.7,6.035717085854015e-16
74,5592.2,6.360443232676789e-16
75,5617.8,5.663664401505635e-16
76,5643.4,5.259835416114853e-16
77,5668.9,5.142014766518732e-16
78,5694.5,6.222853101776506e-16
79,5720.1,6.404362368857792e-16
80,5745.7,6.651862888129836e-16
81,5771.2,6.608069780185558e-16
82,5796.8,6.672768936247269e-16
83,5822.4,6.647485433639182e-16
84,5847.9,6.874999852105769e-16
85,5873.5,6.631225420187684e-16
86,5899.1,6.235704792218062e-16
87,5924.7,5.554617518966884e-16
88,5950.2,5.162560493984207e-16
89,5975.8,4.965833828123768e-16
90,6001.4,4.947106398701208e-16
91,6026.9,5.363716019722286e-16
92,6052.5,5.606960698469742e-16
93,6078.1,5.747730505107591e-16
94,6103.7,6.048473214653102e-16
95,6129.2,5.909322077384827e-16
96,6154.8,5.715568290162971e-16
97,6180.4,5.400462372331992e-16
98,6205.9,4.859905999074595e-16
99,6231.5,4.0653796271176273e-16
100,6257.1,3.460662738425166e-16
101,6282.6,2.903550618771456e-16
102,6308.2,2.4524389140552334e-16
103,6333.8,1.9289166174138909e-16
104,6359.4,2.3055955420852557e-16
105,6384.9,2.4325434505679923e-16
106,6410.5,2.7693225564539337e-16
107,6436.1,3.6453411499105913e-16
108,6461.6,4.2122580273809573e-16
109,6487.2,4.641319747525463e-16
110,6512.8,4.959369921222438e-16
111,6538.4,5.199619263380715e-16
112,6563.9,5.204117862578508e-16
113,6589.5,5.115701641221466e-16
114,6615.1,5.099991095140019e-16
115,6640.6,5.021578148679565e-16
116,6666.2,4.986088292605163e-16
117,6691.8,4.88401386092492e-16
118,6717.4,4.698405920013827e-16
119,6742.9,4.523086164223267e-16
120,6768.5,4.3292012196538627e-16
121,6794.1,4.200312608367109e-16
122,6819.6,4.148815730183301e-16
123,6845.2,4.2127966826595704e-16
124,6870.8,4.0358609169702714e-16
125,6896.3,3.981081976236895e-16
126,6921.9,3.8578645775284466e-16
127,6947.5,3.4702563695162555e-16
128,6973.1,3.2156508431497973e-16
129,6998.6,3.209268586369729e-16
130,7024.2,3.198600880950777e-16
131,7049.8,3.0932059796234063e-16
132,7075.3,2.938306178745241e-16
133,7100.9,2.882719418951228e-16
134,7126.5,2.817122524323889e-16
135,7152.1,2.727132872633924e-16
136,7177.6,2.718354022793878e-16
137,7203.2,2.660219320235536e-16
138,7228.8,2.835932740824468e-16
139,7254.3,2.6982117042158265e-16
140,7279.9,2.4518118925818598e-16
141,7305.5,2.342894932737613e-16
142,7331.1,2.490737764760121e-16
143,7356.6,2.5250115494302166e-16
144,7382.2,2.391011777551234e-16
145,7407.8,2.465134581434209e-16
146,7433.3,2.4851303537161286e-16
147,7458.9,2.3231591678781913e-16
148,7484.5,2.2352493771236686e-16
149,7510.0,2.2225225985126526e-16
150,7535.6,2.0810002690200728e-16
151,7561.2,1.9736317697047045e-16
152,7586.8,2.0723956796141492e-16
153,7612.3,2.0507920153890179e-16
154,7637.9,1.836183653035215e-16
155,7663.5,1.771208471737597e-16
156,7689.0,1.7006562209172974e-16
157,7714.6,1.5386892161723849e-16
158,7740.2,1.3853500850272604e-16
159,7765.8,1.379070172284268e-16
160,7791.3,1.5127354902472265e-16
161,7816.9,1.497039145309902e-16
162,7842.5,1.3830853848393326e-16
163,7868.0,1.4478427011648286e-16
164,7893.6,1.6019671358301754e-16
165,7919.2,1.6517739384751933e-16
166,7944.7,1.6836221225967427e-16
167,7970.3,1.7490490641125847e-16
168,7995.9,1.6833791217234684e-16
169,8021.5,1.6643107090536903e-16
170,8047.0,1.7425397421428164e-16
171,8072.6,1.7293744293282022e-16
172,8098.2,1.6723337356115704e-16
173,8123.7,1.7087785129576334e-16
174,8149.3,1.7091300487865187e-16
175,8174.9,1.597052639939897e-16
176,8200.5,1.5176498621471875e-16
177,8226.0,1.5859736771095995e-16
178,8251.6,1.498418629642172e-16
179,8277.2,1.4884066431555713e-16
180,8302.7,1.3945185066152203e-16
181,8328.3,1.4051690626989133e-16
182,8353.9,1.334946835311224e-16
183,8379.5,1.2389374019632899e-16
184,8405.0,1.1542815668065455e-16
185,8430.6,1.0791165062293593e-16
186,8456.2,9.837388948890355e-17
187,8481.7,9.538649206175312e-17
188,8507.3,9.531201850412402e-17
189,8532.9,9.233974895336756e-17
190,8558.4,8.467038749102702e-17
191,8584.0,8.222557018367809e-17
192,8609.6,8.499326255572239e-17
193,8635.2,8.169545075488024e-17
194,8660.7,8.17302346721232e-17
195,8686.3,8.658439599783932e-17
196,8711.9,9.035062411929735e-17
197,8737.4,1.0729707864412218e-16
198,8763.0,1.2342748497633173e-16
199,8788.6,1.3086885012277718e-16
200,8814.2,1.2023329554348864e-16
201,8839.7,1.3005101660920091e-16
202,8865.3,1.5011712173702025e-16
203,8890.9,1.3224902881114432e-16
204,8916.4,1.155165608185135e-16
205,8942.0,1.1392896976358009e-16
206,8967.6,1.240901680907326e-16
207,8993.2,1.3220532530457755e-16
208,9018.7,1.3075396854578694e-16
209,9044.3,1.162859655891169e-16
210,9069.9,9.966715842623057e-17
211,9095.4,9.587313566244733e-17
212,9121.0,9.419720291296046e-17
213,9146.6,8.532948579282113e-17
214,9172.1,7.683518325463873e-17
215,9197.7,7.886904670795874e-17
216,9223.3,7.723052430631943e-17
217,9248.9,6.578350050334192e-17
218,9274.4,7.528808785114025e-17
219,9300.0,1.0168948239349592e-16
