,wl,fl
0,3700.0,3.468502172379862e-16
1,3725.6,4.761314932028989e-16
2,3751.1,4.421696287916492e-16
3,3776.7,4.998979184984541e-16
4,3802.3,4.712086523938305e-16
5,3827.9,3.5566712522636797e-16
6,3853.4,3.077086306036569e-16
7,3879.0,3.4937456737920534e-16
8,3904.6,2.6535533515718886e-16
9,3930.1,3.312326756490815e-16
10,3955.7,3.950211923703787e-16
11,3981.3,5.073824123751301e-16
12,4006.8,6.377837644463653e-16
13,4032.4,5.886917182596427e-16
14,4058.0,6.799953072477756e-16
15,4083.6,5.920737942102827e-16
16,4109.1,5.686678011099337e-16
17,4134.7,5.277199499581434e-16
18,4160.3,5.762527880092282e-16
19,4185.8,6.278262768298839e-16
20,4211.4,6.306185702585238e-16
21,4237.0,6.220940280105764e-16
22,4262.6,5.617259539507326e-16
23,4288.1,5.803815551221204e-16
24,4313.7,5.476702891664762e-16
25,4339.3,5.186516096530347e-16
26,4364.8,4.87464074363473e-16
27,4390.4,4.2032507422514006e-16
28,4416.0,3.5184574438281077e-16
29,4441.6,3.416765094396915e-16
30,4467.1,3.201745703532971e-16
31,4492.7,3.8502098476120984e-16
32,4518.3,4.1115990631529705e-16
33,4543.8,4.494695118799665e-16
34,4569.4,4.539960522965415e-16
35,4595.0,4.989242811231348e-16
36,4620.5,5.218506480779804e-16
37,4646.1,5.195279669675465e-16
38,4671.7,5.16553988677706e-16
39,4697.3,5.263995121990288e-16
40,4722.8,5.02093017233739e-16
41,4748.4,4.728985873712187e-16
42,4774.0,4.478981002987345e-16
43,4799.5,4.1026297578866235e-16
44,4825.1,3.950547756367061e-16
45,4850.7,3.9765085560405e-16
46,4876.3,4.094055430436064e-16
47,4901.8,3.7222523379201124e-16
48,4927.4,3.538218532274084e-16
49,4953.0,3.396874984973348e-16
50,4978.5,3.009890107326051e-16
51,5004.1,2.5298599128411437e-16
52,5029.7,2.512178063432805e-16
53,5055.3,2.638974788030265e-16
54,5080.8,2.804739981803344e-16
55,5106.4,2.9584163295476627e-16
56,5132.0,3.0143717062156514e-16
57,5157.5,3.2480388152043977e-16
58,5183.1,3.2345180488655143e-16
59,5208.7,3.3358033248819487e-16
60,5234.2,3.356942445902239e-16
61,5259.8,3.36834671246716e-16
62,5285.4,3.3711170521873023e-16
63,5311.0,3.3036656887727606e-16
64,5336.5,3.247107212337552e-16
65,5362.1,3.289952113993617e-16
66,5387.7,2.9507217438935543e-16
67,5413.2,2.739106102146363e-16
68,5438.8,2.4856258082383734e-16
69,5464.4,2.603175903615185e-16
70,5490.0,2.5665663990658844e-16
71,5515.5,2.518158176573003e-16
72,5541.1,2.4913316832604326e-16
73,5566.7,2.425796350550542e-16
74,5592.2,2.265656708183697e-16
75,5617.8,2.2465246684885933e-16
76,5643.4,2.239243348125198e-16
77,5668.9,2.482367384683823e-16
78,5694.5,2.6447561328220835e-16
79,5720.1,2.757643360438638e-16
80,5745.7,2.7888786734769736e-16
81,5771.2,2.815814865421499e-16
82,5796.8,2.8781396655407833e-16
83,5822.4,2.879307502195317e-16
84,5847.9,2.862264153419909e-16
85,5873.5,2.5215987036207267e-16
86,5899.1,2.3043659407581186e-16
87,5924.7,2.075501828807351e-16
88,5950.2,2.0662685043310142e-16
89,5975.8,2.1201893035545672e-16
90,6001.4,2.3516877923612213e-16
91,6026.9,2.522081697751577e-16
92,6052.5,2.6570855448794757e-16
93,6078.1,2.7075658014330527e-16
94,6103.7,2.6971102301727366e-16
95,6129.2,2.686668844734892e-16
96,6154.8,2.573713385196254e-16
97,6180.4,2.3348531030719607e-16
98,6205.9,1.9445893500064867e-16
99,6231.5,1.5940388718985756e-16
100,6257.1,1.2917002038680484e-16
101,6282.6,1.0983102561812337e-16
102,6308.2,1.0372197449693099e-16
103,6333.8,1.2127483043699688e-16
104,6359.4,1.3583428280948428e-16
105,6384.9,1.6327246146523171e-16
106,6410.5,1.9026839317114605e-16
107,6436.1,2.223576405268965e-16
108,6461.6,2.385730698541805e-16
109,6487.2,2.3956646927998724e-16
110,6512.8,2.4864177843248275e-16
111,6538.4,2.609012706606374e-16
112,6563.9,2.591241796718848e-16
113,6589.5,2.560727863113666e-16
114,6615.1,2.4399422474531604e-16
115,6640.6,2.3967502453108e-16
116,6666.2,2.400291243307366e-16
117,6691.8,2.2754132783906396e-16
118,6717.4,2.278987123947415e-16
119,6742.9,2.205132135908517e-16
120,6768.5,2.1048086150387185e-16
121,6794.1,2.0215044271537935e-16
122,6819.6,1.946728945369025e-16
123,6845.2,1.9726396167783218e-16
124,6870.8,1.9720567576710823e-16
125,6896.3,1.8560673198514406e-16
126,6921.9,1.749670008000648e-16
127,6947.5,1.7353957983019679e-16
128,6973.1,1.721129555489493e-16
129,6998.6,1.6613989569149646e-16
130,7024.2,1.654562782530284e-16
131,7049.8,1.6656978077013956e-16
132,7075.3,1.6335070921962906e-16
133,7100.9,1.6076709488844622e-16
134,7126.5,1.5829058251756012e-16
