,wl,fl
0,3700.0,1.9872853223289403e-16
1,3725.6,3.28640290151561e-16
2,3751.1,2.883357615978676e-16
3,3776.7,2.690258083909316e-16
4,3802.3,2.483605141840569e-16
5,3827.9,2.6912285677468633e-16
6,3853.4,2.321454039815169e-16
7,3879.0,2.3616783412573883e-16
8,3904.6,2.275070746185605e-16
9,3930.1,1.8941917290969213e-16
10,3955.7,2.457612184406411e-16
11,3981.3,3.027144193397484e-16
12,4006.8,3.2631837071334196e-16
13,4032.4,4.3688113663776217e-16
14,4058.0,3.50035597341439e-16
15,4083.6,3.289416040251885e-16
16,4109.1,3.070265398654965e-16
17,4134.7,3.2981394158915084e-16
18,4160.3,3.068257534177307e-16
19,4185.8,3.35602971349966e-16
20,4211.4,3.5712938624486457e-16
21,4237.0,3.30110655878821e-16
22,4262.6,3.338366127815027e-16
23,4288.1,3.213125104975909e-16
24,4313.7,2.9739498133190425e-16
25,4339.3,2.7722313222505873e-16
26,4364.8,2.6409062151498075e-16
27,4390.4,2.330125654898479e-16
28,4416.0,1.9896912412861847e-16
29,4441.6,2.0332054283828973e-16
30,4467.1,1.943853389692175e-16
31,4492.7,2.1004272114570436e-16
32,4518.3,2.379234011682973e-16
33,4543.8,2.4207858837855354e-16
34,4569.4,2.6826508850916694e-16
35,4595.0,2.5555763915202944e-16
36,4620.5,2.706682468995971e-16
37,4646.1,2.5787672536090284e-16
38,4671.7,2.529521491446081e-16
39,4697.3,2.2951870283708723e-16
40,4722.8,2.5937106882177753e-16
41,4748.4,2.2939836363050684e-16
42,4774.0,2.403664019403615e-16
43,4799.5,2.137341569681265e-16
44,4825.1,2.0115524205517126e-16
45,4850.7,2.0281628980470095e-16
46,4876.3,1.7741167513082018e-16
47,4901.8,1.8529700540582547e-16
48,4927.4,1.7496724772895669e-16
49,4953.0,1.7203063196092127e-16
50,4978.5,1.5177866622162984e-16
51,5004.1,1.491178876624324e-16
52,5029.7,1.6079246706535694e-16
53,5055.3,1.5411150554580377e-16
54,5080.8,1.5571858206895672e-16
55,5106.4,1.707787779513382e-16
56,5132.0,1.6989375675710622e-16
57,5157.5,1.6312504533495954e-16
58,5183.1,1.642553482765098e-16
59,5208.7,1.8148973358776365e-16
60,5234.2,1.829581823981605e-16
61,5259.8,1.9862160264649314e-16
