,wl,fl
0,3700.0,2.2656814903910553e-16
1,3725.6,1.549688764895143e-16
2,3751.1,3.773300493449814e-17
3,3776.7,1.953481959656948e-16
4,3802.3,3.657436964937277e-16
5,3827.9,3.533744926532729e-16
6,3853.4,2.415346303992707e-16
7,3879.0,3.314449415869168e-16
8,3904.6,2.3761813730751724e-16
9,3930.1,8.191167802857709e-17
10,3955.7,2.8127215713523904e-16
11,3981.3,1.9457560894639126e-16
12,4006.8,6.830415496836797e-16
13,4032.4,4.079010159590791e-16
14,4058.0,3.7361303744524395e-16
15,4083.6,2.0454179571375828e-16
16,4109.1,3.50371686379385e-16
17,4134.7,2.3678661793578616e-16
18,4160.3,4.172860922480642e-16
19,4185.8,4.2205941143106405e-16
20,4211.4,3.151770194378905e-16
21,4237.0,3.7752068817259853e-16
22,4262.6,5.080422924232905e-16
23,4288.1,2.9940387067733603e-16
24,4313.7,3.714834195814969e-16
25,4339.3,4.2625353008969534e-16
26,4364.8,2.967083254760159e-16
27,4390.4,3.0685769032971294e-16
28,4416.0,2.5372775601604865e-16
29,4441.6,2.4354872027603576e-16
30,4467.1,3.0566962213828195e-16
31,4492.7,2.37467403388241e-16
32,4518.3,3.1410820086495533e-16
33,4543.8,2.7498420966701463e-16
34,4569.4,3.061383172275108e-16
35,4595.0,3.6538416388150225e-16
36,4620.5,3.291430319594541e-16
37,4646.1,3.5384279113581005e-16
38,4671.7,2.8229617282669666e-16
39,4697.3,2.836166386502242e-16
40,4722.8,2.519358145309818e-16
41,4748.4,2.9635867485059895e-16
42,4774.0,2.858416916460645e-16
43,4799.5,1.5499373625264155e-16
44,4825.1,2.643064168255474e-16
45,4850.7,1.9317358299328958e-16
46,4876.3,2.4217851485678343e-16
47,4901.8,2.5924722588835483e-16
48,4927.4,2.488526381799542e-16
49,4953.0,1.913839967287357e-16
50,4978.5,2.009835657318158e-16
51,5004.1,1.9148755414907204e-16
52,5029.7,2.027965888497825e-16
53,5055.3,2.416234974580719e-16
54,5080.8,2.1539040130497035e-16
55,5106.4,2.721257538658099e-16
56,5132.0,2.654857193359888e-16
57,5157.5,2.955638848873266e-16
58,5183.1,3.1691271201547795e-16
59,5208.7,3.062685126060573e-16
60,5234.2,3.2256473370832807e-16
61,5259.8,2.425322113969536e-16
62,5285.4,2.840274703946701e-16
63,5311.0,3.2614582612209483e-16
64,5336.5,2.6347546915721347e-16
65,5362.1,2.439657325063838e-16
66,5387.7,1.812247702160034e-16
67,5413.2,2.2818701607766644e-16
68,5438.8,2.301827873990975e-16
69,5464.4,2.0849584331728336e-16
70,5490.0,2.332675046616558e-16
71,5515.5,2.0550195253785613e-16
72,5541.1,1.9541602284676598e-16
73,5566.7,2.1348577056218766e-16
74,5592.2,2.230641376378006e-16
