,wl,fl
0,3700.0,8.7264232799861205e-16
1,3725.6,6.930536024665817e-16
2,3751.1,6.602610914042309e-16
3,3776.7,7.697451978686564e-16
4,3802.3,4.707144477867618e-16
5,3827.9,3.480008307004366e-16
6,3853.4,3.9823504391644565e-16
7,3879.0,5.236008940550301e-16
8,3904.6,5.271755448461793e-16
9,3930.1,6.951030392015035e-16
10,3955.7,8.984221634323775e-16
11,3981.3,9.546693295105644e-16
12,4006.8,1.0549085373164891e-15
13,4032.4,1.1368993937297674e-15
14,4058.0,1.0809269335987207e-15
15,4083.6,9.998984597540772e-16
16,4109.1,9.79228956251034e-16
17,4134.7,1.1041936508833972e-15
18,4160.3,1.1805294009912824e-15
19,4185.8,1.1875097595777548e-15
20,4211.4,1.1859526634167039e-15
21,4237.0,1.1034444410845363e-15
22,4262.6,1.0752989041252871e-15
23,4288.1,1.0075874657365254e-15
24,4313.7,9.685443474832451e-16
25,4339.3,9.032694794970764e-16
26,4364.8,8.070158224680141e-16
27,4390.4,7.096739943976705e-16
28,4416.0,6.651934855045687e-16
29,4441.6,6.772218650466178e-16
30,4467.1,7.544947079578428e-16
31,4492.7,7.606431225707729e-16
32,4518.3,8.136451008212811e-16
33,4543.8,8.122439152805867e-16
34,4569.4,8.142341391870894e-16
35,4595.0,8.649295807716131e-16
36,4620.5,8.573774548991659e-16
37,4646.1,8.115361248868045e-16
38,4671.7,8.318288097460167e-16
39,4697.3,8.115167717544854e-16
40,4722.8,7.772776701259939e-16
41,4748.4,7.400046093847493e-16
42,4774.0,7.066705639269236e-16
43,4799.5,7.014410415336855e-16
44,4825.1,6.689979486617672e-16
45,4850.7,6.375316863552598e-16
46,4876.3,6.432017431842345e-16
47,4901.8,6.385439320516227e-16
48,4927.4,5.675213062781761e-16
49,4953.0,4.932871554217832e-16
50,4978.5,4.630083510831127e-16
51,5004.1,4.861094092012236e-16
52,5029.7,5.209805911875656e-16
53,5055.3,5.358488592560734e-16
54,5080.8,5.687946522310021e-16
55,5106.4,5.926826868502849e-16
56,5132.0,6.027944223268487e-16
57,5157.5,6.008242405367912e-16
58,5183.1,5.873067876489267e-16
59,5208.7,6.210397291507747e-16
60,5234.2,6.257916073163348e-16
61,5259.8,5.766164328124415e-16
62,5285.4,5.696361947938612e-16
63,5311.0,5.729385174491475e-16
64,5336.5,5.746698341281589e-16
65,5362.1,4.984306797753092e-16
66,5387.7,4.467510638341701e-16
67,5413.2,4.147929596932593e-16
68,5438.8,4.2756755411064814e-16
69,5464.4,4.352074554622596e-16
70,5490.0,4.430545756665869e-16
71,5515.5,4.1312438150780107e-16
72,5541.1,3.9712369405704e-16
73,5566.7,3.859432268564492e-16
74,5592.2,3.9735620551902744e-16
75,5617.8,4.12423871908374e-16
76,5643.4,4.580057450894791e-16
77,5668.9,4.744144089700116e-16
78,5694.5,4.900854458001399e-16
79,5720.1,4.821450825896753e-16
80,5745.7,4.798485505462033e-16
81,5771.2,4.80582377602758e-16
82,5796.8,4.826736383978554e-16
83,5822.4,4.572133459420942e-16
84,5847.9,4.4313810507694247e-16
85,5873.5,3.807688757260474e-16
86,5899.1,3.7975355815400775e-16
87,5924.7,3.981351286424679e-16
88,5950.2,4.096293797415765e-16
89,5975.8,4.351915167949284e-16
90,6001.4,4.3958823325911467e-16
91,6026.9,4.559668742245187e-16
92,6052.5,4.658804936266878e-16
93,6078.1,4.666250446977255e-16
94,6103.7,4.670574276077586e-16
95,6129.2,4.478121481673315e-16
96,6154.8,4.0817084095453366e-16
97,6180.4,3.535572804627438e-16
98,6205.9,2.9781985641031384e-16
99,6231.5,2.3586056848261776e-16
100,6257.1,2.1553295070023966e-16
101,6282.6,2.3369406452193517e-16
102,6308.2,2.5839947242380976e-16
103,6333.8,2.807047956035499e-16
104,6359.4,3.3283456966940397e-16
105,6384.9,3.725784823391288e-16
106,6410.5,4.0222876816580674e-16
107,6436.1,4.2262226790113734e-16
108,6461.6,4.3282946626245796e-16
109,6487.2,4.353477060570984e-16
110,6512.8,4.355807613681143e-16
111,6538.4,4.341527390474136e-16
112,6563.9,4.2193077536218936e-16
113,6589.5,4.079487012705358e-16
114,6615.1,4.0683773134404138e-16
115,6640.6,3.97635708961915e-16
116,6666.2,3.911334475238984e-16
117,6691.8,3.8691495787932816e-16
118,6717.4,3.91614782586077e-16
119,6742.9,3.813853223560509e-16
120,6768.5,3.6535500423423127e-16
121,6794.1,3.48294133851805e-16
122,6819.6,3.384922655823614e-16
123,6845.2,3.405029911102037e-16
124,6870.8,3.295664262563367e-16
125,6896.3,3.102461566902598e-16
126,6921.9,3.0128606428928585e-16
127,6947.5,2.959522268272809e-16
128,6973.1,2.9289721517188717e-16
129,6998.6,2.884982513602919e-16
130,7024.2,2.7954840320100297e-16
131,7049.8,2.741187598533396e-16
132,7075.3,2.7593080825024536e-16
133,7100.9,2.6988330388809657e-16
134,7126.5,2.6735305277875434e-16
135,7152.1,2.7319634570753334e-16
136,7177.6,2.7500715183494946e-16
137,7203.2,2.6493431423848926e-16
138,7228.8,2.633365285677513e-16
139,7254.3,2.6153292543025504e-16
140,7279.9,2.547727249564875e-16
141,7305.5,2.5441670823863896e-16
142,7331.1,2.559190627969693e-16
143,7356.6,2.519506208774962e-16
144,7382.2,2.4777706969635564e-16
145,7407.8,2.4948625429505257e-16
146,7433.3,2.5367088385911236e-16
147,7458.9,2.4269206668355364e-16
148,7484.5,2.2852045513110827e-16
149,7510.0,2.2394287379106097e-16
150,7535.6,2.2503656837950357e-16
151,7561.2,2.175753451907289e-16
152,7586.8,2.0733454963468941e-16
153,7612.3,1.9019457917145294e-16
154,7637.9,1.6852811606254749e-16
155,7663.5,1.6242153046574452e-16
156,7689.0,1.6424643658226884e-16
157,7714.6,1.6020208499415552e-16
158,7740.2,1.5935037356186658e-16
159,7765.8,1.6560063696536848e-16
160,7791.3,1.806986393016247e-16
161,7816.9,1.8900093139964582e-16
162,7842.5,1.90099725999831e-16
163,7868.0,1.9757511865522395e-16
164,7893.6,2.0844143539024801e-16
165,7919.2,2.1889294022954026e-16
166,7944.7,2.23687359189738e-16
167,7970.3,2.2262173958534083e-16
