,wl,fl
0,3700.0,7.801814819739722e-16
1,3725.6,5.594774731280088e-16
2,3751.1,4.685603546889468e-16
3,3776.7,1.2547747405813615e-16
4,3802.3,5.889078234878197e-16
5,3827.9,2.995962946746612e-16
6,3853.4,4.043782898745757e-16
7,3879.0,3.2376867945247667e-16
8,3904.6,3.476857026561675e-16
9,3930.1,4.510528286999327e-16
10,3955.7,2.380642730822133e-16
11,3981.3,3.586373190057916e-16
12,4006.8,4.767569819895884e-16
13,4032.4,2.702408005590282e-16
14,4058.0,2.5727179941148266e-16
15,4083.6,3.2812406914015345e-16
16,4109.1,2.8964814929413157e-16
17,4134.7,2.272933455450148e-16
18,4160.3,4.2317060178070703e-16
19,4185.8,2.0920839218152349e-16
20,4211.4,2.452498814205996e-16
21,4237.0,3.1435231405624773e-16
22,4262.6,1.3485023677199714e-16
23,4288.1,2.286852543296953e-16
24,4313.7,1.4735973094981475e-16
25,4339.3,1.9062637233589168e-16
26,4364.8,1.6212854886878386e-16
27,4390.4,1.987648313177466e-16
28,4416.0,1.6653274658130804e-16
29,4441.6,7.956794973949411e-17
30,4467.1,2.0560206628223411e-16
31,4492.7,1.5088391132169687e-16
32,4518.3,1.5808664004705394e-16
33,4543.8,1.4805275686309153e-16
34,4569.4,2.3624117225189487e-16
35,4595.0,1.7242776311180517e-16
36,4620.5,2.0482487549533555e-16
37,4646.1,1.848716152453658e-16
38,4671.7,1.5110478055214698e-16
39,4697.3,1.9227663691836569e-16
40,4722.8,2.1594191350822628e-16
41,4748.4,2.5958444234892304e-16
42,4774.0,1.0976406716102656e-16
43,4799.5,2.2482417030062337e-16
44,4825.1,2.179082851633977e-16
45,4850.7,1.9825047312206145e-16
46,4876.3,2.477504945778824e-16
47,4901.8,2.197428621151954e-16
48,4927.4,2.2725416552144493e-16
49,4953.0,2.1234609348002037e-16
50,4978.5,1.5716780184854545e-16
51,5004.1,1.734397944251185e-16
52,5029.7,1.934609045601058e-16
53,5055.3,1.5282366150815093e-16
54,5080.8,2.1019598359621302e-16
55,5106.4,1.9087255409798907e-16
56,5132.0,2.057889637607888e-16
57,5157.5,1.6721255054098066e-16
58,5183.1,1.6838958852473548e-16
59,5208.7,1.8968287818221217e-16
60,5234.2,1.7352967392699442e-16
61,5259.8,1.8251256189532186e-16
62,5285.4,1.380522698064461e-16
63,5311.0,1.8798267798452072e-16
64,5336.5,1.482806873693604e-16
65,5362.1,1.7962867559438398e-16
66,5387.7,1.3997964990814878e-16
67,5413.2,1.811000886739717e-16
68,5438.8,1.5472567922104962e-16
69,5464.4,1.6492100288704353e-16
70,5490.0,1.499097746325827e-16
71,5515.5,1.595461780174973e-16
72,5541.1,1.4645491955240757e-16
73,5566.7,1.5938116254536185e-16
74,5592.2,1.7328087118747572e-16
75,5617.8,2.0459361719281283e-16
76,5643.4,1.7812196964678434e-16
77,5668.9,1.8761810631127734e-16
