,wl,fl
0,3500.5559082031286,5.287121149344511e-17
1,3502.2975093126333,1.1087303311578372e-16
2,3504.039110422138,1.3775527525879768e-16
3,3505.7807115316427,1.2255588846300162e-16
4,3507.5223126411474,1.6226924608162487e-16
5,3509.263913750652,1.5736972547623156e-16
6,3511.005514860157,1.6395602077631122e-16
7,3512.7471159696615,1.7038981250281143e-16
8,3514.4887170791662,1.7829878408711254e-16
9,3516.230318188671,1.7606379455699862e-16
10,3517.9719192981756,1.8674379053302704e-16
11,3519.7135204076803,1.5643986636173392e-16
12,3521.455121517185,1.7435420797370315e-16
13,3523.1967226266897,1.719724068835489e-16
14,3524.9383237361944,1.9842950414126593e-16
15,3526.679924845699,1.8042578070422417e-16
16,3528.421525955204,1.6139153891206971e-16
17,3530.1631270647085,1.720679506847759e-16
18,3531.9047281742132,1.4658115356446053e-16
19,3533.646329283718,1.5758837645265401e-16
20,3535.3879303932226,1.9944873526295371e-16
21,3537.1295315027273,1.82946242777881e-16
22,3538.871132612232,1.533204137478209e-16
23,3540.6127337217367,1.4704517351251017e-16
24,3542.3543348312414,1.8759827935593047e-16
25,3544.095935940746,1.5977615325664714e-16
26,3545.837537050251,1.4691274754746125e-16
27,3547.5791381597555,1.7656203766381614e-16
28,3549.3207392692602,1.6445357273985556e-16
29,3551.062340378765,1.683068539961714e-16
30,3552.8039414882696,1.780724970071808e-16
31,3554.5455425977743,2.2595006497060043e-16
32,3556.287143707279,1.9473902577299476e-16
33,3558.0287448167837,1.843495168485267e-16
34,3559.7703459262884,1.4085045497764938e-16
35,3561.511947035793,1.4341188404090723e-16
36,3563.253548145298,1.3980539435251435e-16
37,3564.9951492548025,1.5322716691827695e-16
38,3566.736750364307,1.6430695334338493e-16
39,3568.478351473812,1.7469278011214859e-16
40,3570.2199525833166,1.7793116291887674e-16
41,3571.9615536928213,1.646659520162046e-16
42,3573.703154802326,1.5348521549113595e-16
43,3575.4447559118307,1.5166651235649944e-16
44,3577.1863570213354,1.444205954624491e-16
45,3578.92795813084,1.58886178337219e-16
46,3580.669559240345,1.6141970663932884e-16
47,3582.4111603498495,1.326740145338413e-16
48,3584.152761459354,1.0576811018638636e-16
49,3585.894362568859,1.1636958346572693e-16
50,3587.6359636783636,1.3920356527530272e-16
51,3589.3775647878683,1.2850836322792647e-16
52,3591.119165897373,1.4699823317480828e-16
53,3592.8607670068777,1.5348534826008617e-16
54,3594.6023681163824,1.603271667467752e-16
55,3596.343969225887,1.53803321583479e-16
56,3598.085570335392,1.7270125785380414e-16
57,3599.8271714448965,1.9250507134475107e-16
58,3601.568772554401,1.688203880591204e-16
59,3603.310373663906,1.6295414041161937e-16
60,3605.0519747734106,1.960821617990782e-16
61,3606.7935758829153,2.4599618825560263e-16
62,3608.53517699242,2.1356784076640564e-16
63,3610.2767781019247,1.726534415515679e-16
64,3612.0183792114294,1.8029830308170966e-16
65,3613.759980320934,1.6371988571140142e-16
66,3615.501581430439,1.4331513270746183e-16
67,3617.2431825399435,1.6684313182661097e-16
68,3618.984783649448,1.6813325911623786e-16
69,3620.726384758953,1.9410174448121482e-16
70,3622.4679858684576,2.054022804554737e-16
71,3624.2095869779623,1.8494283692508242e-16
72,3625.951188087467,1.8329137959564554e-16
73,3627.6927891969717,1.647519833436022e-16
74,3629.4343903064764,1.742013823115967e-16
75,3631.175991415981,1.6781275968703246e-16
76,3632.917592525486,1.3680350572385634e-16
77,3634.6591936349905,1.764657299275699e-16
