,wl,fl
0,3700.0,3.1851214224729645e-17
1,3725.6,1.282678089824318e-17
2,3751.1,4.144683354807418e-17
3,3776.7,2.3470591437412934e-17
4,3802.3,7.161385316714972e-17
5,3827.9,5.8841873977614e-17
6,3853.4,7.06875556831753e-17
7,3879.0,8.517382427835102e-17
8,3904.6,5.753054464253236e-17
9,3930.1,9.611051835044563e-17
10,3955.7,5.704103590140438e-17
11,3981.3,9.245241651413252e-17
12,4006.8,8.727289243410095e-17
13,4032.4,9.199604062345288e-17
14,4058.0,8.969193177708802e-17
15,4083.6,1.0786376369684075e-16
16,4109.1,9.998988602696408e-17
17,4134.7,1.0806067668012055e-16
18,4160.3,1.1724580253075759e-16
19,4185.8,1.4874379416405052e-16
20,4211.4,1.4300500958110043e-16
21,4237.0,1.6243997062622312e-16
22,4262.6,1.2308466705651398e-16
23,4288.1,1.2680383169499605e-16
24,4313.7,1.1616155870141104e-16
25,4339.3,1.1935657499302389e-16
26,4364.8,8.76595803064141e-17
27,4390.4,7.601992706912634e-17
28,4416.0,6.737266681374974e-17
29,4441.6,8.990806445574054e-17
30,4467.1,1.0236701411929852e-16
31,4492.7,1.1066447590576666e-16
32,4518.3,1.0093939014226783e-16
33,4543.8,9.646826088453038e-17
34,4569.4,1.3224895275614138e-16
35,4595.0,1.3078793995690128e-16
36,4620.5,1.562471531899689e-16
37,4646.1,1.2950211322462201e-16
38,4671.7,1.4134697148818186e-16
39,4697.3,1.2029320253270405e-16
40,4722.8,1.2153314057933957e-16
41,4748.4,1.2870496134046777e-16
42,4774.0,1.0532792974030491e-16
43,4799.5,1.0397685845894405e-16
44,4825.1,9.699351219821782e-17
45,4850.7,9.273619242343233e-17
46,4876.3,8.67498938389628e-17
47,4901.8,9.828479953366765e-17
48,4927.4,8.474686004858932e-17
49,4953.0,7.682125612654274e-17
50,4978.5,8.650865706011347e-17
51,5004.1,7.438704152561221e-17
52,5029.7,7.703003242392606e-17
53,5055.3,9.041656072740069e-17
54,5080.8,8.811776832939256e-17
55,5106.4,1.0958697162061764e-16
56,5132.0,1.0431767847941564e-16
57,5157.5,1.1745562444729877e-16
58,5183.1,1.1505803501339572e-16
59,5208.7,1.1241463394282486e-16
60,5234.2,1.173766014046844e-16
61,5259.8,1.361085387200581e-16
62,5285.4,1.364410113529024e-16
63,5311.0,1.2848208157032598e-16
64,5336.5,1.2102302629435125e-16
65,5362.1,1.2413558736934386e-16
66,5387.7,1.0794151065854632e-16
67,5413.2,9.989763406318036e-17
68,5438.8,8.567680926617233e-17
69,5464.4,9.917608205219329e-17
70,5490.0,9.977328571710421e-17
71,5515.5,1.0861017213165695e-16
72,5541.1,1.0237444477989715e-16
73,5566.7,1.0218555496129213e-16
74,5592.2,9.755150964155815e-17
75,5617.8,9.571840507019051e-17
76,5643.4,1.1309487832381096e-16
77,5668.9,1.2215299173479437e-16
78,5694.5,1.3354263429462426e-16
79,5720.1,1.4029694805734415e-16
80,5745.7,1.3544834764093085e-16
81,5771.2,1.3415538777297562e-16
82,5796.8,1.3735317117132421e-16
83,5822.4,1.3771474423513667e-16
84,5847.9,1.3135615208591267e-16
85,5873.5,1.1267230206693237e-16
86,5899.1,1.0268338787744966e-16
87,5924.7,1.1180333390610207e-16
88,5950.2,1.0883807937724042e-16
89,5975.8,1.2638600282067533e-16
90,6001.4,1.2605599623589561e-16
91,6026.9,1.3921504241696975e-16
92,6052.5,1.3512694770713367e-16
93,6078.1,1.2882040929201104e-16
94,6103.7,1.3539625215535584e-16
95,6129.2,1.1176984747555536e-16
96,6154.8,9.496699103463253e-17
97,6180.4,8.329155546028227e-17
98,6205.9,6.684924906855224e-17
99,6231.5,5.765978752310734e-17
100,6257.1,5.971601445313905e-17
