,wl,fl
0,3700.0,4.06411261478029e-16
1,3725.6,2.6072917380071897e-16
2,3751.1,4.734050474688651e-16
3,3776.7,2.8315280837362925e-16
4,3802.3,4.874685379818207e-16
5,3827.9,4.029551042116604e-16
6,3853.4,5.871119494164942e-16
7,3879.0,3.868077036794117e-16
8,3904.6,3.330464089408455e-16
9,3930.1,3.3151964079279523e-16
10,3955.7,2.2401817627206205e-16
11,3981.3,3.2134639834543736e-16
12,4006.8,4.292584086227879e-16
13,4032.4,3.290515386391056e-16
14,4058.0,2.944713479508802e-16
15,4083.6,3.508250828912471e-16
16,4109.1,4.93048418724915e-16
17,4134.7,4.831551330362472e-16
18,4160.3,5.314993917197748e-16
19,4185.8,4.3439187634286924e-16
20,4211.4,3.9114783031031515e-16
21,4237.0,4.470782935826449e-16
22,4262.6,4.601660250488742e-16
23,4288.1,4.985375110590186e-16
24,4313.7,4.699090212636746e-16
25,4339.3,7.182346899004327e-16
26,4364.8,4.581156153073655e-16
27,4390.4,4.3125719690422404e-16
28,4416.0,3.783325014621842e-16
29,4441.6,3.415978532349142e-16
30,4467.1,3.511574710519625e-16
31,4492.7,3.293141037333956e-16
32,4518.3,2.7867467714033213e-16
33,4543.8,2.967866364428003e-16
34,4569.4,3.3034345240115033e-16
35,4595.0,3.282717725709142e-16
36,4620.5,2.7059356696381053e-16
37,4646.1,2.761138362901107e-16
38,4671.7,3.049397729571599e-16
39,4697.3,3.434225241706488e-16
40,4722.8,3.1796191713455338e-16
41,4748.4,3.0985078978227986e-16
42,4774.0,3.296918836207382e-16
43,4799.5,2.9036249445355387e-16
44,4825.1,3.1083529323607344e-16
45,4850.7,3.136775402344074e-16
46,4876.3,2.955169486356586e-16
47,4901.8,2.907329681005908e-16
48,4927.4,3.003683371325284e-16
49,4953.0,2.8541842260255034e-16
50,4978.5,3.043719135305317e-16
51,5004.1,2.540764702530009e-16
52,5029.7,2.8996248662623733e-16
53,5055.3,2.62668905485566e-16
54,5080.8,2.3275333845633945e-16
55,5106.4,1.7844083507096094e-16
56,5132.0,1.814431674010091e-16
57,5157.5,1.8771950870128457e-16
58,5183.1,2.020182252801965e-16
59,5208.7,2.0659628143231815e-16
60,5234.2,2.237312395771149e-16
61,5259.8,2.1490313029797814e-16
62,5285.4,2.3012816008666854e-16
63,5311.0,2.1824835712779047e-16
64,5336.5,2.677211891376081e-16
65,5362.1,2.4667237733926677e-16
66,5387.7,2.2616394851318986e-16
67,5413.2,2.1725279320596786e-16
68,5438.8,2.187701331236034e-16
69,5464.4,2.399692842765376e-16
70,5490.0,2.3264289125473597e-16
71,5515.5,1.8398117880666106e-16
72,5541.1,1.6552827343715336e-16
73,5566.7,1.8525031625631798e-16
74,5592.2,1.9655421413240532e-16
75,5617.8,1.9892081272405088e-16
76,5643.4,1.6745893549567028e-16
77,5668.9,1.793908018755815e-16
78,5694.5,1.8197182667472123e-16
79,5720.1,1.6303156229321766e-16
80,5745.7,1.7422250763060402e-16
81,5771.2,1.8184120789704498e-16
82,5796.8,2.0204512355697248e-16
83,5822.4,2.0892041930818994e-16
84,5847.9,2.000648710233363e-16
85,5873.5,1.9593106499449522e-16
86,5899.1,2.1328528488382268e-16
87,5924.7,1.9636742608232598e-16
88,5950.2,2.1612434494683993e-16
89,5975.8,1.9324392707047346e-16
90,6001.4,1.828350660926693e-16
91,6026.9,1.626945862070238e-16
92,6052.5,1.5972898841561078e-16
93,6078.1,1.5948575684875029e-16
94,6103.7,1.538022064285497e-16
95,6129.2,1.722852126599331e-16
96,6154.8,1.698438117878467e-16
97,6180.4,1.8821141150453428e-16
98,6205.9,1.7541870633471351e-16
99,6231.5,1.7757746287470605e-16
100,6257.1,1.838108591932082e-16
101,6282.6,1.7259447033021401e-16
102,6308.2,1.5532424018712316e-16
103,6333.8,1.370167882294053e-16
