,wl,fl
0,3700.0,1.6820826866716607e-16
1,3725.6,2.5620582547445925e-16
2,3751.1,1.861280022120367e-16
3,3776.7,1.967656144004834e-16
4,3802.3,2.0535763224917276e-16
5,3827.9,1.2186323838000684e-16
6,3853.4,8.008176218342989e-17
7,3879.0,1.0477741391582459e-16
8,3904.6,1.5083520160007855e-16
9,3930.1,1.7742836537755554e-16
10,3955.7,1.7675835408401245e-16
11,3981.3,1.9576399684873164e-16
12,4006.8,2.244073504717359e-16
13,4032.4,2.082027644547016e-16
14,4058.0,2.226539220178026e-16
15,4083.6,2.1263436819108822e-16
16,4109.1,2.3523942034918855e-16
17,4134.7,2.25219727488481e-16
18,4160.3,1.7380339496364824e-16
19,4185.8,2.1830137063034e-16
20,4211.4,1.8428185478504755e-16
21,4237.0,2.3160771436293753e-16
22,4262.6,2.5085366720811703e-16
23,4288.1,2.7709561675830283e-16
24,4313.7,2.5415860677936026e-16
25,4339.3,2.325910990861651e-16
26,4364.8,1.9714874499582716e-16
27,4390.4,2.1979155922855326e-16
28,4416.0,1.848552367431226e-16
29,4441.6,1.6606746398524182e-16
30,4467.1,1.6893881323179518e-16
31,4492.7,1.2669287594294607e-16
32,4518.3,1.2571285762034216e-16
33,4543.8,1.3624568481408396e-16
34,4569.4,1.3603524812602062e-16
35,4595.0,1.7539095699984656e-16
36,4620.5,1.880756637152215e-16
37,4646.1,1.859546634719333e-16
38,4671.7,2.2089215827240463e-16
39,4697.3,2.0971692059912063e-16
40,4722.8,2.0241375430484466e-16
41,4748.4,2.1361029023848715e-16
42,4774.0,2.0400756952493148e-16
43,4799.5,2.0057455055939396e-16
44,4825.1,1.800135489729667e-16
45,4850.7,1.774816520495036e-16
46,4876.3,1.4435124290371322e-16
47,4901.8,1.5829170063102684e-16
48,4927.4,1.407743107497634e-16
49,4953.0,1.390456684055266e-16
50,4978.5,1.4607424118856085e-16
51,5004.1,1.3133399024724508e-16
52,5029.7,1.2469978250257186e-16
53,5055.3,1.1490683457501924e-16
54,5080.8,1.1080294790561281e-16
55,5106.4,9.153886384114367e-17
56,5132.0,1.0320022325810359e-16
57,5157.5,1.0557533730189346e-16
58,5183.1,1.1383080022774527e-16
59,5208.7,1.3990101246560611e-16
60,5234.2,1.207868475713703e-16
61,5259.8,1.2246638573857704e-16
62,5285.4,1.1360052773957367e-16
63,5311.0,1.3864490309931762e-16
64,5336.5,1.4324898536144835e-16
65,5362.1,1.564252687270557e-16
66,5387.7,1.4333270282774364e-16
67,5413.2,1.3513383649358581e-16
68,5438.8,1.3290537378049068e-16
69,5464.4,1.297045841202151e-16
70,5490.0,1.2130851988419476e-16
71,5515.5,1.2028267237118842e-16
72,5541.1,1.0843626225997842e-16
73,5566.7,1.082832827779209e-16
74,5592.2,1.1029385696205521e-16
75,5617.8,1.145730969134076e-16
76,5643.4,1.115024820887955e-16
77,5668.9,1.0865102964937292e-16
78,5694.5,1.0166723660699198e-16
79,5720.1,9.833698069962902e-17
80,5745.7,1.0755610306757447e-16
81,5771.2,1.281137216268085e-16
82,5796.8,1.2030506725101519e-16
83,5822.4,1.3621002547003145e-16
84,5847.9,1.3077515234375985e-16
85,5873.5,1.2749811524096022e-16
86,5899.1,1.2573086803721905e-16
87,5924.7,1.2471851365750439e-16
88,5950.2,1.1219722923328613e-16
89,5975.8,1.1194367148664644e-16
90,6001.4,1.0512243926710651e-16
91,6026.9,9.226685195721678e-17
92,6052.5,9.377209052733882e-17
93,6078.1,9.611416128065306e-17
94,6103.7,1.1422524561717024e-16
95,6129.2,1.237391948438124e-16
96,6154.8,1.1661790257468757e-16
97,6180.4,1.191538670968476e-16
98,6205.9,1.1300412128827798e-16
99,6231.5,1.0717988619182963e-16
100,6257.1,8.701276130928402e-17
101,6282.6,6.195307899935913e-17
102,6308.2,5.2724650486120407e-17
103,6333.8,4.5000755974373125e-17
104,6359.4,3.945408860759058e-17
105,6384.9,4.772145891087318e-17
106,6410.5,4.6465819288640975e-17
107,6436.1,5.940825076218711e-17
108,6461.6,8.402386978261253e-17
109,6487.2,9.728820138780995e-17
110,6512.8,1.0139091000900968e-16
111,6538.4,1.0816035199712531e-16
112,6563.9,1.1389031018928794e-16
113,6589.5,1.226042726663456e-16
114,6615.1,1.2661919234387397e-16
115,6640.6,1.2092766180255755e-16
116,6666.2,1.1929051681429843e-16
117,6691.8,1.2085151257470932e-16
118,6717.4,1.1356889455653678e-16
119,6742.9,1.1161616920686239e-16
120,6768.5,1.1211332598347553e-16
121,6794.1,1.0557466587673491e-16
122,6819.6,1.0080651928447835e-16
123,6845.2,1.0053002558000732e-16
124,6870.8,9.812695352789586e-17
125,6896.3,9.384393255135409e-17
126,6921.9,9.232646359075522e-17
127,6947.5,8.617806790757992e-17
128,6973.1,8.193455026395021e-17
129,6998.6,8.118672435819181e-17
130,7024.2,8.590516888366038e-17
131,7049.8,8.550654224075605e-17
132,7075.3,8.009127822458432e-17
133,7100.9,7.744680196762789e-17
134,7126.5,7.734798311105785e-17
135,7152.1,7.713265033196612e-17
136,7177.6,7.444931250521635e-17
137,7203.2,7.669186763067438e-17
138,7228.8,7.71968026473134e-17
139,7254.3,7.292850690697269e-17
140,7279.9,6.78693436437473e-17
141,7305.5,6.965634539526417e-17
142,7331.1,7.257353461044735e-17
143,7356.6,7.134564106848868e-17
144,7382.2,6.941050059845351e-17
145,7407.8,7.420524736638329e-17
146,7433.3,7.614595655035053e-17
147,7458.9,7.095982865841895e-17
148,7484.5,6.732829609935577e-17
149,7510.0,7.164309246920254e-17
150,7535.6,7.402513218737559e-17
151,7561.2,7.264183285202831e-17
152,7586.8,7.104864706632783e-17
153,7612.3,6.379848889062733e-17
154,7637.9,5.3624581036143664e-17
155,7663.5,5.479778962611182e-17
156,7689.0,6.190743196783505e-17
157,7714.6,6.240394613330098e-17
158,7740.2,5.1559448098604665e-17
159,7765.8,4.5938082045346655e-17
160,7791.3,4.501990601864422e-17
161,7816.9,3.460074494021746e-17
162,7842.5,2.977787670757424e-17
163,7868.0,3.7972705314312005e-17
164,7893.6,4.56480609052803e-17
165,7919.2,4.6715693800900655e-17
166,7944.7,4.272432083163488e-17
167,7970.3,4.5953610869404845e-17
168,7995.9,5.297794344194418e-17
169,8021.5,5.2941476563073344e-17
170,8047.0,5.226574959636764e-17
171,8072.6,5.845450263761817e-17
172,8098.2,6.107780329766536e-17
173,8123.7,5.803363227163546e-17
174,8149.3,5.980768165499191e-17
175,8174.9,6.374764692925455e-17
176,8200.5,6.129162649175378e-17
177,8226.0,5.567770222094224e-17
178,8251.6,5.087226308625384e-17
179,8277.2,4.591272106122041e-17
180,8302.7,4.2074514376181824e-17
181,8328.3,3.908490904444577e-17
182,8353.9,3.781041929038695e-17
183,8379.5,4.103850249363056e-17
184,8405.0,3.638109875322751e-17
185,8430.6,3.058822299824906e-17
186,8456.2,2.666660552504006e-17
187,8481.7,2.7484288488937765e-17
188,8507.3,2.8134709834877974e-17
189,8532.9,3.1058485710366183e-17
190,8558.4,3.379328892781458e-17
191,8584.0,3.2951314091351554e-17
192,8609.6,2.9129180814838894e-17
193,8635.2,2.390229040086698e-17
194,8660.7,2.596987554915997e-17
195,8686.3,3.522279135063079e-17
196,8711.9,4.440923437760857e-17
197,8737.4,4.8657404557066315e-17
198,8763.0,5.017698112225984e-17
199,8788.6,5.2986415283604405e-17
200,8814.2,5.76987442756222e-17
201,8839.7,5.562758643509267e-17
202,8865.3,5.1799908047593624e-17
203,8890.9,3.0599759574822184e-17
204,8916.4,3.4752132092395326e-17
205,8942.0,4.2187408636346824e-17
206,8967.6,5.49510139603703e-17
207,8993.2,4.6151418208073246e-17
208,9018.7,3.838356026890096e-17
209,9044.3,3.9052108165705245e-17
210,9069.9,3.9170217305580005e-17
211,9095.4,3.973390762229093e-17
212,9121.0,3.9581843257450826e-17
213,9146.6,3.7904162859730495e-17
214,9172.1,3.859313548831551e-17
215,9197.7,3.697852368009923e-17
216,9223.3,4.346647330780617e-17
217,9248.9,5.655941438130095e-17
218,9274.4,5.98066074540536e-17
219,9300.0,5.657227154106172e-17
