,wl,fl
0,3700.0,1.91916105106317e-16
1,3725.6,1.2369004338033242e-16
2,3751.1,2.1468087336841603e-16
3,3776.7,1.538459600985002e-16
4,3802.3,1.6535077739726265e-16
5,3827.9,1.6809415401289236e-16
6,3853.4,1.5432103268141838e-16
7,3879.0,7.723973908163742e-17
8,3904.6,7.216965273656019e-17
9,3930.1,1.2075412343990222e-16
10,3955.7,1.0906939911172006e-16
11,3981.3,2.3082402365045797e-16
12,4006.8,1.969315200169824e-16
13,4032.4,2.724652351157513e-16
14,4058.0,2.6744558296503054e-16
15,4083.6,2.815316217824929e-16
16,4109.1,2.9357023381609157e-16
17,4134.7,3.178909527075802e-16
18,4160.3,2.384327618284293e-16
19,4185.8,2.3156298137955104e-16
20,4211.4,2.645937017584741e-16
21,4237.0,3.030905879226193e-16
22,4262.6,3.05937220328533e-16
23,4288.1,3.2148037023539593e-16
24,4313.7,3.074935227442283e-16
25,4339.3,3.0445135834211666e-16
26,4364.8,2.7409994037719396e-16
27,4390.4,2.7824345991887214e-16
28,4416.0,2.738382544123122e-16
29,4441.6,2.3602547874342054e-16
30,4467.1,1.762391287919287e-16
31,4492.7,1.3453920345968842e-16
32,4518.3,1.6187420530171367e-16
33,4543.8,1.678624078125377e-16
34,4569.4,1.756969926198166e-16
35,4595.0,1.9895377716166283e-16
36,4620.5,2.1601736176083175e-16
37,4646.1,2.1960936085899808e-16
38,4671.7,2.396258949288208e-16
39,4697.3,2.5405466453618283e-16
40,4722.8,2.37512413685649e-16
41,4748.4,2.5111138544741375e-16
42,4774.0,2.4624863661107708e-16
43,4799.5,2.411692421915127e-16
44,4825.1,2.4288706953142187e-16
45,4850.7,1.9198414554143602e-16
46,4876.3,2.037378223740917e-16
47,4901.8,1.8772149241563394e-16
48,4927.4,1.9064049375626253e-16
49,4953.0,1.8016450451683224e-16
50,4978.5,1.6925308589995279e-16
51,5004.1,1.808717896161598e-16
52,5029.7,1.4269908124176587e-16
53,5055.3,1.1358231481156725e-16
54,5080.8,1.0924737819131348e-16
55,5106.4,1.3015459467616416e-16
56,5132.0,1.2424577955350815e-16
57,5157.5,1.3972173309165215e-16
58,5183.1,1.5028981258436994e-16
59,5208.7,1.5312464530174993e-16
60,5234.2,1.6389717080431055e-16
61,5259.8,1.6060100304955852e-16
62,5285.4,1.547068058302981e-16
63,5311.0,1.6421463429049575e-16
64,5336.5,1.625149884132563e-16
65,5362.1,1.7358972691771226e-16
66,5387.7,1.6036970464638448e-16
67,5413.2,1.5495719159462786e-16
68,5438.8,1.656814207125971e-16
69,5464.4,1.5114584889925742e-16
70,5490.0,1.3798231975359913e-16
71,5515.5,1.351934551638377e-16
72,5541.1,1.2183428643719927e-16
73,5566.7,1.2704335617873625e-16
74,5592.2,1.2337103789890416e-16
75,5617.8,1.2284805198204936e-16
76,5643.4,1.1402191638731041e-16
77,5668.9,1.109610993496155e-16
78,5694.5,1.0989969235630612e-16
79,5720.1,1.0932200554539169e-16
80,5745.7,1.1555350021143803e-16
81,5771.2,1.2914264326783055e-16
82,5796.8,1.308615277379313e-16
83,5822.4,1.3749791576380643e-16
84,5847.9,1.4569238832531177e-16
85,5873.5,1.517568967076102e-16
86,5899.1,1.3415454305036414e-16
87,5924.7,1.2125635246437794e-16
88,5950.2,1.165113241985234e-16
89,5975.8,9.761888224246563e-17
90,6001.4,8.668748033248922e-17
91,6026.9,9.017299225224452e-17
92,6052.5,9.891815499310618e-17
93,6078.1,1.050413793819297e-16
94,6103.7,1.2271935299691452e-16
95,6129.2,1.3232543472551048e-16
96,6154.8,1.3559232607655532e-16
97,6180.4,1.421862156188029e-16
98,6205.9,1.3324228213872437e-16
99,6231.5,1.26968292038615e-16
100,6257.1,1.1393953166955663e-16
101,6282.6,9.083124122111498e-17
102,6308.2,8.088862570621119e-17
103,6333.8,6.479080848946437e-17
104,6359.4,4.7801210760874277e-17
105,6384.9,5.104058288929246e-17
106,6410.5,5.576887018215294e-17
107,6436.1,6.317711651728369e-17
108,6461.6,7.980939656397046e-17
109,6487.2,9.353436420822539e-17
110,6512.8,1.0564690311991821e-16
111,6538.4,1.094012891099876e-16
112,6563.9,1.189163290320078e-16
113,6589.5,1.2998647284695467e-16
114,6615.1,1.3366908533572212e-16
115,6640.6,1.310753390822577e-16
116,6666.2,1.280437337955392e-16
117,6691.8,1.253447870507786e-16
118,6717.4,1.2099982843170668e-16
119,6742.9,1.1951517568903216e-16
120,6768.5,1.1693367355832355e-16
121,6794.1,1.1303759927601393e-16
122,6819.6,1.110101281925888e-16
123,6845.2,1.069449559033753e-16
124,6870.8,1.0480138877193351e-16
125,6896.3,1.0368964117533406e-16
126,6921.9,9.94692524108005e-17
127,6947.5,9.29546440898252e-17
128,6973.1,9.094181880717752e-17
129,6998.6,8.851554943050527e-17
130,7024.2,8.338119986958398e-17
131,7049.8,8.425926361000615e-17
132,7075.3,8.316050302167331e-17
133,7100.9,8.320841300267153e-17
134,7126.5,8.514322712545751e-17
135,7152.1,8.348934194473252e-17
136,7177.6,7.746741712051404e-17
137,7203.2,7.036183338945608e-17
138,7228.8,7.199415293216898e-17
139,7254.3,7.489820022330644e-17
140,7279.9,7.633103218445163e-17
141,7305.5,7.582741002998277e-17
142,7331.1,7.180362849333352e-17
143,7356.6,7.154170806865029e-17
144,7382.2,7.625192117203702e-17
145,7407.8,7.811479583642397e-17
146,7433.3,7.547512356203397e-17
147,7458.9,7.60032719298155e-17
148,7484.5,7.684518612566737e-17
149,7510.0,6.988860083973646e-17
150,7535.6,6.935786399951336e-17
151,7561.2,7.407549852547635e-17
152,7586.8,6.972563768052948e-17
153,7612.3,6.586647174258714e-17
154,7637.9,6.624645659456848e-17
155,7663.5,5.811563569508506e-17
156,7689.0,5.0597025622402754e-17
157,7714.6,5.1059275025022833e-17
158,7740.2,4.9633747099033374e-17
159,7765.8,3.8237798994536005e-17
160,7791.3,3.379173727042018e-17
161,7816.9,3.625361851396582e-17
162,7842.5,3.4439362442602144e-17
163,7868.0,3.4402400568415736e-17
164,7893.6,3.856032368753893e-17
165,7919.2,4.037084211008852e-17
166,7944.7,4.211542987722504e-17
167,7970.3,4.6769507297679657e-17
168,7995.9,5.304088972420608e-17
169,8021.5,5.801903528140893e-17
170,8047.0,5.883075518418976e-17
171,8072.6,6.055329185367935e-17
172,8098.2,6.246744800196067e-17
173,8123.7,6.270887582245312e-17
174,8149.3,6.333571868803846e-17
175,8174.9,6.252775962522838e-17
176,8200.5,5.990157833982326e-17
177,8226.0,5.796240556468798e-17
178,8251.6,5.55544799081734e-17
179,8277.2,5.755193150872978e-17
180,8302.7,5.313815944195727e-17
181,8328.3,4.318564041499936e-17
182,8353.9,4.064941814006386e-17
183,8379.5,4.4186899402119547e-17
184,8405.0,4.4340608163426134e-17
185,8430.6,3.61562921996957e-17
186,8456.2,2.8788365668728015e-17
187,8481.7,2.6902501117348197e-17
188,8507.3,2.1727091329671784e-17
189,8532.9,1.6843022233971147e-17
190,8558.4,2.0913216630209112e-17
191,8584.0,2.7246708074731925e-17
192,8609.6,2.908774551485239e-17
193,8635.2,2.8142137134196795e-17
194,8660.7,2.4465922567488694e-17
195,8686.3,2.2130963367408042e-17
196,8711.9,2.8358243569467594e-17
197,8737.4,3.5080675851586135e-17
198,8763.0,4.0769354235858415e-17
199,8788.6,4.482057297018434e-17
200,8814.2,5.60084790854482e-17
201,8839.7,6.7720174795482e-17
202,8865.3,5.993992656819866e-17
203,8890.9,5.094578635223659e-17
204,8916.4,5.4290023108219757e-17
205,8942.0,5.611793690475205e-17
206,8967.6,5.95547619315587e-17
207,8993.2,6.036461941277575e-17
208,9018.7,4.780711341353259e-17
209,9044.3,4.247263726502636e-17
210,9069.9,4.2483249190212534e-17
211,9095.4,3.883338329305188e-17
212,9121.0,3.639181352094697e-17
213,9146.6,3.3475877675559195e-17
214,9172.1,2.7222127115921502e-17
215,9197.7,2.1996297005618887e-17
216,9223.3,2.4884995358559392e-17
217,9248.9,4.52382646963496e-17
218,9274.4,5.64286359855057e-17
219,9300.0,3.731100704075627e-17
