,wl,fl
0,3700.0,1.488178285164072e-16
1,3725.6,2.0968346545229885e-16
2,3751.1,4.321349275442013e-16
3,3776.7,3.2325528415355137e-16
4,3802.3,3.488095053062273e-16
5,3827.9,3.0267353331692956e-16
6,3853.4,3.0247088657978237e-16
7,3879.0,4.564537138099156e-16
8,3904.6,4.952103165010718e-16
9,3930.1,6.586612538099572e-16
10,3955.7,6.276870649576994e-16
11,3981.3,6.47697078938299e-16
12,4006.8,5.573341020503872e-16
13,4032.4,7.199694186621918e-16
14,4058.0,1.0683599988985576e-15
15,4083.6,9.647695468494562e-16
16,4109.1,8.51103476766294e-16
17,4134.7,9.812976641100945e-16
18,4160.3,9.663704335338774e-16
19,4185.8,1.0569080283525447e-15
20,4211.4,1.2162859132485801e-15
21,4237.0,1.0318026707502135e-15
22,4262.6,9.283834136370654e-16
23,4288.1,9.512125692645283e-16
24,4313.7,7.779364428079871e-16
25,4339.3,8.289119165707651e-16
26,4364.8,8.304666314004894e-16
27,4390.4,6.816123254939887e-16
28,4416.0,6.294288951007062e-16
29,4441.6,5.754846145984956e-16
30,4467.1,6.754096524261556e-16
31,4492.7,7.103694147655624e-16
32,4518.3,6.126277966380527e-16
33,4543.8,7.041353972927654e-16
34,4569.4,6.785953878415983e-16
35,4595.0,8.584051907405225e-16
36,4620.5,7.901265651779237e-16
37,4646.1,9.224007781297285e-16
38,4671.7,8.375357100293476e-16
39,4697.3,8.149697503314815e-16
40,4722.8,7.994086162815465e-16
41,4748.4,7.507651842811368e-16
42,4774.0,6.184496559325955e-16
43,4799.5,6.851971443937197e-16
44,4825.1,5.741401124963292e-16
45,4850.7,6.316734278241808e-16
46,4876.3,6.236272534339975e-16
47,4901.8,6.076787556274019e-16
48,4927.4,5.906896692524299e-16
49,4953.0,6.431902731795107e-16
50,4978.5,5.566529219424967e-16
51,5004.1,5.102112636053751e-16
52,5029.7,5.040343901771515e-16
53,5055.3,5.187096866071655e-16
54,5080.8,5.844222643380774e-16
55,5106.4,6.460963471236728e-16
56,5132.0,6.647169366382665e-16
57,5157.5,8.415716451526262e-16
58,5183.1,6.777588047299931e-16
59,5208.7,5.79304011967399e-16
60,5234.2,6.228323214549136e-16
61,5259.8,6.532101387826129e-16
62,5285.4,6.247805241951828e-16
63,5311.0,5.621538849065321e-16
64,5336.5,5.987231701929246e-16
65,5362.1,6.064269024434668e-16
66,5387.7,5.139766044842929e-16
67,5413.2,5.088086167293032e-16
68,5438.8,5.207300960741667e-16
69,5464.4,4.953423097633553e-16
70,5490.0,5.639423154318748e-16
71,5515.5,4.593794068841769e-16
72,5541.1,5.040838523980947e-16
73,5566.7,5.279357257133991e-16
74,5592.2,4.763171575671992e-16
75,5617.8,4.926338052695834e-16
76,5643.4,4.77141952144165e-16
77,5668.9,5.325709036500442e-16
78,5694.5,5.545147261768849e-16
79,5720.1,5.905636169244163e-16
80,5745.7,5.900161501539787e-16
81,5771.2,6.259405840786319e-16
82,5796.8,6.514030506812619e-16
83,5822.4,6.326725169242905e-16
84,5847.9,5.939009419362414e-16
85,5873.5,5.525359945960936e-16
86,5899.1,5.642184227927727e-16
87,5924.7,5.534582153578423e-16
88,5950.2,5.429124481639543e-16
89,5975.8,5.345621956072141e-16
90,6001.4,5.596978264881341e-16
91,6026.9,5.451968461010009e-16
92,6052.5,5.467584518919047e-16
93,6078.1,5.25490830728215e-16
94,6103.7,5.012095782358164e-16
95,6129.2,4.672476566619862e-16
96,6154.8,4.351741220716848e-16
97,6180.4,4.3186235551009733e-16
98,6205.9,3.7523079281936757e-16
99,6231.5,3.1945356536020345e-16
100,6257.1,3.2907535918439007e-16
101,6282.6,3.068438523605959e-16
102,6308.2,3.235412663492314e-16
103,6333.8,3.3346958379181e-16
104,6359.4,3.704414703870326e-16
105,6384.9,3.8826257859543444e-16
106,6410.5,3.9567805159751054e-16
107,6436.1,4.559075458879278e-16
108,6461.6,4.650755052100484e-16
109,6487.2,4.742398408690305e-16
110,6512.8,5.181076371881287e-16
111,6538.4,5.246616319424855e-16
112,6563.9,5.079457678187261e-16
113,6589.5,5.140838492061232e-16
114,6615.1,5.186621323484398e-16
115,6640.6,5.151413473257027e-16
116,6666.2,4.757072693778086e-16
117,6691.8,5.047818844244196e-16
118,6717.4,5.490985129872818e-16
119,6742.9,6.499381413060772e-16
120,6768.5,7.31240491524813e-16
121,6794.1,6.530176662625788e-16
122,6819.6,5.397787555822959e-16
123,6845.2,4.843223176584086e-16
124,6870.8,4.483716385073388e-16
125,6896.3,4.1968830907531123e-16
126,6921.9,3.9992542567095e-16
127,6947.5,4.0430589285490744e-16
128,6973.1,3.992598682948716e-16
129,6998.6,3.7143487122913637e-16
130,7024.2,3.658790160610477e-16
131,7049.8,3.817521455880766e-16
132,7075.3,3.5208277305141e-16
133,7100.9,3.368069193078506e-16
134,7126.5,3.7719523198613563e-16
135,7152.1,3.7733219054141265e-16
136,7177.6,3.6061249674437405e-16
137,7203.2,3.594082743524757e-16
138,7228.8,3.600652909190754e-16
139,7254.3,3.4501178010489004e-16
140,7279.9,3.285168375348009e-16
141,7305.5,3.3083235654620185e-16
142,7331.1,3.5349741585966413e-16
143,7356.6,3.41348230606396e-16
144,7382.2,3.192900477653556e-16
145,7407.8,3.0715150479850017e-16
146,7433.3,3.1081116767428723e-16
147,7458.9,3.1725588929833e-16
148,7484.5,3.101807846950148e-16
149,7510.0,3.0723531294648555e-16
150,7535.6,3.178033632999909e-16
151,7561.2,3.191890267412268e-16
152,7586.8,3.2449254250216593e-16
153,7612.3,3.245367422705581e-16
154,7637.9,2.927308876517255e-16
155,7663.5,2.5784504507911195e-16
156,7689.0,2.582107756501563e-16
157,7714.6,2.8299170372203195e-16
158,7740.2,2.9293188471915947e-16
159,7765.8,2.9051089605850525e-16
160,7791.3,2.942689533670347e-16
161,7816.9,2.944225971119875e-16
162,7842.5,2.8171055199813744e-16
163,7868.0,2.753837291070302e-16
164,7893.6,2.717343102474288e-16
165,7919.2,2.761104674494963e-16
166,7944.7,2.9591377986097734e-16
167,7970.3,3.0768901920489196e-16
168,7995.9,2.992050383965542e-16
169,8021.5,2.809580576385784e-16
170,8047.0,2.6754862274457644e-16
171,8072.6,2.778830884373164e-16
172,8098.2,2.9396840616707303e-16
173,8123.7,2.9998104323395915e-16
174,8149.3,2.8986539546832745e-16
175,8174.9,2.7266715891346373e-16
176,8200.5,2.6913168662173866e-16
177,8226.0,2.587192273772499e-16
178,8251.6,2.435883840291656e-16
