,wl,fl
0,3700.0,1.866510731135011e-15
1,3725.6,1.3125012271363348e-15
2,3751.1,1.3028463260359676e-15
3,3776.7,1.1017209629527493e-15
4,3802.3,8.837193764947119e-16
5,3827.9,8.594913421760142e-16
6,3853.4,9.10660406913912e-16
7,3879.0,9.093215941163236e-16
8,3904.6,1.0493954963458936e-15
9,3930.1,1.0637962763250565e-15
10,3955.7,1.0457962503607554e-15
11,3981.3,1.164629323651168e-15
12,4006.8,1.1862850498510602e-15
13,4032.4,1.2496836002247202e-15
14,4058.0,1.0750685936100967e-15
15,4083.6,1.0674943408670579e-15
16,4109.1,1.0870442205832378e-15
17,4134.7,1.2838814451451906e-15
18,4160.3,1.3012695044968778e-15
19,4185.8,1.3363663354328741e-15
20,4211.4,1.3537229352201043e-15
21,4237.0,1.3002212844929928e-15
22,4262.6,1.209249838216011e-15
23,4288.1,1.2057943002088383e-15
24,4313.7,1.1284277118606352e-15
25,4339.3,1.199922319619509e-15
26,4364.8,1.0632962488968838e-15
27,4390.4,9.822868481244905e-16
28,4416.0,9.45931157376009e-16
29,4441.6,9.368318840203264e-16
30,4467.1,1.0392508440569082e-15
31,4492.7,1.1231194057371273e-15
32,4518.3,1.1280035075062726e-15
33,4543.8,1.1879226098280373e-15
34,4569.4,1.2820674299323526e-15
35,4595.0,1.3035154579556172e-15
36,4620.5,1.3882468300203773e-15
37,4646.1,1.4293691134113441e-15
38,4671.7,1.3615876454619989e-15
39,4697.3,1.3809309787672772e-15
40,4722.8,1.3671025190656538e-15
41,4748.4,1.3522475129723008e-15
42,4774.0,1.2773193432234692e-15
43,4799.5,1.29357432580705e-15
44,4825.1,1.2404501119148193e-15
45,4850.7,1.2598187107648256e-15
46,4876.3,1.3154050376579415e-15
47,4901.8,1.2964727584860144e-15
48,4927.4,1.343757714814308e-15
49,4953.0,1.2958774101422491e-15
50,4978.5,1.2345825183586877e-15
51,5004.1,1.1970945825918341e-15
52,5029.7,1.2009687000084774e-15
53,5055.3,1.2410113798651874e-15
54,5080.8,1.2583142868022335e-15
55,5106.4,1.2828435091984395e-15
56,5132.0,1.3176938371152657e-15
57,5157.5,1.2482561797828246e-15
58,5183.1,1.242849741209692e-15
59,5208.7,1.2632512149397537e-15
60,5234.2,1.2578531092094809e-15
61,5259.8,1.2400799431516745e-15
62,5285.4,1.2202542527231387e-15
63,5311.0,1.2045647353300566e-15
64,5336.5,1.16826278726004e-15
65,5362.1,1.1690901508004694e-15
66,5387.7,1.1472436910205208e-15
67,5413.2,1.1985807490186408e-15
68,5438.8,1.2097166175801984e-15
69,5464.4,1.2496991283379085e-15
70,5490.0,1.2804010623660272e-15
71,5515.5,1.2740197864877883e-15
72,5541.1,1.2892678432903644e-15
73,5566.7,1.2674482309671137e-15
74,5592.2,1.2281380864387153e-15
75,5617.8,1.2783907112804417e-15
76,5643.4,1.298785756704177e-15
77,5668.9,1.3232941363759017e-15
78,5694.5,1.3488260531444457e-15
79,5720.1,1.3681808883108223e-15
80,5745.7,1.3566757212209738e-15
81,5771.2,1.328721928202464e-15
82,5796.8,1.3264841969025801e-15
83,5822.4,1.3386430502526978e-15
84,5847.9,1.3158489869087859e-15
85,5873.5,1.2838111863800181e-15
86,5899.1,1.276449108173179e-15
87,5924.7,1.283476915180571e-15
88,5950.2,1.2915324628105129e-15
89,5975.8,1.3211608278756349e-15
90,6001.4,1.3518101890996089e-15
91,6026.9,1.3485600145727618e-15
92,6052.5,1.3083407662453561e-15
93,6078.1,1.284561800897062e-15
94,6103.7,1.2731100774693096e-15
95,6129.2,1.273981557924405e-15
96,6154.8,1.244059471395062e-15
97,6180.4,1.2090137328725828e-15
98,6205.9,1.1770562666637663e-15
99,6231.5,1.1574194589011216e-15
100,6257.1,1.1675406559575242e-15
101,6282.6,1.159195385429709e-15
102,6308.2,1.1775205490997314e-15
103,6333.8,1.1896881745084643e-15
104,6359.4,1.2131334411742625e-15
105,6384.9,1.2334979782036996e-15
106,6410.5,1.2610340289726504e-15
107,6436.1,1.2916391550117157e-15
108,6461.6,1.3130129710759547e-15
109,6487.2,1.3395056876656219e-15
110,6512.8,1.337299306875518e-15
111,6538.4,1.351487620742374e-15
112,6563.9,1.338011499801381e-15
113,6589.5,1.3358062508978939e-15
114,6615.1,1.3499898703359379e-15
