,wl,fl
0,3700.0,7.054680125304514e-17
1,3725.6,3.104426121138714e-16
2,3751.1,8.01959606438128e-23
3,3776.7,1.6141458058547588e-16
4,3802.3,1.3991348886278202e-16
5,3827.9,1.278751002457854e-16
6,3853.4,1.8995586463173252e-20
7,3879.0,7.923061423622827e-17
8,3904.6,1.0962189570641228e-16
9,3930.1,2.4442866244983032e-20
10,3955.7,3.161552669088211e-23
11,3981.3,7.752470212652125e-17
12,4006.8,3.3016025841983166e-16
13,4032.4,7.268588530694639e-17
14,4058.0,1.1555986776619458e-16
15,4083.6,1.3733329767745532e-16
16,4109.1,1.618433999569239e-16
17,4134.7,1.6422071878547843e-16
18,4160.3,1.992800080514066e-16
19,4185.8,1.5723133834047506e-16
20,4211.4,1.0739025545014565e-16
21,4237.0,1.6292851888128276e-16
22,4262.6,1.4871532570488536e-16
23,4288.1,1.0446358671698271e-16
24,4313.7,8.946923990996147e-17
25,4339.3,1.659580209728372e-16
26,4364.8,1.0395670536334182e-16
27,4390.4,1.6319848828402605e-16
28,4416.0,1.8379305952410856e-16
29,4441.6,1.6887050972228532e-16
30,4467.1,4.7440993538634495e-17
31,4492.7,6.900336845081358e-17
32,4518.3,8.405721315684776e-17
33,4543.8,5.935916864248342e-17
34,4569.4,7.885374548218596e-17
35,4595.0,1.0298036753048222e-16
36,4620.5,6.514742399940854e-17
37,4646.1,7.251892091127302e-17
38,4671.7,1.30622322759823e-16
39,4697.3,6.333596215354532e-17
40,4722.8,7.529701904437014e-17
41,4748.4,1.0510285286944532e-16
42,4774.0,1.2949916607148503e-16
43,4799.5,1.0140555615185608e-16
44,4825.1,9.197266326251854e-17
45,4850.7,1.3209509825021558e-16
46,4876.3,8.752556555952422e-17
47,4901.8,8.223226338422197e-17
48,4927.4,1.019237563406923e-16
49,4953.0,1.003964497048653e-16
50,4978.5,7.998137112192812e-17
51,5004.1,5.561589678057467e-17
52,5029.7,8.841173422464108e-17
53,5055.3,8.753990854141076e-17
54,5080.8,5.652921910238113e-17
55,5106.4,6.01272198167416e-17
56,5132.0,4.519013247375665e-17
57,5157.5,3.8340803969592006e-17
58,5183.1,6.438888370798793e-17
59,5208.7,4.5018801331017e-17
60,5234.2,2.9476439796823445e-17
61,5259.8,5.648757062554574e-17
62,5285.4,3.387168585203285e-17
63,5311.0,5.295794757748529e-17
64,5336.5,4.006593783040262e-17
65,5362.1,5.427689928708583e-17
66,5387.7,7.533482635402455e-17
67,5413.2,6.845561324029898e-17
68,5438.8,6.364100144388776e-17
69,5464.4,6.088962002094144e-17
70,5490.0,4.1396008016059957e-17
71,5515.5,7.008157516501806e-17
72,5541.1,4.813979717695462e-17
73,5566.7,3.8073352201416254e-17
74,5592.2,5.754037245024807e-17
75,5617.8,5.003367564870861e-17
76,5643.4,3.6086146017165826e-17
77,5668.9,4.3072595615094653e-17
78,5694.5,3.867996247675479e-17
79,5720.1,4.4396127034692705e-17
80,5745.7,4.4668213496171926e-17
81,5771.2,2.4256147863987477e-17
82,5796.8,3.639832192018181e-17
83,5822.4,3.146130398979387e-17
84,5847.9,2.649500854501949e-17
85,5873.5,3.284051145211141e-17
86,5899.1,4.527355873132053e-17
87,5924.7,4.5327913262055105e-17
88,5950.2,5.757833451597116e-17
89,5975.8,3.9205048897264675e-17
90,6001.4,2.905926909566249e-17
91,6026.9,2.9126949820259435e-17
92,6052.5,2.851061604191932e-17
93,6078.1,2.4153834384993597e-17
94,6103.7,3.058358597165346e-17
95,6129.2,3.2122012613831864e-17
96,6154.8,3.190962559148308e-17
97,6180.4,3.309528738035291e-17
98,6205.9,3.360762865459948e-17
99,6231.5,4.1956180191562914e-17
100,6257.1,3.6484525908173746e-17
101,6282.6,3.5588732349252955e-17
102,6308.2,3.604866522778144e-17
103,6333.8,2.6566659652037214e-17
104,6359.4,2.6707253560163577e-17
105,6384.9,2.12424647705098e-17
106,6410.5,2.6057715818531e-17
107,6436.1,1.9043943037310363e-17
108,6461.6,2.0436462489360452e-17
109,6487.2,1.2195866859856386e-17
110,6512.8,8.3259865783743e-18
111,6538.4,1.018861201410665e-17
112,6563.9,1.4834760160750644e-17
113,6589.5,3.436455068010283e-17
114,6615.1,2.0923247924711242e-17
115,6640.6,2.0000982973195157e-17
116,6666.2,2.4354624948158468e-17
117,6691.8,2.6652718575992285e-17
118,6717.4,2.4955904829631526e-17
119,6742.9,2.2723034405666408e-17
120,6768.5,2.850766086060753e-17
121,6794.1,2.3159474124073036e-17
122,6819.6,2.318678480315776e-17
123,6845.2,2.6421344594841283e-17
124,6870.8,2.857221015654842e-17
125,6896.3,3.111417479129854e-17
126,6921.9,2.0842587362612474e-17
