,wl,fl
0,3700.0,3.774794990238306e-15
1,3725.6,3.426634295419847e-15
2,3751.1,2.7293558719822846e-15
3,3776.7,2.5897696081599373e-15
4,3802.3,2.507334907098765e-15
5,3827.9,2.2778826468611183e-15
6,3853.4,2.0965187139518605e-15
7,3879.0,1.6910018240162862e-15
8,3904.6,1.6683256444968764e-15
9,3930.1,1.7036545445269327e-15
10,3955.7,1.447950018407844e-15
11,3981.3,1.6548205656482899e-15
12,4006.8,1.6968129988154073e-15
13,4032.4,1.5708552425779384e-15
14,4058.0,1.4325861282935256e-15
15,4083.6,1.3160158777605538e-15
16,4109.1,1.3953885786655702e-15
17,4134.7,1.4531350025160205e-15
18,4160.3,1.4904374776311784e-15
19,4185.8,1.4983152731826518e-15
20,4211.4,1.4136493574172575e-15
21,4237.0,1.4046361672648368e-15
22,4262.6,1.3370542115415726e-15
23,4288.1,1.2493178368490572e-15
24,4313.7,1.3146587967465218e-15
25,4339.3,1.1281830621132455e-15
26,4364.8,1.0775297208299819e-15
27,4390.4,8.399390109004083e-16
28,4416.0,9.241109526327286e-16
29,4441.6,9.225754218803603e-16
30,4467.1,8.828840638891966e-16
31,4492.7,8.837358061626208e-16
32,4518.3,8.802312066239407e-16
33,4543.8,9.42384751167019e-16
34,4569.4,9.822411249192188e-16
35,4595.0,9.576115207439888e-16
36,4620.5,9.919489000808068e-16
37,4646.1,9.695877122619128e-16
38,4671.7,9.908611187451162e-16
39,4697.3,9.417682847084962e-16
40,4722.8,9.673783665405957e-16
41,4748.4,9.3403696603726e-16
42,4774.0,8.600614733020209e-16
43,4799.5,8.243174063559566e-16
44,4825.1,8.218446814706378e-16
45,4850.7,8.615360852306298e-16
46,4876.3,8.332957322256974e-16
47,4901.8,8.441058322413117e-16
48,4927.4,8.627463373265855e-16
49,4953.0,8.534551329152176e-16
50,4978.5,8.759430730347899e-16
51,5004.1,7.80941939251921e-16
52,5029.7,7.591922680370932e-16
53,5055.3,7.590482998305711e-16
54,5080.8,8.150074882816346e-16
55,5106.4,8.263866989594064e-16
56,5132.0,9.07628668911506e-16
57,5157.5,8.325521256835473e-16
58,5183.1,8.163830619785843e-16
59,5208.7,7.729330231497332e-16
60,5234.2,7.397337304076781e-16
61,5259.8,7.450268910314252e-16
62,5285.4,6.870369674794471e-16
63,5311.0,7.023235456319462e-16
64,5336.5,6.964924800636942e-16
65,5362.1,6.601720589294901e-16
66,5387.7,6.205065549792167e-16
67,5413.2,6.074244634701572e-16
68,5438.8,5.983974529497901e-16
69,5464.4,6.124047078716661e-16
70,5490.0,6.2738464394903e-16
71,5515.5,6.096552164557039e-16
72,5541.1,5.8649738048777e-16
73,5566.7,5.660869408607267e-16
74,5592.2,5.585442944529913e-16
75,5617.8,5.929022944415695e-16
76,5643.4,6.083093380686019e-16
77,5668.9,5.981592493912722e-16
78,5694.5,6.062766734964897e-16
79,5720.1,6.124351926230147e-16
80,5745.7,5.998069758821409e-16
81,5771.2,6.060784069677334e-16
82,5796.8,6.005205900901411e-16
83,5822.4,6.000669796539722e-16
84,5847.9,5.554940724978306e-16
85,5873.5,5.245029899633202e-16
86,5899.1,4.916960392938133e-16
87,5924.7,4.981152188568891e-16
88,5950.2,5.031246873921785e-16
89,5975.8,5.269588663354441e-16
90,6001.4,5.23843722108723e-16
91,6026.9,5.217061106894752e-16
92,6052.5,5.127611422051686e-16
93,6078.1,5.274861459398618e-16
94,6103.7,5.392854064714496e-16
95,6129.2,5.141523307206986e-16
96,6154.8,4.798631566504439e-16
97,6180.4,4.51101636874739e-16
98,6205.9,4.1740031977396885e-16
99,6231.5,3.679812677628987e-16
100,6257.1,3.4230882973970676e-16
101,6282.6,3.1633187318006147e-16
102,6308.2,3.2451531781768785e-16
103,6333.8,3.62409659368792e-16
104,6359.4,3.950041587160998e-16
105,6384.9,4.163872535206467e-16
106,6410.5,4.3065657492081385e-16
107,6436.1,4.614742981369694e-16
108,6461.6,4.966784853321501e-16
109,6487.2,4.796392601285804e-16
110,6512.8,4.627192055265034e-16
111,6538.4,4.683590190978688e-16
112,6563.9,4.66911460408981e-16
113,6589.5,4.619233877972898e-16
114,6615.1,4.661632813379099e-16
115,6640.6,4.642889677679344e-16
116,6666.2,4.649877888318322e-16
117,6691.8,5.729459895074779e-16
118,6717.4,8.428969773536457e-16
119,6742.9,9.004327333359252e-16
120,6768.5,7.890138946910461e-16
121,6794.1,5.52794709939256e-16
122,6819.6,4.207122443358685e-16
123,6845.2,3.9789815774356027e-16
124,6870.8,3.9957886576583345e-16
125,6896.3,3.949540865194905e-16
126,6921.9,3.803972562565908e-16
127,6947.5,3.6713173554318176e-16
128,6973.1,3.5035247294531845e-16
129,6998.6,3.381737524649253e-16
130,7024.2,3.455246063532902e-16
131,7049.8,3.4156649775490436e-16
132,7075.3,3.3985013704942244e-16
133,7100.9,3.4335615300363205e-16
134,7126.5,3.340761431269752e-16
135,7152.1,3.2586739419020463e-16
136,7177.6,3.13512898550885e-16
137,7203.2,3.1010566374866107e-16
138,7228.8,3.099986054204925e-16
139,7254.3,2.945782048060357e-16
140,7279.9,2.846961002523056e-16
141,7305.5,2.838539849052618e-16
142,7331.1,2.944859459757837e-16
143,7356.6,3.0468622407691946e-16
144,7382.2,3.001224873033124e-16
145,7407.8,2.95986458962803e-16
146,7433.3,2.94293813944779e-16
147,7458.9,2.929201878055865e-16
148,7484.5,2.9292583767664156e-16
149,7510.0,2.8699705441794546e-16
150,7535.6,2.8446231203231225e-16
151,7561.2,2.753631043253951e-16
152,7586.8,2.574828119655661e-16
153,7612.3,2.5083388740597687e-16
154,7637.9,2.487387665995535e-16
155,7663.5,2.346937547497542e-16
156,7689.0,2.2034151268495497e-16
157,7714.6,2.2565801150602975e-16
158,7740.2,2.273787608753592e-16
159,7765.8,2.2096555257108005e-16
160,7791.3,2.2532723242660143e-16
161,7816.9,2.353859377872726e-16
162,7842.5,2.3235389360508197e-16
