,wl,fl
0,3400.0,3.544979222219601e-16
1,3401.525,1.2294676733955274e-16
2,3403.05,4.101637186023178e-17
3,3404.575,9.175321674566229e-17
4,3406.1,1.866719270943938e-16
5,3407.625,-8.549778547669038e-18
6,3409.15,1.7886166590017136e-16
7,3410.675,3.7746360829166236e-17
8,3412.2,3.6753696854022335e-16
9,3413.725,2.6575133578295666e-16
10,3415.25,5.725910512302703e-17
11,3416.775,1.8521628813079885e-16
12,3418.3,2.1281618939075823e-16
13,3419.825,-8.004978705787407e-17
14,3421.35,2.1992758677033563e-16
15,3422.875,3.3804904761817897e-16
16,3424.4,1.52562776155858e-16
17,3425.925,8.23644421364119e-17
18,3427.45,5.531534865832665e-17
19,3428.975,1.216847687139551e-17
20,3430.5,-1.22400968067763e-17
21,3432.025,1.4104131587307852e-16
22,3433.55,1.8030829424621868e-16
23,3435.075,7.746712559396138e-17
24,3436.6,1.4005238785181196e-16
25,3438.125,1.6513621479530709e-16
26,3439.65,2.772627749185121e-16
27,3441.175,1.4355900987824826e-16
28,3442.7,1.4559309451452065e-16
29,3444.225,5.709427844554501e-17
30,3445.75,1.6040258277021235e-16
31,3447.275,2.551670628461601e-16
32,3448.8,4.681196452734616e-16
33,3450.325,1.7443825257676632e-16
34,3451.85,1.8371254814423922e-16
35,3453.375,1.7276637130585824e-16
36,3454.9,1.6089870311498305e-17
37,3456.425,1.4577213122735717e-17
38,3457.95,1.6636282549171777e-16
39,3459.475,3.4640297105230364e-17
40,3461.0,1.9310693915790837e-16
41,3462.525,3.893430105422672e-16
42,3464.05,2.7638011868448914e-16
43,3465.575,7.583017087812406e-17
44,3467.1,1.6722854013095789e-16
45,3468.625,1.6982812852732052e-16
46,3470.15,1.6324266087327019e-16
47,3471.675,1.7958450369413443e-16
48,3473.2,2.9121445496788033e-16
49,3474.725,1.9624143908327716e-16
50,3476.25,1.4177492085454751e-16
51,3477.775,2.7871623274249684e-16
52,3479.3,1.2716124613039284e-16
53,3480.825,1.3084332417339332e-16
54,3482.35,2.2071250835511342e-16
