,wl,fl
0,3700.0,3.40410205119773e-21
1,3725.6,2.1769181028043523e-16
2,3751.1,1.072431842383602e-16
3,3776.7,1.0394476683888952e-16
4,3802.3,1.8838437986454764e-16
5,3827.9,1.1717422947187026e-16
6,3853.4,1.5030212862174708e-16
7,3879.0,1.9719832145441586e-16
8,3904.6,2.287109408180916e-16
9,3930.1,1.7417226881615414e-16
10,3955.7,7.813649030843697e-17
11,3981.3,2.0929701474787203e-16
12,4006.8,2.354087811820702e-16
13,4032.4,3.434546146383435e-16
14,4058.0,3.3810588072812556e-16
15,4083.6,3.245680261977887e-16
16,4109.1,2.6316878692789166e-16
17,4134.7,2.71485914735295e-16
18,4160.3,2.583951171938637e-16
19,4185.8,2.4122129245810687e-16
20,4211.4,3.1684599866697386e-16
21,4237.0,3.99864665038221e-16
22,4262.6,3.1371403523101983e-16
23,4288.1,3.5268631725702866e-16
24,4313.7,2.787505142271512e-16
25,4339.3,3.026337476081647e-16
26,4364.8,2.5366686694567933e-16
27,4390.4,2.626872675491347e-16
28,4416.0,2.133455956880569e-16
29,4441.6,2.1965492893450037e-16
30,4467.1,1.9732365476872874e-16
31,4492.7,2.4344187223894234e-16
32,4518.3,2.2268418329013757e-16
33,4543.8,2.6406758134117207e-16
34,4569.4,2.4999780316807227e-16
35,4595.0,2.1851071792412645e-16
36,4620.5,2.596497771728424e-16
37,4646.1,2.405904002766619e-16
38,4671.7,2.7283703962412947e-16
39,4697.3,2.582683317148156e-16
40,4722.8,2.4714777402706524e-16
41,4748.4,2.650958597184445e-16
42,4774.0,2.6095817272377626e-16
43,4799.5,2.4287416553156863e-16
44,4825.1,2.4145291897492394e-16
45,4850.7,2.4096978622339837e-16
46,4876.3,2.2166072529136255e-16
47,4901.8,2.5581372979510785e-16
48,4927.4,2.2985937025841137e-16
49,4953.0,2.1763895595239445e-16
50,4978.5,1.9846412403749175e-16
51,5004.1,1.7774143177452123e-16
52,5029.7,1.4892911487250689e-16
53,5055.3,1.7609615147365616e-16
54,5080.8,1.7657290185941294e-16
55,5106.4,2.118165078643356e-16
56,5132.0,1.88421923151793e-16
57,5157.5,2.1503827930823392e-16
58,5183.1,2.1322678989852892e-16
59,5208.7,2.0446991607333479e-16
60,5234.2,2.018339937874673e-16
61,5259.8,2.2697580675142125e-16
62,5285.4,2.1791312838080519e-16
63,5311.0,2.246019977980751e-16
64,5336.5,2.2207066061223476e-16
65,5362.1,2.2616855871523643e-16
66,5387.7,1.9692676148103011e-16
67,5413.2,1.7825582356206276e-16
68,5438.8,1.7842891046366806e-16
69,5464.4,1.8408678435928815e-16
70,5490.0,1.7805226944410068e-16
71,5515.5,1.6571074790259275e-16
72,5541.1,1.7571302392610353e-16
73,5566.7,1.7526848750838048e-16
74,5592.2,1.6634706682727696e-16
75,5617.8,1.766553958775513e-16
76,5643.4,1.6101972044361209e-16
77,5668.9,1.6832969537436294e-16
78,5694.5,1.708849670467169e-16
79,5720.1,1.9492604010078526e-16
80,5745.7,2.010918100171912e-16
81,5771.2,1.8732566295738535e-16
82,5796.8,2.078432145517656e-16
83,5822.4,1.896417961805268e-16
84,5847.9,1.9043863953540145e-16
85,5873.5,1.7369088321398408e-16
86,5899.1,1.7283932560225094e-16
87,5924.7,1.6621060757097999e-16
88,5950.2,1.772240332552901e-16
89,5975.8,1.5852941799372395e-16
90,6001.4,1.5850643779166437e-16
91,6026.9,1.7054786817427518e-16
92,6052.5,1.7268855063543337e-16
93,6078.1,1.9152822891012812e-16
94,6103.7,1.9675770081975525e-16
95,6129.2,1.8992864090532131e-16
96,6154.8,1.8588359251733906e-16
97,6180.4,1.7236145870705477e-16
98,6205.9,1.5235355613820303e-16
99,6231.5,1.3791300252463305e-16
100,6257.1,1.1173643609130425e-16
101,6282.6,9.862358493808701e-17
102,6308.2,8.051068675187911e-17
103,6333.8,8.306297511678635e-17
104,6359.4,1.1095520008753262e-16
105,6384.9,1.2442186010314104e-16
106,6410.5,1.3541527219441143e-16
107,6436.1,1.4815479527119216e-16
108,6461.6,1.5111820508398786e-16
109,6487.2,1.6765796953881475e-16
110,6512.8,1.85735963592476e-16
111,6538.4,1.665846465327737e-16
112,6563.9,1.690299749428845e-16
113,6589.5,1.8360525908172425e-16
114,6615.1,1.7484359758228753e-16
115,6640.6,1.8571439165337418e-16
116,6666.2,1.9236896368047998e-16
117,6691.8,1.7980797510936672e-16
118,6717.4,1.8070845084264144e-16
119,6742.9,1.9208619575806592e-16
120,6768.5,1.8784944829175276e-16
121,6794.1,1.740634384695235e-16
122,6819.6,1.8502672981691709e-16
123,6845.2,2.0543211649633674e-16
124,6870.8,2.122820696380469e-16
125,6896.3,2.0825073440622176e-16
126,6921.9,1.7743567198626782e-16
127,6947.5,1.5555592301062895e-16
128,6973.1,1.5050774017335301e-16
129,6998.6,1.4751261781887696e-16
130,7024.2,1.539544604752903e-16
131,7049.8,1.5865112853790757e-16
132,7075.3,1.5780942646308792e-16
133,7100.9,1.4466469347495444e-16
134,7126.5,1.3521395895474481e-16
135,7152.1,1.4759797732773188e-16
136,7177.6,1.6018368951278846e-16
137,7203.2,1.387455764417329e-16
138,7228.8,1.323744484837109e-16
139,7254.3,1.495670448669563e-16
140,7279.9,1.395087211753606e-16
141,7305.5,1.3324249690116619e-16
142,7331.1,1.4233821419223092e-16
143,7356.6,1.4385486414880843e-16
144,7382.2,1.402523433506649e-16
145,7407.8,1.3532012866345895e-16
146,7433.3,1.3192452688994936e-16
147,7458.9,1.4254935964077363e-16
148,7484.5,1.4815773361363882e-16
149,7510.0,1.4220422340484543e-16
150,7535.6,1.4105996341677975e-16
151,7561.2,1.3756365446358128e-16
152,7586.8,1.3365925972309584e-16
153,7612.3,1.3272127960367451e-16
154,7637.9,1.2697838140112143e-16
155,7663.5,1.1919258018707363e-16
156,7689.0,1.0670727773633545e-16
157,7714.6,9.818025559023696e-17
158,7740.2,1.02694088768304e-16
159,7765.8,1.0492839884355968e-16
160,7791.3,1.0593635141321353e-16
161,7816.9,1.100083408892874e-16
162,7842.5,1.0948347944743741e-16
163,7868.0,1.0824404977123165e-16
164,7893.6,1.1313118377726028e-16
165,7919.2,1.2250914102489642e-16
166,7944.7,1.2484147282393356e-16
167,7970.3,1.2217204324971607e-16
168,7995.9,1.271573005484722e-16
169,8021.5,1.281618564562613e-16
170,8047.0,1.2304469532515685e-16
171,8072.6,1.2557992344235438e-16
172,8098.2,1.3066468440307818e-16
173,8123.7,1.2983297471688676e-16
174,8149.3,1.2604416985441815e-16
175,8174.9,1.2582517268288596e-16
176,8200.5,1.246887654542175e-16
177,8226.0,1.1794603320918341e-16
178,8251.6,1.1140879762926266e-16
179,8277.2,1.0222333571154516e-16
180,8302.7,8.700730308431795e-17
181,8328.3,8.686496720569021e-17
182,8353.9,9.091014751449106e-17
183,8379.5,8.994244245219416e-17
184,8405.0,8.185504848838346e-17
185,8430.6,7.74258743968562e-17
186,8456.2,7.715275877004e-17
187,8481.7,8.146206998097029e-17
188,8507.3,8.441637541446115e-17
189,8532.9,8.549693604085243e-17
190,8558.4,8.78600488925539e-17
191,8584.0,9.268597536923471e-17
192,8609.6,9.372501181913556e-17
193,8635.2,9.000135045717922e-17
194,8660.7,8.480312038180233e-17
195,8686.3,8.99230115839361e-17
196,8711.9,1.0672139301967884e-16
197,8737.4,1.1739288214299022e-16
198,8763.0,1.145341008402388e-16
199,8788.6,9.916585782103991e-17
200,8814.2,9.488575595121506e-17
201,8839.7,1.1074137660562297e-16
202,8865.3,1.1185050245225367e-16
203,8890.9,9.788139632879439e-17
204,8916.4,9.726346763787479e-17
