,wl,fl
0,3700.0,1.448885863109569e-16
1,3725.6,4.819450593143253e-18
2,3751.1,4.2447983029942055e-17
3,3776.7,2.611802083064515e-24
4,3802.3,6.938394309941587e-17
5,3827.9,5.103399541371914e-24
6,3853.4,2.499953607570387e-17
7,3879.0,5.780583681913878e-17
8,3904.6,4.441862541542586e-17
9,3930.1,7.63834190602288e-17
10,3955.7,1.1156112324833086e-16
11,3981.3,1.0974398396279752e-16
12,4006.8,8.076393794008809e-17
13,4032.4,7.591129217012218e-17
14,4058.0,6.200402920394922e-17
15,4083.6,8.362785232084592e-17
16,4109.1,6.650266974464418e-17
17,4134.7,4.252627583281615e-17
18,4160.3,8.883486680305844e-17
19,4185.8,6.121259241779717e-17
20,4211.4,7.122211483086893e-17
21,4237.0,5.1019119507036684e-17
22,4262.6,5.536691638691824e-17
23,4288.1,4.025972779696603e-17
24,4313.7,3.7770967850060034e-17
25,4339.3,4.8826591579456294e-17
26,4364.8,5.2430260845786475e-17
27,4390.4,3.894748569977619e-17
28,4416.0,4.881817974961859e-17
29,4441.6,3.6852679548034016e-17
30,4467.1,8.44731123544565e-17
31,4492.7,7.34389632185218e-17
32,4518.3,1.0230760252008085e-16
33,4543.8,9.024905661993764e-17
34,4569.4,1.0445517636147877e-16
35,4595.0,1.0711783627534357e-16
36,4620.5,1.0238138621479498e-16
37,4646.1,9.948073855578995e-17
38,4671.7,1.0120742933193248e-16
39,4697.3,7.890466199006364e-17
40,4722.8,7.176085510080321e-17
41,4748.4,8.076308391874363e-17
42,4774.0,8.539978914328166e-17
43,4799.5,7.955628646208588e-17
44,4825.1,9.603017234987675e-17
45,4850.7,1.0842602093787739e-16
46,4876.3,9.273806142756351e-17
47,4901.8,8.010480755013183e-17
48,4927.4,7.196747717590763e-17
49,4953.0,6.646058797095254e-17
50,4978.5,7.059037403717261e-17
51,5004.1,7.774976649136656e-17
52,5029.7,7.07523821739401e-17
53,5055.3,6.531853940461806e-17
54,5080.8,6.615910034861709e-17
55,5106.4,6.870519772566727e-17
56,5132.0,6.339467708930223e-17
57,5157.5,7.703357597732082e-17
58,5183.1,7.720848261472243e-17
59,5208.7,7.58355893242665e-17
60,5234.2,7.622112464848328e-17
61,5259.8,7.870182733229888e-17
62,5285.4,8.177252453176128e-17
63,5311.0,8.056738106174769e-17
64,5336.5,8.625277143453441e-17
65,5362.1,7.1836528688302e-17
66,5387.7,7.687624899792907e-17
67,5413.2,8.822097936265157e-17
68,5438.8,9.571882062142442e-17
69,5464.4,9.720187058927665e-17
70,5490.0,1.0021284761090613e-16
71,5515.5,8.808456492177532e-17
72,5541.1,1.0419963232986731e-16
73,5566.7,9.442612227098087e-17
74,5592.2,9.232407525748194e-17
75,5617.8,8.875360947447753e-17
76,5643.4,9.911418692664497e-17
77,5668.9,9.56322010958892e-17
78,5694.5,9.366586203563552e-17
79,5720.1,8.625307592916122e-17
80,5745.7,8.341268330559046e-17
81,5771.2,7.781505769827916e-17
82,5796.8,7.491600449886996e-17
83,5822.4,7.230190496662539e-17
84,5847.9,6.187576947648881e-17
85,5873.5,7.225596609937566e-17
86,5899.1,6.911542099901634e-17
87,5924.7,6.966343257455362e-17
88,5950.2,8.280366597034066e-17
89,5975.8,8.616301660524252e-17
90,6001.4,8.438732492631788e-17
91,6026.9,7.598864990770094e-17
92,6052.5,7.993174302731201e-17
93,6078.1,7.979424823937472e-17
94,6103.7,7.141775958336158e-17
95,6129.2,6.605242969107455e-17
96,6154.8,5.380828966105401e-17
97,6180.4,4.740558659807816e-17
98,6205.9,4.7917775563316406e-17
