,wl,fl
0,3700.0,1.091593293511968e-17
1,3725.6,4.425913122794174e-16
2,3751.1,3.826041085372173e-16
3,3776.7,3.460993308152012e-16
4,3802.3,3.3808832474618114e-16
5,3827.9,4.424220795251545e-16
6,3853.4,4.879845649579827e-16
7,3879.0,3.44397606549687e-16
8,3904.6,2.44236167371765e-16
9,3930.1,3.855997693665216e-16
10,3955.7,3.6895998393902925e-16
11,3981.3,4.644198941496032e-16
12,4006.8,5.260668938378947e-16
13,4032.4,4.450164056099053e-16
14,4058.0,3.5570234109935845e-16
15,4083.6,4.225183506519069e-16
16,4109.1,4.442828173750337e-16
17,4134.7,4.495526359551218e-16
18,4160.3,4.1368699542935823e-16
19,4185.8,4.712782084135804e-16
20,4211.4,4.407666652095184e-16
21,4237.0,5.070162304540505e-16
22,4262.6,4.787329404373345e-16
23,4288.1,4.727518834708056e-16
24,4313.7,4.4231372718151324e-16
25,4339.3,4.204339733600198e-16
26,4364.8,3.7006744074457187e-16
27,4390.4,3.2993214933122367e-16
28,4416.0,3.480225793740542e-16
29,4441.6,2.9670862428656913e-16
30,4467.1,2.5406520140434264e-16
31,4492.7,3.602890199664821e-16
32,4518.3,2.372003581239509e-16
33,4543.8,2.8015437196681244e-16
34,4569.4,2.9271214630941083e-16
35,4595.0,3.0778041285463826e-16
36,4620.5,2.497244366718155e-16
37,4646.1,3.0692734433332406e-16
38,4671.7,2.637512397598346e-16
39,4697.3,2.877881689181435e-16
40,4722.8,2.6964692447827625e-16
41,4748.4,2.911362489976424e-16
42,4774.0,3.150056945298275e-16
43,4799.5,2.584250393692926e-16
44,4825.1,2.3194701289118197e-16
45,4850.7,2.5352336309534535e-16
46,4876.3,2.426817109045232e-16
47,4901.8,2.1016341759640925e-16
48,4927.4,1.8389436727302672e-16
49,4953.0,2.0425777129142498e-16
50,4978.5,2.111067440879013e-16
51,5004.1,1.7412024505539747e-16
52,5029.7,1.5630695048368568e-16
53,5055.3,1.4438090093064273e-16
54,5080.8,1.2986319380879853e-16
55,5106.4,1.42384203249895e-16
56,5132.0,1.490361410003082e-16
57,5157.5,1.4722655395057692e-16
58,5183.1,2.098941681444545e-16
59,5208.7,1.8737208960245635e-16
60,5234.2,1.8988071156430174e-16
61,5259.8,1.718291931667492e-16
62,5285.4,1.875401313430641e-16
63,5311.0,2.2096734108828426e-16
64,5336.5,1.9266583109105108e-16
65,5362.1,2.039219563555467e-16
66,5387.7,1.9141789853972668e-16
67,5413.2,1.6781076270095997e-16
68,5438.8,1.511281722269488e-16
69,5464.4,1.719842856084964e-16
70,5490.0,1.4680092425192882e-16
71,5515.5,1.1452807218733043e-16
72,5541.1,1.4033049523852135e-16
73,5566.7,1.1540747204832428e-16
74,5592.2,1.7950220414023372e-16
75,5617.8,9.491313583890507e-17
76,5643.4,1.0377098246483584e-16
77,5668.9,1.3619670379648232e-16
78,5694.5,1.2164079115389702e-16
79,5720.1,1.3255398624755483e-16
