,wl,fl
0,3700.0,2.73811983155702e-15
1,3725.6,2.4929314160994715e-15
2,3751.1,1.806285101705604e-15
3,3776.7,2.131936407457245e-15
4,3802.3,2.607686147479647e-15
5,3827.9,2.3525953047539547e-15
6,3853.4,2.094326399517006e-15
7,3879.0,1.873336068826414e-15
8,3904.6,1.8755003516244044e-15
9,3930.1,1.785306533607346e-15
10,3955.7,1.5487468677279766e-15
11,3981.3,1.5568031469367036e-15
12,4006.8,1.5291282428681136e-15
13,4032.4,1.5129701183405804e-15
14,4058.0,1.3611563594758513e-15
15,4083.6,1.5185631895313886e-15
16,4109.1,1.808831011301913e-15
17,4134.7,2.3554589080856373e-15
18,4160.3,2.3901082145723952e-15
19,4185.8,2.2735658543784162e-15
20,4211.4,2.3436337819140624e-15
21,4237.0,2.2444257406031714e-15
22,4262.6,2.196755914060199e-15
23,4288.1,2.0989718585948296e-15
24,4313.7,2.0879634024973063e-15
25,4339.3,2.075827692871783e-15
26,4364.8,2.1274242431781393e-15
27,4390.4,2.019788276837066e-15
28,4416.0,1.8850917587879674e-15
29,4441.6,1.9752846238810197e-15
30,4467.1,2.2296888270233615e-15
31,4492.7,2.2231512240036324e-15
32,4518.3,2.2573669367443426e-15
33,4543.8,2.3684131293117595e-15
34,4569.4,2.4419919549982808e-15
35,4595.0,2.5109405530595442e-15
36,4620.5,2.586558140045331e-15
37,4646.1,2.7442923847907292e-15
38,4671.7,2.5697262411456457e-15
39,4697.3,2.6597680075156985e-15
40,4722.8,2.715978715819809e-15
41,4748.4,2.8136537310963624e-15
42,4774.0,2.7990094770468714e-15
43,4799.5,2.7138054992461356e-15
44,4825.1,2.7732430400867955e-15
45,4850.7,2.743081461790835e-15
46,4876.3,2.82929899698624e-15
47,4901.8,2.962355464949368e-15
48,4927.4,3.017071150334299e-15
49,4953.0,2.9556970972208434e-15
50,4978.5,3.0371698395765225e-15
51,5004.1,2.8957165328930183e-15
52,5029.7,2.8624945218474397e-15
53,5055.3,2.929485045120667e-15
54,5080.8,2.943054808802974e-15
55,5106.4,2.932186359118503e-15
56,5132.0,2.848080311590959e-15
57,5157.5,2.6631445563243753e-15
58,5183.1,2.6237385784993343e-15
59,5208.7,2.637605426089574e-15
60,5234.2,2.5783898722866424e-15
61,5259.8,2.5580074661046577e-15
62,5285.4,2.5011696833647415e-15
63,5311.0,2.358188766795703e-15
64,5336.5,2.268438635143614e-15
65,5362.1,2.3919390634474852e-15
66,5387.7,2.613551181860202e-15
67,5413.2,2.766555514036939e-15
68,5438.8,2.7882143107966545e-15
69,5464.4,2.9332871792936497e-15
70,5490.0,2.98351604323417e-15
71,5515.5,2.9885905942240845e-15
72,5541.1,3.0629898364894464e-15
73,5566.7,3.0031777309777048e-15
74,5592.2,3.0093990232517297e-15
75,5617.8,3.0441920885410162e-15
76,5643.4,2.9483017736160235e-15
77,5668.9,2.950207914583936e-15
78,5694.5,2.993811768127671e-15
79,5720.1,2.984758815431239e-15
80,5745.7,2.9888827889496542e-15
81,5771.2,2.9108580347882477e-15
