,wl,fl
0,3700.0,1.6850472952327212e-15
1,3725.6,1.422042669393989e-15
2,3751.1,1.519313068590075e-15
3,3776.7,1.484695672616485e-15
4,3802.3,1.8550368876406906e-15
5,3827.9,1.57181961990145e-15
6,3853.4,1.3508776897383555e-15
7,3879.0,1.384543732246519e-15
8,3904.6,1.3025594782763895e-15
9,3930.1,1.6069349873184787e-15
10,3955.7,1.4547040513034477e-15
11,3981.3,1.6350653719697636e-15
12,4006.8,1.3829429268447828e-15
13,4032.4,9.524820011305163e-16
14,4058.0,9.830970870262157e-16
15,4083.6,1.1459547003277725e-15
16,4109.1,1.1915151074377019e-15
17,4134.7,1.165624685266427e-15
18,4160.3,1.0214518435613829e-15
19,4185.8,8.671711745183253e-16
20,4211.4,9.437472375458937e-16
21,4237.0,8.821580406407355e-16
22,4262.6,8.504695302900465e-16
23,4288.1,7.669734397992351e-16
24,4313.7,7.064620877333945e-16
25,4339.3,6.107251779013436e-16
26,4364.8,7.2685368261053065e-16
27,4390.4,6.037132048775257e-16
28,4416.0,7.119728909061048e-16
29,4441.6,7.637996588272521e-16
30,4467.1,9.586116986570058e-16
31,4492.7,9.530917573431054e-16
32,4518.3,9.287058257385667e-16
33,4543.8,1.0210788100546935e-15
34,4569.4,9.832449417613569e-16
35,4595.0,9.73362058307679e-16
36,4620.5,1.0164454557892646e-15
37,4646.1,9.06143728429827e-16
38,4671.7,9.341252756643354e-16
39,4697.3,8.910644408148928e-16
40,4722.8,8.362236218253453e-16
41,4748.4,8.454807462951246e-16
42,4774.0,8.217587482619467e-16
43,4799.5,7.035894955837379e-16
44,4825.1,7.912560929111928e-16
45,4850.7,7.443225305282048e-16
46,4876.3,7.438614504775948e-16
47,4901.8,6.656702163672531e-16
48,4927.4,6.023278418728325e-16
49,4953.0,6.677411653095455e-16
50,4978.5,7.472034705948031e-16
51,5004.1,7.88901467269904e-16
52,5029.7,7.766198685832025e-16
53,5055.3,8.191765100244037e-16
54,5080.8,8.171604205628405e-16
55,5106.4,9.396813465091569e-16
56,5132.0,8.336070645662883e-16
57,5157.5,9.602159974426884e-16
58,5183.1,8.772081465196609e-16
59,5208.7,8.763012509019955e-16
60,5234.2,8.685198211382481e-16
61,5259.8,8.919500757200145e-16
62,5285.4,8.40131530457343e-16
63,5311.0,7.878391381471361e-16
64,5336.5,7.649496936533486e-16
65,5362.1,7.423592814378419e-16
66,5387.7,7.936384967351167e-16
67,5413.2,7.834623335182029e-16
68,5438.8,7.757151632553108e-16
69,5464.4,7.727891351931814e-16
70,5490.0,7.300092168796669e-16
71,5515.5,7.584976542237201e-16
72,5541.1,7.61484886143459e-16
73,5566.7,8.53305309993892e-16
74,5592.2,9.631013586127257e-16
75,5617.8,9.509077811346684e-16
76,5643.4,1.0072124771183404e-15
77,5668.9,1.0139426978719783e-15
78,5694.5,9.98441374069468e-16
79,5720.1,1.0295310351497597e-15
80,5745.7,9.180678451734056e-16
81,5771.2,8.497224829949699e-16
82,5796.8,7.8895856336216035e-16
83,5822.4,7.686638732332387e-16
84,5847.9,7.867301138886167e-16
85,5873.5,8.657489562940561e-16
86,5899.1,9.81607215348431e-16
87,5924.7,1.0436043483821696e-15
88,5950.2,1.0565872850264369e-15
89,5975.8,1.11714637071196e-15
90,6001.4,1.1320626915643565e-15
91,6026.9,1.146965399121109e-15
92,6052.5,1.082628002386209e-15
93,6078.1,9.689467043654362e-16
94,6103.7,8.091996384379913e-16
95,6129.2,6.595463163083082e-16
96,6154.8,5.382393632348139e-16
97,6180.4,5.337451325354127e-16
98,6205.9,5.677585394552964e-16
99,6231.5,6.684892395996587e-16
100,6257.1,8.207204807212308e-16
101,6282.6,9.617599273817165e-16
102,6308.2,1.0512572029171182e-15
103,6333.8,1.1203399738649504e-15
104,6359.4,1.1930531842293523e-15
105,6384.9,1.2562364350079333e-15
106,6410.5,1.2634824781988585e-15
107,6436.1,1.2742067691451253e-15
108,6461.6,1.2314784103924787e-15
109,6487.2,1.2236360607215295e-15
110,6512.8,1.2018835982043458e-15
111,6538.4,1.173206272952941e-15
112,6563.9,1.1596328591649457e-15
113,6589.5,1.1420233729888016e-15
114,6615.1,1.128950084779527e-15
115,6640.6,1.1202907457862795e-15
116,6666.2,1.1013587272361085e-15
117,6691.8,1.069754789843014e-15
118,6717.4,1.0522682618316736e-15
119,6742.9,1.0440304794624702e-15
120,6768.5,1.0384500004404474e-15
121,6794.1,1.0067466958903004e-15
122,6819.6,9.873982483664938e-16
123,6845.2,9.796831327357673e-16
124,6870.8,1.0003494254556158e-15
125,6896.3,1.0306298195988798e-15
126,6921.9,1.0532929858676062e-15
127,6947.5,1.044517319832058e-15
128,6973.1,1.0059736927229396e-15
129,6998.6,9.864864123409203e-16
130,7024.2,9.753725070146733e-16
131,7049.8,9.805029630366606e-16
132,7075.3,1.0005894377593288e-15
133,7100.9,1.0028396742827856e-15
134,7126.5,9.853559976336272e-16
135,7152.1,9.667570545366473e-16
136,7177.6,9.701661712351278e-16
137,7203.2,9.760707671802971e-16
138,7228.8,9.699121692692018e-16
139,7254.3,9.587646291109508e-16
140,7279.9,9.468351478971452e-16
141,7305.5,9.605679460090566e-16
142,7331.1,9.65662997169697e-16
143,7356.6,9.496771901271624e-16
144,7382.2,9.25672134984513e-16
145,7407.8,9.029462085932757e-16
146,7433.3,8.755064668505397e-16
147,7458.9,8.435840816392365e-16
148,7484.5,7.637209834484359e-16
149,7510.0,6.809274337120224e-16
150,7535.6,5.96445824210104e-16
151,7561.2,5.661659815796967e-16
152,7586.8,5.767997881340271e-16
153,7612.3,6.01822296925136e-16
154,7637.9,6.437860061108812e-16
155,7663.5,7.138923706012602e-16
156,7689.0,7.806478612654355e-16
157,7714.6,8.423728930197231e-16
158,7740.2,9.093952965521572e-16
159,7765.8,9.616491855666375e-16
160,7791.3,1.0201056568380732e-15
161,7816.9,1.0670689122479386e-15
162,7842.5,1.1134113392316235e-15
163,7868.0,1.1363438824520583e-15
164,7893.6,1.1355736644824037e-15
165,7919.2,1.1008862644658541e-15
166,7944.7,1.0382628163772686e-15
167,7970.3,9.782865702640317e-16
168,7995.9,9.436723145007494e-16
169,8021.5,9.141150780552528e-16
170,8047.0,8.826004315972342e-16
171,8072.6,8.562405182087705e-16
172,8098.2,8.177004617084953e-16
173,8123.7,7.529085538844175e-16
174,8149.3,6.580281623988585e-16
175,8174.9,5.683706981209996e-16
176,8200.5,4.91791135595522e-16
177,8226.0,4.266041061395533e-16
178,8251.6,3.920386439244407e-16
179,8277.2,3.874858839637166e-16
180,8302.7,3.8692020499137183e-16
181,8328.3,3.879026695877039e-16
182,8353.9,4.1372270634476986e-16
183,8379.5,4.470162788752202e-16
184,8405.0,4.772976286860123e-16
185,8430.6,5.188955129983749e-16
186,8456.2,5.808228403170716e-16
187,8481.7,6.886933132204545e-16
188,8507.3,7.802751663200087e-16
189,8532.9,8.603264423334336e-16
190,8558.4,8.854646955061416e-16
191,8584.0,9.484705745444974e-16
192,8609.6,9.907793915209163e-16
193,8635.2,9.846677744784745e-16
194,8660.7,9.93046218845459e-16
195,8686.3,9.89694239455475e-16
196,8711.9,9.52174731347018e-16
197,8737.4,9.297018550891259e-16
198,8763.0,9.150265064283228e-16
199,8788.6,8.821046912956898e-16
200,8814.2,8.332577409071517e-16
201,8839.7,7.764861326966388e-16
202,8865.3,7.301485643618275e-16
203,8890.9,6.756690935506911e-16
204,8916.4,5.959226655601499e-16
205,8942.0,5.385041705219367e-16
206,8967.6,5.257407578292384e-16
207,8993.2,5.220401841370288e-16
208,9018.7,5.145343333991782e-16
209,9044.3,5.243570954756227e-16
210,9069.9,5.439767178589705e-16
211,9095.4,5.661668459127187e-16
212,9121.0,5.993504365041346e-16
213,9146.6,6.098896142189806e-16
214,9172.1,5.977023786033608e-16
215,9197.7,6.141056850249909e-16
216,9223.3,6.334314022109485e-16
217,9248.9,6.211442634183921e-16
218,9274.4,5.974706112694785e-16
219,9300.0,5.802170642607394e-16
