,wl,fl
0,3700.0,3.085206865226169e-16
1,3725.6,6.159002853719571e-16
2,3751.1,7.691132073217688e-16
3,3776.7,4.820278003097577e-16
4,3802.3,7.375418834669645e-16
5,3827.9,9.952036424283705e-16
6,3853.4,9.773998759380807e-16
7,3879.0,1.2165802050477743e-15
8,3904.6,1.2231826955213765e-15
9,3930.1,1.0905186992018957e-15
10,3955.7,1.0706270348267817e-15
11,3981.3,9.78148592332056e-16
12,4006.8,8.821817412960884e-16
13,4032.4,9.471173910867052e-16
14,4058.0,8.078456300923188e-16
15,4083.6,8.243188240293297e-16
16,4109.1,8.664895292381296e-16
17,4134.7,9.28509941890996e-16
18,4160.3,8.675609580715828e-16
19,4185.8,9.361927506231798e-16
20,4211.4,9.622057649763362e-16
21,4237.0,8.878989655123086e-16
22,4262.6,7.682400453758902e-16
23,4288.1,7.109379703895019e-16
24,4313.7,7.29522624555766e-16
25,4339.3,6.838541758754225e-16
26,4364.8,7.637302217750107e-16
27,4390.4,8.891361253072552e-16
28,4416.0,8.847449938621811e-16
29,4441.6,9.423817921460018e-16
30,4467.1,9.925605550351802e-16
31,4492.7,1.0437123435432294e-15
32,4518.3,9.562484286114364e-16
33,4543.8,1.0185008513898038e-15
34,4569.4,1.0260250554315948e-15
35,4595.0,9.603956408768333e-16
36,4620.5,9.466361165646102e-16
37,4646.1,8.5097830132456795e-16
38,4671.7,8.347991950461911e-16
39,4697.3,7.526948096503722e-16
40,4722.8,6.979821296013362e-16
41,4748.4,7.441481436432088e-16
42,4774.0,7.01571259391625e-16
43,4799.5,5.863930112317994e-16
44,4825.1,6.219391428482728e-16
45,4850.7,5.207844513417059e-16
46,4876.3,5.320407118513685e-16
47,4901.8,5.234103987316304e-16
48,4927.4,5.254851683814011e-16
49,4953.0,5.958761683141476e-16
50,4978.5,6.455452080078095e-16
51,5004.1,6.934518836361345e-16
52,5029.7,6.607455198421299e-16
53,5055.3,6.470883562893059e-16
54,5080.8,6.511569270855023e-16
55,5106.4,6.234139381550273e-16
56,5132.0,6.360900697492633e-16
57,5157.5,6.406936784566237e-16
58,5183.1,6.07795260997629e-16
59,5208.7,6.168963108513583e-16
60,5234.2,6.108059437395753e-16
61,5259.8,5.649172661014323e-16
62,5285.4,5.698867384729717e-16
63,5311.0,5.216004441816407e-16
64,5336.5,5.308102089174291e-16
65,5362.1,5.137476822122608e-16
66,5387.7,5.303152720994969e-16
67,5413.2,5.388993887818159e-16
68,5438.8,5.258265882173844e-16
69,5464.4,4.91292696405102e-16
70,5490.0,4.806355170783812e-16
71,5515.5,5.030428905402574e-16
72,5541.1,5.026388892206831e-16
73,5566.7,5.354501491324443e-16
74,5592.2,5.515565118358968e-16
75,5617.8,5.598665135577642e-16
76,5643.4,5.211130279572279e-16
77,5668.9,5.19275159669142e-16
78,5694.5,5.450420500181118e-16
79,5720.1,4.967598411923749e-16
80,5745.7,4.477282591728417e-16
81,5771.2,4.177439133837129e-16
82,5796.8,4.040968097333025e-16
83,5822.4,4.1023711468573932e-16
84,5847.9,4.2371418278859054e-16
85,5873.5,4.639887770791132e-16
86,5899.1,5.003508167924222e-16
87,5924.7,4.898309372103276e-16
88,5950.2,4.572627944225064e-16
89,5975.8,4.1468434998852185e-16
90,6001.4,3.6858839602532406e-16
91,6026.9,3.0677977209223787e-16
92,6052.5,2.343157866780378e-16
93,6078.1,1.9506116867625005e-16
94,6103.7,1.9740652885960998e-16
95,6129.2,1.923557530893835e-16
96,6154.8,2.0864224988128512e-16
97,6180.4,2.4514299866518634e-16
98,6205.9,2.894378040593566e-16
99,6231.5,3.5113466941844503e-16
100,6257.1,3.825650924238533e-16
101,6282.6,4.1406595593356583e-16
102,6308.2,4.2025793224057996e-16
103,6333.8,4.501384432805605e-16
104,6359.4,4.5948982956055165e-16
105,6384.9,4.623217725053035e-16
106,6410.5,4.6231122316192785e-16
107,6436.1,4.687972967226275e-16
108,6461.6,4.716161378897542e-16
109,6487.2,4.449469214304983e-16
110,6512.8,4.3281356054998995e-16
111,6538.4,4.225831301249474e-16
112,6563.9,4.0695794301392024e-16
113,6589.5,3.969986939112935e-16
114,6615.1,3.841181935386803e-16
115,6640.6,4.0858422619122326e-16
116,6666.2,3.816402766889622e-16
117,6691.8,3.7360611094349833e-16
118,6717.4,3.9111189101146904e-16
119,6742.9,3.5675664005946923e-16
120,6768.5,3.4864293454259537e-16
121,6794.1,3.413593806364998e-16
122,6819.6,3.2638360069183617e-16
123,6845.2,3.2799291173318263e-16
124,6870.8,3.2225675597707826e-16
125,6896.3,3.259632611671133e-16
126,6921.9,3.5235376567452415e-16
127,6947.5,3.5091290744517484e-16
128,6973.1,3.244949039870235e-16
129,6998.6,3.204084734656805e-16
130,7024.2,3.166751477741901e-16
131,7049.8,3.095861066984657e-16
132,7075.3,3.1084759008630922e-16
133,7100.9,3.1592469395505843e-16
134,7126.5,3.2561874125966723e-16
135,7152.1,3.185438585272254e-16
136,7177.6,3.1517526917692397e-16
137,7203.2,3.084654548652446e-16
138,7228.8,3.010744918399475e-16
139,7254.3,2.775715082409576e-16
140,7279.9,2.738990961622085e-16
141,7305.5,2.543634450301804e-16
142,7331.1,2.322159263386136e-16
143,7356.6,2.0137843388478708e-16
144,7382.2,1.716214541276216e-16
145,7407.8,1.32970381012969e-16
146,7433.3,1.0840025713327785e-16
147,7458.9,1.2108741248573164e-16
148,7484.5,1.024545162227756e-16
149,7510.0,9.39412502150921e-17
150,7535.6,9.188086529597861e-17
151,7561.2,9.325792776454596e-17
152,7586.8,8.916084830237885e-17
