,wl,fl
0,3308.06,4.813007966067727e-17
1,3315.06,5.46537654328353e-17
2,3322.06,5.767681966070247e-17
3,3329.06,3.004752663665958e-17
4,3336.06,3.703576107823448e-17
5,3343.06,5.655202507292148e-17
6,3350.06,3.2510704323116316e-17
7,3357.06,3.585465103545434e-17
8,3364.06,4.8444530243356824e-17
9,3371.06,-1.2728038415943288e-17
10,3378.06,4.358484796215037e-17
11,3385.06,7.745655116608115e-17
12,3392.06,3.9765955745978554e-17
13,3399.06,9.03913361246656e-17
14,3406.06,7.167057269758058e-17
15,3413.06,6.214724596923561e-17
16,3420.06,5.1077975421852475e-17
17,3427.06,8.012407617373906e-17
18,3434.06,8.742493644824672e-17
19,3441.06,6.545875524064377e-17
20,3448.06,8.71458646589732e-17
21,3455.06,7.650775140078372e-17
22,3462.06,8.766080159428632e-17
23,3469.06,4.8471324466568173e-17
24,3476.06,1.078848896316018e-16
25,3483.06,6.280012451931683e-17
26,3490.06,5.56718366716356e-17
27,3497.06,6.012681484955452e-17
28,3504.06,8.488128866987181e-17
29,3511.06,7.467377091046289e-17
30,3518.06,6.001808830323358e-17
31,3525.06,1.1114880361886857e-16
32,3532.06,9.11888473437875e-17
33,3539.06,1.0121701510589147e-16
34,3546.06,1.264854605198579e-16
35,3553.06,1.0428417888827448e-16
36,3560.06,8.732779366011255e-17
37,3567.06,9.221149965798149e-17
38,3574.06,8.587629386820409e-17
39,3581.06,1.2471858395454337e-16
40,3588.06,1.063148856524692e-16
41,3595.06,8.104511593355363e-17
42,3602.06,8.116764984911645e-17
43,3609.06,7.680039292296525e-17
44,3616.06,8.808488780994859e-17
45,3623.06,8.811817807611411e-17
46,3630.06,7.562696723168644e-17
47,3637.06,1.0048003515720442e-16
48,3644.06,8.61583644380644e-17
49,3651.06,5.363019630965129e-17
50,3658.06,4.4718554933610974e-17
51,3665.06,5.7497663873071e-17
52,3672.06,7.592899870020085e-17
53,3679.06,3.106855208727182e-17
54,3686.06,3.388076298389866e-17
55,3693.06,2.3913761174012512e-17
56,3700.06,2.2552020856032877e-17
57,3707.06,3.3733321076987114e-18
58,3714.06,1.1066346397607359e-17
59,3721.06,5.2196935245001286e-18
60,3728.06,-7.609392000895178e-18
61,3735.06,-2.862859711913333e-18
62,3742.06,-5.9408631565754545e-18
63,3749.06,3.2588666574182177e-18
64,3756.06,-1.0564441228888316e-17
65,3763.06,-2.5222394841846778e-17
66,3770.06,1.217211985996702e-17
67,3777.06,4.8072947904606085e-18
68,3784.06,2.7007491862620538e-18
69,3791.06,-7.85589262019697e-18
70,3798.06,2.0031943891631556e-18
71,3805.06,1.2532572255086431e-17
72,3812.06,1.845663485038701e-17
73,3819.06,3.4464369491523364e-17
74,3826.06,1.1969158096325739e-17
75,3833.06,1.5356308067657338e-17
76,3840.06,3.014589212834637e-17
77,3847.06,3.0249887372592327e-17
78,3854.06,4.456895020851515e-17
79,3861.06,4.97256366521814e-17
80,3868.06,5.2904551699285117e-17
81,3875.06,6.382512401260749e-17
82,3882.06,7.255299817106839e-17
83,3889.06,8.190637154761288e-17
84,3896.06,9.338603501913832e-17
85,3903.06,9.454088530870847e-17
86,3910.06,1.0713265045579035e-16
87,3917.06,9.970989155628844e-17
88,3924.06,1.0628148401967166e-16
89,3931.06,1.0831673941949617e-16
90,3938.06,1.1797625437649448e-16
91,3945.06,1.197901972507325e-16
92,3952.06,1.1627502891226003e-16
93,3959.06,1.0925967224477275e-16
94,3966.06,1.2723092600090665e-16
95,3973.06,1.3933288474317456e-16
96,3980.06,1.4066998371236878e-16
97,3987.06,1.3461181459350362e-16
98,3994.06,1.2319480584877147e-16
99,4001.06,1.1896996728251824e-16
100,4008.06,1.1478265712304452e-16
101,4015.06,1.2546044702191232e-16
102,4022.06,1.2062771026902473e-16
103,4029.06,1.3067026062028553e-16
104,4036.06,1.1913273470397356e-16
105,4043.06,1.220686747744718e-16
