,wl,fl
0,3700.0,4.005224525382513e-16
1,3725.6,4.870663883496369e-16
2,3751.1,4.835791264905875e-16
3,3776.7,5.324577721216004e-16
4,3802.3,6.967521307673147e-16
5,3827.9,6.995434015138383e-16
6,3853.4,7.03893841013159e-16
7,3879.0,9.570885151100928e-16
8,3904.6,1.0986899705934949e-15
9,3930.1,1.0821637082778856e-15
10,3955.7,1.3211306449300441e-15
11,3981.3,1.1793587423803583e-15
12,4006.8,1.0202980403790962e-15
13,4032.4,1.0401142221035671e-15
14,4058.0,9.850626803828474e-16
15,4083.6,1.0724873768032813e-15
16,4109.1,1.1767424530712428e-15
17,4134.7,1.1313692654081204e-15
18,4160.3,1.0784715882893073e-15
19,4185.8,9.965865609942076e-16
20,4211.4,9.614116460539758e-16
21,4237.0,8.563607723488928e-16
22,4262.6,8.023269194810144e-16
23,4288.1,6.745521203126024e-16
24,4313.7,6.354697772362551e-16
25,4339.3,6.449902187978182e-16
26,4364.8,6.772038369384093e-16
27,4390.4,6.300086779330187e-16
28,4416.0,6.945907577823983e-16
29,4441.6,7.16639083224927e-16
30,4467.1,7.915620791524823e-16
31,4492.7,8.738824660085164e-16
32,4518.3,8.978558538100912e-16
33,4543.8,9.27641981551926e-16
34,4569.4,9.311756777207744e-16
35,4595.0,8.699955379602095e-16
36,4620.5,8.013182887024639e-16
37,4646.1,7.135043119196423e-16
38,4671.7,6.919324293512788e-16
39,4697.3,6.173816690352015e-16
40,4722.8,5.846161213955548e-16
41,4748.4,5.709689703249317e-16
42,4774.0,5.333544902535643e-16
43,4799.5,5.574260527361262e-16
44,4825.1,5.268786622369615e-16
45,4850.7,5.270966854972215e-16
46,4876.3,4.501769120177388e-16
47,4901.8,4.892172563188917e-16
48,4927.4,4.4112401880100466e-16
49,4953.0,5.093612206713551e-16
50,4978.5,5.316322353888381e-16
51,5004.1,5.771956593211916e-16
52,5029.7,5.935315686475578e-16
53,5055.3,6.327077929671914e-16
54,5080.8,6.671712335366952e-16
55,5106.4,7.094290968246445e-16
56,5132.0,7.233991578950979e-16
57,5157.5,7.164034875552358e-16
58,5183.1,7.099622813029384e-16
59,5208.7,7.115614723886335e-16
60,5234.2,6.642628489695203e-16
61,5259.8,6.05742493785431e-16
62,5285.4,5.619073207782759e-16
63,5311.0,5.407480564739032e-16
64,5336.5,5.217779412592058e-16
65,5362.1,5.333351306116812e-16
66,5387.7,5.440208081468257e-16
67,5413.2,5.283286856587289e-16
68,5438.8,5.004441988068311e-16
69,5464.4,4.891099655478235e-16
70,5490.0,5.057475003974391e-16
71,5515.5,5.493519577680234e-16
72,5541.1,6.092109353498052e-16
73,5566.7,6.316120242731156e-16
74,5592.2,6.424677370185135e-16
75,5617.8,6.702322556881157e-16
76,5643.4,6.732089168390717e-16
77,5668.9,6.86522645933451e-16
78,5694.5,6.649610787461779e-16
79,5720.1,6.427729004338633e-16
80,5745.7,6.107100717209192e-16
81,5771.2,5.934010545964137e-16
82,5796.8,5.759983110775086e-16
83,5822.4,5.91696797128378e-16
84,5847.9,5.895609037817994e-16
85,5873.5,6.331594173707576e-16
86,5899.1,6.328384135867914e-16
87,5924.7,6.316612875817977e-16
88,5950.2,6.159023545380048e-16
89,5975.8,5.757110363692493e-16
90,6001.4,5.035024947209293e-16
91,6026.9,4.536275392132686e-16
92,6052.5,4.0528456274087327e-16
93,6078.1,3.567592296033026e-16
94,6103.7,3.286024072162867e-16
95,6129.2,3.306391728298161e-16
