,wl,fl
0,3811.0,9.456906647430354e-17
1,3826.0,-4.515109141369305e-17
2,3841.0,7.265324044991107e-17
3,3855.9,2.885380154673518e-16
4,3870.8,3.224214190599127e-16
5,3885.7,2.1381072170856116e-16
6,3900.6,1.6978999161496736e-16
7,3915.5,2.900834746691244e-16
8,3930.3,3.0428412454030973e-16
9,3945.2,3.593187134626942e-16
10,3960.1,3.108444458433916e-16
11,3974.9,3.6655315547169246e-16
12,3989.8,5.193244651602465e-16
13,4004.6,4.3755467046643095e-16
14,4019.5,3.878055562534673e-16
15,4034.4,4.1394605703981007e-16
16,4049.2,4.087503122358401e-16
17,4064.1,3.4275210908492644e-16
18,4079.0,2.9299326325884707e-16
19,4093.9,2.735577823578026e-16
20,4108.9,2.328999106094287e-16
21,4123.8,1.9660886546758121e-16
22,4138.8,1.668064084117813e-16
23,4153.8,2.0187952526922038e-16
24,4168.8,2.238755254567622e-16
25,4183.8,2.643758234325399e-16
26,4198.9,2.543129094623946e-16
27,4214.0,2.1471738484296712e-16
28,4229.2,1.834245883461257e-16
29,4244.3,1.618730762155704e-16
30,4259.5,2.374376632724269e-16
31,4274.8,1.8537581889521887e-16
32,4290.1,1.6494185564232049e-16
33,4305.4,1.9131512008106471e-16
34,4320.8,1.6587474155408434e-16
35,4336.2,1.581189664504837e-16
36,4351.7,1.951884412223621e-16
37,4367.2,2.1379257984328326e-16
38,4382.8,1.696357786929318e-16
39,4398.4,1.430221195526366e-16
40,4414.1,1.5972673500345867e-16
41,4429.8,1.551294543993762e-16
42,4445.6,1.3621753169932114e-16
43,4461.5,1.7729794870651312e-16
44,4477.4,1.9338949466199641e-16
45,4493.4,2.6554052517798425e-16
46,4509.5,3.1820142045695755e-16
47,4525.6,3.0952703269155645e-16
48,4541.8,3.0184517496416397e-16
49,4558.1,3.1340988709278055e-16
50,4574.5,3.271877704589509e-16
51,4590.9,3.6262278981040606e-16
52,4607.4,3.434156212298953e-16
53,4624.0,3.512179457144641e-16
54,4640.7,3.438697055915164e-16
55,4657.4,3.408620783499908e-16
56,4674.3,3.6646480634553856e-16
57,4691.2,3.546368601710689e-16
58,4708.3,3.1177104409430115e-16
59,4725.4,3.0470781362011003e-16
60,4742.6,3.094110273602479e-16
61,4759.9,3.423424506299865e-16
62,4777.3,3.2399633278130727e-16
63,4794.8,3.334195817408336e-16
64,4812.4,3.2135433786953104e-16
65,4830.1,2.778348232690468e-16
66,4848.0,2.837426084077277e-16
67,4865.9,2.937068223288443e-16
68,4883.9,2.631150108888603e-16
69,4902.1,3.0227469675896154e-16
70,4920.3,2.6420342073795256e-16
71,4938.7,2.5405478800660414e-16
72,4957.2,2.1734349842727208e-16
73,4975.8,2.354797149668318e-16
74,4994.5,1.9962470413279583e-16
75,5013.3,2.055078945851302e-16
76,5032.3,2.093891836808095e-16
77,5051.4,2.2831271891688787e-16
78,5070.6,2.9814283254611403e-16
79,5089.9,3.1037553598121856e-16
80,5109.4,2.8702393456738223e-16
81,5129.0,2.802770881487634e-16
82,5148.8,2.704788914993857e-16
83,5168.6,2.543089635025796e-16
84,5188.6,2.632700742748584e-16
85,5208.8,2.8077464536322506e-16
86,5229.1,2.7375652450141133e-16
87,5249.5,2.737434106812101e-16
88,5270.1,2.641645361226911e-16
89,5290.8,2.7313888235420647e-16
90,5311.6,2.8077712990409056e-16
91,5332.7,2.4920606365080043e-16
92,5353.8,2.128189700275611e-16
93,5375.1,2.135919998655179e-16
