,wl,fl
0,3600.0,3.3202248071147354e-17
1,3601.525,2.830478239273209e-17
2,3603.05,2.806168595079143e-17
3,3604.575,4.3997964387100864e-17
4,3606.1,5.62771449355604e-17
5,3607.625,4.8626098796114406e-17
6,3609.15,4.889667408295876e-17
7,3610.675,3.644948440933395e-17
8,3612.2,3.2562246961144506e-17
9,3613.725,3.20606312338739e-17
10,3615.25,4.5988520361867154e-17
11,3616.775,5.873566256158218e-17
12,3618.3,4.523830547814107e-17
13,3619.825,5.603558216182359e-17
14,3621.35,5.082771977857805e-17
15,3622.875,3.2593460438663415e-17
16,3624.4,5.070531637319215e-17
17,3625.925,4.807507555095317e-17
18,3627.45,3.990397629336509e-17
19,3628.975,3.937303750307145e-17
20,3630.5,3.373871297896159e-17
21,3632.025,2.765872981357618e-17
22,3633.55,4.083054144080514e-17
23,3635.075,2.5676315477273075e-17
24,3636.6,4.216072131639353e-17
25,3638.125,3.9991177541223573e-17
26,3639.65,4.056732187859128e-17
27,3641.175,3.2828126058417986e-17
28,3642.7,6.159266712809835e-17
29,3644.225,3.7054632121246004e-17
30,3645.75,2.983990770264097e-17
31,3647.275,4.56848719534056e-17
32,3648.8,5.657426205304352e-17
33,3650.325,3.000223283921807e-17
34,3651.85,4.523778747412927e-17
35,3653.375,7.095451369962624e-17
36,3654.9,4.809106189212807e-17
37,3656.425,4.3822952806266964e-17
38,3657.95,3.86028570988143e-17
39,3659.475,4.699526620804415e-17
40,3661.0,4.260593523714815e-17
41,3662.525,3.072170510853261e-17
42,3664.05,3.9397457551206494e-17
43,3665.575,3.526569488434903e-17
44,3667.1,2.925823256759531e-17
45,3668.625,1.6351470268972816e-17
46,3670.15,3.097018854200663e-17
47,3671.675,3.1258610323799575e-17
48,3673.2,3.3328581476385565e-17
49,3674.725,3.61433459498531e-17
50,3676.25,3.736378690271703e-17
51,3677.775,2.8903630986251756e-17
52,3679.3,2.8545577146902344e-17
53,3680.825,4.134296642454461e-17
54,3682.35,4.9801021802577704e-17
55,3683.875,4.8001304223492265e-17
56,3685.4,6.444042674863833e-17
57,3686.925,4.326284832423397e-17
58,3688.45,3.85145158778673e-17
59,3689.975,4.499206937404579e-17
60,3691.5,2.628912534702997e-17
61,3693.025,3.9254944281297956e-17
62,3694.55,2.7237291292956152e-17
63,3696.075,2.4812458362597128e-17
64,3697.6,4.869141455366344e-17
65,3699.125,3.93757133121584e-17
66,3700.65,5.424433652772049e-17
67,3702.175,3.386601622936623e-17
68,3703.7,2.9540811264832585e-17
69,3705.225,3.087089685107595e-17
70,3706.75,2.888651966389106e-17
71,3708.275,2.0181343761819334e-17
72,3709.8,4.2064949372323286e-17
73,3711.325,3.157139475651497e-17
74,3712.85,1.9635830007350698e-17
75,3714.375,2.1089342653953718e-17
76,3715.9,3.426028302178595e-17
77,3717.425,2.521569956061882e-17
78,3718.95,1.9695671272342086e-17
79,3720.475,2.923521244876948e-17
80,3722.0,2.990734706184127e-17
81,3723.525,2.740972732188506e-17
82,3725.05,2.050531532019388e-17
83,3726.575,2.8703794532363475e-17
84,3728.1,2.1300694496436185e-17
85,3729.625,3.627218493236881e-17
86,3731.15,2.7798343962167554e-17
87,3732.675,2.0058767727259302e-17
88,3734.2,3.0285471231526576e-17
89,3735.725,3.379447314955782e-17
90,3737.25,5.430188895141486e-17
91,3738.775,4.7853752192628495e-17
92,3740.3,3.1184497202866443e-17
93,3741.825,4.290162491353225e-17
94,3743.35,3.331692095134158e-17
95,3744.875,4.310774517357499e-17
96,3746.4,2.6934865082214017e-17
97,3747.925,2.3232118822635204e-17
98,3749.45,2.413943900798894e-17
99,3750.975,4.2540247945747114e-17
100,3752.5,2.352517622655966e-17
101,3754.025,2.5735220987426792e-17
102,3755.55,3.025899992378777e-17
103,3757.075,4.4281318085787455e-17
104,3758.6,3.8707182073739947e-17
105,3760.125,3.956930746697893e-17
106,3761.65,1.9162892516930804e-17
107,3763.175,4.3860164739916615e-17
108,3764.7,4.470547672528501e-17
109,3766.225,2.5162174039087713e-17
110,3767.75,1.9472559164881207e-17
111,3769.275,2.7740724062252915e-17
112,3770.8,2.763483308487421e-17
113,3772.325,3.238176579642902e-17
114,3773.85,2.5449332533757524e-17
115,3775.375,2.682374557585695e-17
116,3776.9,3.41494864215913e-17
117,3778.425,2.7945883527741976e-17
118,3779.95,2.5557976199708786e-17
119,3781.475,3.5081852631533485e-17
120,3783.0,2.0470808276712665e-17
121,3784.525,2.5166177429576728e-17
122,3786.05,2.5213982714963615e-17
123,3787.575,2.0221345616712193e-17
124,3789.1,2.766985186760688e-17
125,3790.625,3.1213034600685076e-17
126,3792.15,2.862565299719578e-17
127,3793.675,1.506734004495086e-17
128,3795.2,2.730069007428072e-17
129,3796.725,2.75439226183765e-17
130,3798.25,3.2002517730027155e-17
131,3799.775,3.565724754555105e-17
132,3801.3,4.255409090346049e-17
133,3802.825,2.791685743968443e-17
134,3804.35,2.176465983386468e-17
135,3805.875,2.8104354231499085e-17
136,3807.4,3.1052398395129486e-17
137,3808.925,3.3310585025483626e-17
138,3810.45,2.6379985672090635e-17
139,3811.975,4.119833505164261e-17
140,3813.5,4.611088216254943e-17
141,3815.025,3.7957618261171076e-17
142,3816.55,4.392352564057571e-17
143,3818.075,2.7719294232110042e-17
144,3819.6,3.758636216583485e-17
145,3821.125,3.1214316787916756e-17
146,3822.65,3.970899332799676e-17
147,3824.175,4.2939725106014494e-17
148,3825.7,2.9571532514633974e-17
149,3827.225,2.982825760270255e-17
150,3828.75,3.390751322691134e-17
151,3830.275,2.943883584070621e-17
152,3831.8,3.536130168728363e-17
153,3833.325,3.174956394120349e-17
154,3834.85,2.423718145158622e-17
155,3836.375,2.9538816736098763e-17
156,3837.9,3.671802458286811e-17
157,3839.425,5.306183272048473e-17
158,3840.95,5.102995681087992e-17
159,3842.475,6.672852462968464e-17
160,3844.0,4.1155893033290334e-17
161,3845.525,3.1088322780865917e-17
162,3847.05,1.906715316955281e-17
163,3848.575,3.200284754434322e-17
164,3850.1,4.36771505574725e-17
165,3851.625,4.170301137102914e-17
166,3853.15,4.3049238810192034e-17
167,3854.675,5.0106148800012326e-17
168,3856.2,3.0760809598774036e-17
169,3857.725,1.614236206466926e-17
170,3859.25,4.101621368047873e-17
171,3860.775,3.823989797210982e-17
172,3862.3,3.210491305508479e-17
173,3863.825,2.7446229757562748e-17
174,3865.35,3.9724050621299564e-17
175,3866.875,5.025384070962318e-17
176,3868.4,6.267002504112046e-17
177,3869.925,5.613292278338278e-17
178,3871.45,4.3558007368466504e-17
179,3872.975,3.6685972472563975e-17
180,3874.5,3.63105104401623e-17
181,3876.025,2.778722848553943e-17
182,3877.55,2.6662919008290973e-17
183,3879.075,2.522944453071609e-17
184,3880.6,3.489231129827607e-17
185,3882.125,4.332864702532238e-17
186,3883.65,4.782167632165877e-17
187,3885.175,4.553672800910827e-17
188,3886.7,3.3532732521345356e-17
189,3888.225,2.4662504863965736e-17
190,3889.75,3.5554007787690114e-17
191,3891.275,2.8900327514577467e-17
192,3892.8,2.585539164091935e-17
193,3894.325,3.449883961054937e-17
194,3895.85,3.9840642794951745e-17
195,3897.375,3.1951699044191243e-17
196,3898.9,4.014043040729211e-17
197,3900.425,2.825377040200511e-17
