,wl,fl
0,3701.3467,-1.1621550348555791e-16
1,3703.3467,-3.431060268108948e-16
2,3705.3467,2.4263867893939943e-17
3,3707.3467,5.682746760845282e-17
4,3709.3467,6.6510300738848405e-18
5,3711.3467,1.9851621376218308e-16
6,3713.3467,2.8582391374278147e-17
7,3715.3467,-2.61344115756553e-16
8,3717.3467,9.476737521518188e-17
9,3719.3467,7.932600689305127e-16
10,3721.3467,4.48494679525585e-16
11,3723.3467,1.7705361387156815e-16
12,3725.3467,-1.249353371636363e-16
13,3727.3467,-5.493347487106187e-16
14,3729.3467,-3.6642897232715516e-16
15,3731.3467,7.139057547732702e-17
16,3733.3467,1.4033139564484594e-16
17,3735.3467,-9.592142531954951e-17
18,3737.3467,-3.5895371727309896e-17
19,3739.3467,-3.901179454174935e-16
20,3741.3467,3.0234355694034943e-16
21,3743.3467,1.799983872001491e-16
22,3745.3467,-2.2627018920405552e-17
23,3747.3467,2.914754571413346e-17
24,3749.3467,5.2602851665434816e-17
25,3751.3467,7.135020428861957e-17
26,3753.3467,2.9757481039613464e-17
27,3755.3467,-4.6536706278426136e-17
28,3757.3467,-2.074166873055024e-16
29,3759.3467,-2.5942532155109333e-16
30,3761.3467,-5.703203091429774e-17
31,3763.3467,-5.3297627506234664e-17
32,3765.3467,3.135468077518152e-16
33,3767.3467,7.075935090141418e-16
34,3769.3467,2.0005366288429502e-16
35,3771.3467,-2.1536449992437436e-17
36,3773.3467,3.424493300289697e-17
37,3775.3467,-7.034960116582023e-17
38,3777.3467,-4.5335503946478575e-17
39,3779.3467,-9.583752817086462e-17
40,3781.3467,1.58875271590095e-16
41,3783.3467,6.7664192136809695e-16
42,3785.3467,-1.6216535319493203e-16
43,3787.3467,-1.26752261378263e-16
44,3789.3467,1.7125032471496983e-16
45,3791.3467,1.7172534438036774e-16
46,3793.3467,1.2447973744484842e-16
47,3795.3467,1.2940015020817624e-17
48,3797.3467,8.867503953133366e-17
49,3799.3467,2.2359687601172747e-16
50,3801.3467,3.8126579401760065e-16
51,3803.3467,-1.1354810507983564e-16
52,3805.3467,-2.6334538108038576e-16
53,3807.3467,7.690759744051185e-16
54,3809.3467,1.0865073215455287e-16
55,3811.3467,1.7844077825572809e-16
56,3813.3467,5.306496368294556e-17
57,3815.3467,1.1046869358352228e-16
58,3817.3467,4.5710303497261904e-17
59,3819.3467,-5.735460171160029e-17
60,3821.3467,3.0869108369645434e-16
61,3823.3467,3.4110498969709023e-16
62,3825.3467,-1.1532911384693084e-16
63,3827.3467,-5.482534787542988e-17
64,3829.3467,1.2127646335409425e-16
65,3831.3467,2.6539957445036625e-16
66,3833.3467,3.3798667594313635e-17
67,3835.3467,-1.2063104251133754e-16
68,3837.3467,4.4159585339530806e-17
69,3839.3467,1.8014175087265108e-16
70,3841.3467,-1.8598307475766123e-18
71,3843.3467,-7.207486492469288e-17
72,3845.3467,-4.056382196209688e-17
73,3847.3467,-1.7885103566698374e-16
74,3849.3467,3.3760989959226694e-18
75,3851.3467,2.496155108210216e-18
76,3853.3467,-8.539236709586901e-17
77,3855.3467,-3.1506080178182955e-17
78,3857.3467,1.4854819476402431e-16
79,3859.3467,1.550902769294938e-16
80,3861.3467,1.4823356183653676e-16
81,3863.3467,2.3428272508383485e-16
82,3865.3467,8.654989102775681e-17
83,3867.3467,2.224791017430306e-16
84,3869.3467,2.740023524310722e-16
85,3871.3467,-8.423871826945538e-17
86,3873.3467,-1.2036870943295806e-16
87,3875.3467,2.4854045238648998e-16
88,3877.3467,1.9467417268969817e-16
89,3879.3467,-2.756715923498168e-17
90,3881.3467,-8.704494182023054e-17
91,3883.3467,9.295877410826813e-17
92,3885.3467,5.495002549951696e-17
93,3887.3467,1.0930272965397918e-16
94,3889.3467,2.0585413626222528e-16
95,3891.3467,1.2055684039292423e-16
96,3893.3467,4.2082411266952636e-16
97,3895.3467,-2.238962810006723e-17
98,3897.3467,-5.801203175066971e-17
99,3899.3467,1.0164087698146024e-17
100,3901.3467,1.7199961806275693e-16
101,3903.3467,1.4935320617399524e-16
102,3905.3467,3.56789634515962e-17
103,3907.3467,3.2008096213568184e-16
104,3909.3467,1.3954103519992453e-16
105,3911.3467,1.1521957573486183e-16
106,3913.3467,4.982467494338655e-17
107,3915.3467,9.879753025521541e-17
108,3917.3467,-1.2853786291770913e-17
109,3919.3467,1.1862265624795745e-16
110,3921.3467,8.553394624310012e-17
111,3923.3467,-5.085941403008637e-17
112,3925.3467,-1.0166866238822777e-16
113,3927.3467,-1.2496600934795173e-16
114,3929.3467,2.2019829853043538e-16
115,3931.3467,1.0416174090713458e-16
116,3933.3467,-4.0151909616038377e-17
117,3935.3467,-4.553343688175896e-18
