,wl,fl
0,3801.6,3.8633936586999076e-16
1,3817.6,2.309595067810152e-16
2,3833.5,5.00089851291284e-16
3,3849.3,6.762696722364872e-16
4,3865.1,7.969044070209061e-16
5,3880.8,7.405672329890258e-16
6,3896.5,7.287686627082644e-16
7,3912.2,8.498709705268377e-16
8,3927.8,1.0892596153726699e-15
9,3943.3,1.1426045902718303e-15
10,3958.9,1.005121857301644e-15
11,3974.4,9.995106922585005e-16
12,3989.8,1.0305628835678804e-15
13,4005.3,9.828070888174163e-16
14,4020.7,9.590923613303513e-16
15,4036.1,9.266075437776467e-16
16,4051.5,8.538426180467529e-16
17,4066.8,8.929391540017307e-16
18,4082.2,8.945043868814623e-16
19,4097.5,8.694705491141883e-16
20,4112.8,8.78130770737466e-16
21,4128.2,9.015103681644124e-16
22,4143.5,9.18321638868476e-16
23,4158.8,9.469968917511692e-16
24,4174.1,9.526392667016493e-16
25,4189.4,9.227156685195983e-16
26,4204.8,9.341187530803751e-16
27,4220.1,9.42034329755769e-16
28,4235.5,8.875064471126763e-16
29,4250.8,8.418610704404225e-16
30,4266.2,8.170487076015147e-16
31,4281.6,7.90960897980287e-16
32,4297.0,7.333317628627972e-16
33,4312.5,6.774101081633504e-16
34,4328.0,6.557648706997439e-16
35,4343.5,6.565422363158429e-16
36,4359.0,6.429871408245242e-16
37,4374.6,6.190183320312564e-16
38,4390.2,5.929699949065712e-16
39,4405.9,5.871890402565724e-16
40,4421.6,6.017350064474354e-16
41,4437.3,5.957002856184215e-16
42,4453.1,6.332645023214294e-16
43,4468.9,6.4923942578662e-16
44,4484.8,6.532251044910299e-16
45,4500.7,6.541565469906787e-16
46,4516.7,6.765656726005211e-16
47,4532.8,6.850531343073017e-16
48,4548.9,7.170482806420563e-16
49,4565.1,6.815489321060102e-16
50,4581.3,6.816247040992711e-16
51,4597.6,7.307498023530595e-16
52,4614.0,7.64180435669577e-16
53,4630.4,7.99170606214668e-16
54,4647.0,7.668472869652605e-16
55,4663.6,7.313917976579441e-16
56,4680.2,6.787818754857074e-16
57,4697.0,6.248036285356439e-16
58,4713.8,6.105720025654892e-16
59,4730.8,5.933901066222786e-16
60,4747.8,5.284974441815803e-16
61,4764.9,5.352012627986467e-16
62,4782.1,5.289965182757073e-16
63,4799.3,5.159388372009494e-16
64,4816.7,4.900834727045961e-16
65,4834.2,4.809542832665869e-16
66,4851.8,4.545208993274295e-16
67,4869.5,4.415489591105599e-16
68,4887.2,4.5548374722911145e-16
69,4905.1,4.32122296798798e-16
70,4923.1,4.034653404554212e-16
71,4941.2,3.755495399949187e-16
72,4959.5,3.693728494956437e-16
73,4977.8,3.6472606769925594e-16
74,4996.2,3.6117621465864985e-16
75,5014.8,3.495501884743796e-16
76,5033.5,3.837364034952015e-16
77,5052.3,4.0503874944035284e-16
78,5071.2,4.1938406650017637e-16
79,5090.3,4.3140044418537375e-16
80,5109.4,4.489278853470187e-16
81,5128.8,4.711942251663779e-16
82,5148.2,4.884637074064954e-16
83,5167.8,4.907128700373891e-16
