,wl,fl
0,3978.31152,2.6163336691605713e-15
1,3981.09521,3.1402070802076502e-15
2,3983.87891,2.922873400217088e-15
3,3986.6626,2.7071623627160307e-15
4,3989.44629,2.844316725017401e-15
5,3992.22998,2.5319921292320585e-15
6,3995.01367,2.5577338201680273e-15
7,3997.79736,2.8995704690581405e-15
8,4000.58105,2.8952143349430592e-15
9,4003.36475,2.9013304807767378e-15
10,4006.14844,2.7564584850408102e-15
11,4008.93213,2.442337090901914e-15
12,4011.71582,2.7158263620294946e-15
13,4014.49927,2.5689439408623385e-15
14,4017.28296,3.008890021452527e-15
15,4020.06665,2.717862163542173e-15
16,4022.85034,2.4324595420400663e-15
17,4025.63403,3.1105656434587413e-15
18,4028.41772,2.8072262381848937e-15
19,4031.20142,2.6677083941733294e-15
20,4033.98511,2.582097161305375e-15
21,4036.7688,2.3167498843895357e-15
22,4039.55249,2.8694208054811032e-15
23,4042.33618,2.719875926415269e-15
24,4045.11987,2.2129358639265354e-15
25,4047.90356,2.6764334558118753e-15
26,4050.68726,2.2238486346424747e-15
27,4053.47095,2.2124016482420135e-15
28,4056.25439,2.056092820194154e-15
29,4059.03809,1.90645884969421e-15
30,4061.82178,2.479436449692233e-15
31,4064.60547,2.293122731213275e-15
32,4067.38916,2.227098685461694e-15
33,4070.17285,2.3006830183168457e-15
34,4072.95654,1.6593498078084382e-15
35,4075.74023,2.2906044736495594e-15
36,4078.52393,1.8530458165126885e-15
37,4081.30762,1.640397680574805e-15
38,4084.09131,1.5859554829763837e-15
39,4086.875,2.0108697716890343e-15
40,4089.65869,1.9343001919758495e-15
41,4092.44238,2.1446183518372145e-15
42,4095.22583,2.3478269908114333e-15
43,4098.00977,1.943700222946487e-15
44,4100.79346,1.9163394981052618e-15
45,4103.57715,2.1880946509850443e-15
46,4106.36084,2.375770859404006e-15
47,4109.14453,2.22583205569245e-15
48,4111.92822,2.0170499025130327e-15
49,4114.71143,2.013663784599181e-15
50,4117.49512,1.881895098032866e-15
51,4120.27881,2.425458671804695e-15
52,4123.0625,2.0978692519619776e-15
53,4125.84619,1.979326854651704e-15
54,4128.62988,2.035245117441489e-15
55,4131.41357,2.2616522233025283e-15
56,4134.19727,2.283734422755236e-15
57,4136.98096,2.4043435958016713e-15
58,4139.76465,2.379386324371701e-15
59,4142.54834,2.728754683677514e-15
60,4145.33203,2.129569488045683e-15
61,4148.11572,2.1202886067649464e-15
62,4150.89941,2.3465348193837945e-15
63,4153.68311,2.206904726218553e-15
64,4156.4668,2.46487727868475e-15
65,4159.25049,2.3040681651196524e-15
66,4162.03418,2.463269536682728e-15
67,4164.81787,2.5638126307452184e-15
68,4167.60156,2.8090984868802256e-15
69,4170.38525,2.453213271262677e-15
70,4173.16895,2.3513375624359e-15
71,4175.95264,2.7422229794674606e-15
72,4178.73633,2.4690357080308308e-15
73,4181.52002,2.441918669562961e-15
74,4184.30371,2.973107958035564e-15
75,4187.0874,2.8082318190057457e-15
76,4189.87109,2.480400556411098e-15
77,4192.6543,2.2904739662095837e-15
78,4195.43799,2.6759367143628458e-15
79,4198.22168,2.753090906126967e-15
80,4201.00537,2.69229072526176e-15
81,4203.78906,2.42066752722297e-15
82,4206.57275,2.351506689162654e-15
83,4209.35645,2.3483686067163994e-15
84,4212.14014,2.4743350737249326e-15
85,4214.92383,2.2304019249759876e-15
86,4217.70752,2.0673521536036925e-15
87,4220.49121,2.191470813661505e-15
88,4223.2749,2.0663308163136597e-15
89,4226.05859,2.20928432370889e-15
90,4228.84229,2.0842055467333018e-15
91,4231.62598,1.963772555467141e-15
92,4234.40967,1.7402936567704633e-15
93,4237.19336,2.1094155723371147e-15
94,4239.97705,2.08008683391617e-15
95,4242.76074,2.1975529719552058e-15
96,4245.54443,2.073557759052296e-15
97,4248.32812,2.0230429379793806e-15
98,4251.11182,2.029959096507801e-15
99,4253.89551,2.0909440468983394e-15
100,4256.6792,2.127083393483974e-15
101,4259.46289,2.291609855886846e-15
102,4262.24658,2.3746146175486314e-15
103,4265.03027,2.1135772248355908e-15
104,4267.81396,1.8747477612977964e-15
105,4270.59766,2.194971375986957e-15
106,4273.38086,2.1202465530919233e-15
107,4276.16455,1.8886484952285104e-15
108,4278.94824,1.9862480275524528e-15
109,4281.73193,2.048991912735519e-15
110,4284.51562,2.116612850961304e-15
111,4287.29932,2.119334145555644e-15
112,4290.08301,2.0630462862033025e-15
113,4292.8667,2.210639093135681e-15
114,4295.65039,1.9149878234434098e-15
115,4298.43408,1.9293129176615454e-15
116,4301.21777,2.1152504616918946e-15
117,4304.00146,1.8846683791624977e-15
118,4306.78516,1.495512550361725e-15
119,4309.56885,1.5813280978133037e-15
120,4312.35254,1.6596113819411434e-15
121,4315.13623,1.580267487626404e-15
122,4317.91992,1.6994734989434748e-15
123,4320.70361,1.872953426830997e-15
124,4323.4873,1.4681322440485003e-15
125,4326.271,1.4428500499743403e-15
126,4329.05469,1.6314064453232084e-15
127,4331.83838,1.6762166711597918e-15
128,4334.62207,1.5577577742409773e-15
129,4337.40576,1.6799618188012522e-15
130,4340.18945,1.5853738230872818e-15
131,4342.97314,1.6814113166877624e-15
132,4345.75684,1.9586468732098618e-15
133,4348.54053,1.809054552585697e-15
134,4351.32373,1.5969314345325327e-15
135,4354.10742,1.677258822116168e-15
136,4356.89111,1.7401179653379969e-15
137,4359.6748,1.3792775376765976e-15
138,4362.4585,1.7709144455699733e-15
139,4365.24219,1.749279608731589e-15
140,4368.02588,1.6891882675314586e-15
141,4370.80957,1.4792624687844482e-15
142,4373.59326,1.3827143217930749e-15
143,4376.37695,1.5166953790153407e-15
144,4379.16064,1.5217736476867776e-15
145,4381.94434,1.3438022788085755e-15
146,4384.72803,1.160486836179914e-15
147,4387.51172,1.207351127274252e-15
148,4390.29541,1.4699913806538365e-15
149,4393.0791,1.4610797047797318e-15
150,4395.86279,8.8206089157344275e-16
151,4398.64648,8.548736828905713e-16
152,4401.43018,1.3169190817969298e-15
153,4404.21387,1.3216352719784438e-15
154,4406.99756,1.11547073514085e-15
155,4409.78125,1.038263783980689e-15
156,4412.56494,1.4702330400287389e-15
157,4415.34863,1.2151375895192641e-15
158,4418.13232,1.0604671666961142e-15
159,4420.91602,1.2708047346514375e-15
160,4423.69971,1.3209770657783473e-15
