,wl,fl
0,3523.671,-2.1960226675052593e-17
1,3526.441,1.7965998729605032e-17
2,3529.213,-3.519962967091433e-17
3,3531.987,1.5027365623642537e-17
4,3534.763,3.8826142221189105e-17
5,3537.541,5.6847785187567454e-18
6,3540.321,-3.777018574484207e-17
7,3543.102,4.6490119506098096e-17
8,3545.885,6.63963955541118e-17
9,3548.671,2.218143497144919e-17
10,3551.458,-7.811533768887341e-18
11,3554.247,4.0034232704878e-17
12,3557.038,-2.27145432186394e-17
13,3559.83,2.756105029445192e-17
14,3562.625,2.949210296327931e-17
15,3565.421,5.838938130064614e-17
16,3568.219,2.0260529343582837e-18
17,3571.02,3.568096174451976e-17
18,3573.822,4.6576342622946107e-17
19,3576.625,6.347929705588637e-17
20,3579.431,-6.127639652477124e-17
21,3582.238,3.088842529788164e-17
22,3585.048,5.934669152819324e-17
23,3587.859,6.729956646176309e-17
24,3590.672,3.035447209598058e-17
25,3593.486,1.4660965245771913e-17
26,3596.303,2.402943928283795e-18
27,3599.121,5.5474421572803285e-17
28,3601.941,-4.244480711973772e-17
29,3604.763,-1.8143006673279822e-17
30,3607.587,7.723141496327687e-18
31,3610.413,1.972076151625993e-17
32,3613.24,3.147304955076575e-17
33,3616.069,-5.232037781595859e-17
34,3618.9,5.831669727648632e-18
35,3621.733,-2.54133918459863e-17
36,3624.568,6.902235508648779e-17
37,3627.404,5.1153684354160747e-17
38,3630.242,6.246498671042325e-17
39,3633.082,-1.0278864768853883e-17
40,3635.924,3.4289795669370515e-17
41,3638.767,4.306442833571831e-17
42,3641.613,4.1539624398468667e-17
43,3644.46,4.466203470671423e-17
44,3647.309,9.889406222420982e-18
45,3650.159,2.7383976246184668e-17
46,3653.011,-2.708127439617001e-19
47,3655.865,-3.795631654260338e-18
48,3658.721,3.857941495651721e-18
49,3661.579,2.3361373873721793e-17
50,3664.438,1.0644132883292716e-17
51,3667.299,1.8365840653268442e-17
52,3670.162,1.716921931489259e-17
53,3673.027,1.534551326126204e-17
54,3675.893,3.0331572957599745e-17
55,3678.761,3.015573087144384e-17
56,3681.631,5.179943663429088e-17
57,3684.502,1.7783248678721237e-17
58,3687.375,4.6707466362121483e-17
59,3690.25,4.9753105414875095e-18
60,3693.127,-4.935540582081003e-18
61,3696.006,2.0058426789648106e-17
62,3698.886,2.416238625665693e-17
63,3701.768,4.7302497548933917e-17
64,3704.651,4.636597976595664e-17
65,3707.536,8.833260216274405e-18
66,3710.423,4.417291462484503e-17
67,3713.312,4.312998730091861e-17
68,3716.202,4.2063449866717834e-17
69,3719.094,5.4263740876529216e-17
70,3721.988,4.3130179189775117e-17
71,3724.884,2.1679053646416982e-17
72,3727.781,6.044183557589659e-18
73,3730.679,3.058310916123582e-17
74,3733.58,1.6666271365125425e-17
75,3736.482,5.897151203369764e-18
76,3739.386,3.1529904448892487e-17
77,3742.291,2.5887505061147095e-17
78,3745.198,2.0812168567906646e-17
79,3748.107,4.7111261196528096e-17
80,3751.018,2.154948211881634e-17
81,3753.93,2.0961941484947045e-17
82,3756.844,1.2388701629072843e-17
83,3759.76,3.8500984863325385e-17
84,3762.677,2.2712000094492798e-17
85,3765.595,2.2047989723026142e-17
86,3768.516,7.813291821591667e-18
87,3771.438,2.7937944211307613e-17
88,3774.362,1.9884033645462418e-17
89,3777.287,2.840939482454059e-17
90,3780.214,1.2711822028482486e-17
91,3783.143,3.6630616949322496e-17
92,3786.073,6.8972414450644464e-18
93,3789.005,2.6218177177965577e-17
94,3791.938,1.7710905370831487e-17
95,3794.874,3.5300708764392863e-17
96,3797.811,2.9957073868244315e-17
97,3800.749,2.4710382351595487e-17
98,3803.689,3.622757641755417e-17
99,3806.631,4.556546022750277e-17
100,3809.574,1.5878145826143048e-17
101,3812.519,1.9089127472051773e-17
102,3815.465,1.6836748540590487e-17
103,3818.413,2.7255153366442157e-17
104,3821.363,2.3545472889004566e-17
105,3824.314,1.9849382137119317e-17
106,3827.267,1.656412932719201e-17
107,3830.221,2.0162440322335587e-17
108,3833.177,1.3826998068108505e-17
109,3836.135,1.1417726920907949e-17
110,3839.094,2.687476970137212e-17
111,3842.055,2.302007485446865e-17
112,3845.018,4.005498804120538e-18
113,3847.981,2.1622647080281007e-17
114,3850.947,3.947000897740359e-18
115,3853.914,1.6455334081488544e-17
116,3856.883,1.113618785357193e-17
117,3859.853,-2.98332211608427e-19
118,3862.825,3.853275571284561e-18
119,3865.798,1.3933972730325998e-17
120,3868.773,4.089738558499432e-18
121,3871.75,5.27982095981338e-18
122,3874.728,1.5539902486630553e-17
123,3877.707,6.2330660342748184e-18
124,3880.688,1.8593778058025704e-17
125,3883.671,1.3797353580427154e-17
126,3886.655,1.105560198670924e-17
127,3889.641,1.8041568365338062e-17
128,3892.628,1.1608208226267059e-17
129,3895.617,1.1896353329108694e-17
130,3898.607,6.832112858089091e-18
131,3901.599,8.320893469213382e-18
132,3904.593,1.1864814137427874e-17
133,3907.588,1.5057960547286288e-17
134,3910.584,-4.94427798174675e-18
135,3913.582,-6.8005139979659224e-18
136,3916.582,-2.2037196864238685e-18
137,3919.583,1.2528438315763826e-17
138,3922.585,7.887354991289566e-18
139,3925.589,2.175582683163286e-17
140,3928.594,1.5567608723816435e-18
141,3931.602,6.066399688828811e-19
142,3934.61,1.1334956457520425e-17
143,3937.62,6.2666454949335204e-18
144,3940.632,5.483168118087217e-18
145,3943.645,1.5461240936598465e-17
146,3946.659,1.408469446070407e-17
147,3949.675,1.4485855792349695e-17
148,3952.693,1.3391767633238733e-17
149,3955.711,1.96749435216908e-17
150,3958.732,2.68596998829594e-18
151,3961.754,6.700816444716579e-18
152,3964.777,1.1737020052695743e-17
153,3967.802,1.4390546551620273e-18
154,3970.828,6.663176337738909e-18
155,3973.856,1.1279834537063611e-17
156,3976.885,1.7026079011492657e-17
157,3979.916,9.93158706490413e-18
158,3982.948,1.6139178954861524e-17
159,3985.982,1.536149301339299e-17
160,3989.017,5.3320644676847744e-18
161,3992.053,1.9709646202165243e-17
162,3995.092,2.4270318620389524e-17
163,3998.131,2.8607335355113647e-17
164,4001.172,1.7277951304098814e-17
165,4004.214,2.544582826826645e-17
166,4007.258,1.4030547373353368e-17
167,4010.303,1.1166914988649476e-17
168,4013.35,2.205443309371437e-17
169,4016.398,1.7162690847746152e-17
170,4019.447,1.9097025953054132e-17
171,4022.498,2.1029976762888966e-17
172,4025.55,2.198870253499494e-17
173,4028.604,2.2700891307907325e-17
174,4031.659,2.8426708091760035e-17
175,4034.716,2.5909510164914984e-17
176,4037.774,2.889297369213914e-17
177,4040.833,1.7720848628354428e-17
178,4043.894,3.1801318043988e-17
179,4046.956,3.6183590649622676e-17
180,4050.02,2.8462630112352096e-17
181,4053.085,3.4985667666646934e-17
182,4056.151,3.4814008921203535e-17
183,4059.219,3.1891908452329624e-17
184,4062.289,3.4211526497865497e-17
185,4065.359,3.7290005660093935e-17
186,4068.431,3.5544415804699224e-17
187,4071.504,3.59682016841217e-17
188,4074.579,4.068854035624284e-17
189,4077.655,4.1725077210021795e-17
190,4080.733,3.850908143753563e-17
191,4083.812,3.824786396955971e-17
192,4086.892,3.7850026408916334e-17
193,4089.974,4.409669787827086e-17
194,4093.057,4.54585255770357e-17
195,4096.141,4.192935146339675e-17
196,4099.227,3.3128162466083726e-17
197,4102.314,4.0251996413415685e-17
198,4105.402,3.908809121290324e-17
199,4108.492,4.27444918993888e-17
200,4111.583,3.3984993240923073e-17
201,4114.676,4.5484349893549496e-17
202,4117.77,4.279223918595354e-17
203,4120.865,4.0931794857327415e-17
204,4123.961,5.225052331584104e-17
205,4127.06,4.987863815725591e-17
206,4130.159,5.1839181492577016e-17
207,4133.259,5.2814165727114566e-17
208,4136.361,4.032989269843851e-17
209,4139.465,3.796929013757362e-17
210,4142.569,3.814037647519156e-17
211,4145.675,3.8164466132950135e-17
212,4148.782,4.4060620083119544e-17
213,4151.891,4.8744135953412236e-17
214,4155.001,3.413835681633515e-17
215,4158.112,3.927922893908886e-17
216,4161.225,4.269529722029091e-17
217,4164.338,3.935254969495087e-17
218,4167.454,3.800827256312615e-17
219,4170.57,3.9526975040234317e-17
220,4173.688,3.781069856686556e-17
221,4176.807,4.114469891595076e-17
222,4179.927,3.365677325356098e-17
223,4183.049,3.707119672197664e-17
224,4186.172,2.6723927893572925e-17
225,4189.296,3.286508427922485e-17
226,4192.421,3.189810575286035e-17
227,4195.548,3.7342666140191006e-17
228,4198.677,4.0204612387726524e-17
229,4201.806,4.2281339917475855e-17
230,4204.937,4.226221364898775e-17
231,4208.069,3.3909025843581865e-17
232,4211.202,3.519290602081232e-17
233,4214.336,4.356927959854544e-17
234,4217.472,4.281868093446563e-17
235,4220.609,3.568729071446054e-17
236,4223.748,3.2459616563441064e-17
237,4226.887,3.7398371507607914e-17
238,4230.028,3.340263187002533e-17
239,4233.17,3.0118182908752306e-17
240,4236.313,3.037846248986905e-17
241,4239.458,2.64027475376488e-17
242,4242.604,3.5834264585550807e-17
243,4245.751,3.3301265542284594e-17
244,4248.9,3.4605577683720014e-17
245,4252.049,3.087200889461182e-17
246,4255.2,3.799482087611902e-17
247,4258.353,3.2524383307554927e-17
248,4261.506,3.712062045636544e-17
249,4264.661,2.9151781341297753e-17
250,4267.816,3.52788004204568e-17
251,4270.974,3.64539244123155e-17
252,4274.132,3.9224023186217544e-17
253,4277.292,3.48960580612971e-17
254,4280.452,4.0428465383455176e-17
255,4283.614,3.3082670808955836e-17
256,4286.777,3.4554208957305937e-17
257,4289.942,3.280030679419639e-17
258,4293.107,3.369404475812318e-17
259,4296.274,3.792104681446649e-17
260,4299.442,3.387944914463007e-17
261,4302.612,3.433970180398425e-17
262,4305.782,4.506007401167185e-17
263,4308.954,4.079554192459446e-17
264,4312.127,3.406481583136989e-17
265,4315.301,4.182907353366259e-17
266,4318.476,4.042557702662373e-17
267,4321.653,4.015932849144485e-17
268,4324.831,3.600889202729457e-17
269,4328.009,3.1801413161349513e-17
270,4331.189,3.396984150914121e-17
271,4334.371,3.45676669794993e-17
272,4337.553,4.174667671116528e-17
273,4340.737,3.920882038737433e-17
274,4343.922,4.0750691792136813e-17
275,4347.108,3.030051002243755e-17
276,4350.295,3.783331698445495e-17
277,4353.483,3.928871557211126e-17
278,4356.673,3.2510106287510037e-17
279,4359.864,3.3770010573148884e-17
280,4363.056,3.1474354133313235e-17
281,4366.249,3.420338238971262e-17
282,4369.443,4.175981345665264e-17
283,4372.638,3.5383578575924737e-17
284,4375.834,3.0813151737933083e-17
285,4379.032,3.397260248697993e-17
286,4382.231,3.410944873380759e-17
287,4385.431,3.7232162654365154e-17
288,4388.632,3.174603739428973e-17
289,4391.834,3.628344437399444e-17
290,4395.038,3.197661203184282e-17
291,4398.243,2.9638714166677615e-17
292,4401.448,3.607142675937083e-17
293,4404.655,3.347698067676542e-17
294,4407.863,3.834511412114038e-17
295,4411.072,3.417099451041699e-17
296,4414.283,3.5873858604778984e-17
297,4417.494,3.001464972177636e-17
298,4420.707,3.238734492426985e-17
299,4423.92,3.101462138774225e-17
300,4427.135,2.8290192770208405e-17
301,4430.351,3.1383648100306534e-17
302,4433.568,2.840397065586068e-17
303,4436.786,2.944714098116941e-17
304,4440.005,2.49443695673368e-17
305,4443.226,3.0098387864270987e-17
306,4446.447,2.582922873331487e-17
307,4449.67,2.579342541717917e-17
308,4452.894,2.864201771822801e-17
