,wl,fl
0,3299.8,7.561886385709226e-17
1,3300.8,5.065418043598196e-17
2,3301.8,4.6669600727053886e-18
3,3302.8,-4.463169871303052e-18
4,3303.8,2.183496730143042e-17
5,3304.8,-1.2243940667436734e-17
6,3305.8,-2.226659460203608e-18
7,3306.8,4.719937243861336e-17
8,3307.8,5.33879594379212e-17
9,3308.8,4.106152331819797e-17
10,3309.8,4.616358692154273e-17
11,3310.8,2.498935646181387e-17
12,3311.8,3.204832328664055e-17
13,3312.8,6.220385882198817e-17
14,3313.8,4.6217995201865e-17
15,3314.8,2.1335654670764216e-17
16,3315.8,4.551364019446372e-17
17,3316.8,5.96194096726675e-17
18,3317.8,5.1576948929338935e-17
19,3318.8,7.288509414920509e-17
20,3319.8,4.2399857354267695e-17
21,3320.8,4.620315982517344e-17
22,3321.8,2.971998878772522e-17
23,3322.8,5.224111212794069e-18
24,3323.8,9.95943666021642e-18
25,3324.8,9.038857933254198e-18
26,3325.8,8.622515648682973e-18
27,3326.8,8.735229412540113e-18
28,3327.8,1.401074452621043e-17
29,3328.8,3.2737669387290247e-17
30,3329.8,4.8633327798492905e-17
31,3330.8,5.549870478475449e-17
32,3331.8,6.28188837548523e-17
33,3332.8,7.185013353055083e-17
34,3333.8,5.29594731652811e-17
35,3334.8,3.790577933712784e-17
36,3335.8,6.540506005245266e-17
37,3336.8,6.453006485981728e-17
38,3337.8,5.905694782049584e-17
39,3338.8,4.2727758264815935e-17
40,3339.8,4.453755878160868e-17
41,3340.8,4.876057487925278e-17
42,3341.8,5.470292129587793e-17
43,3342.8,5.253228598286604e-17
44,3343.8,4.7455027795966486e-17
45,3344.8,5.4199518826689746e-17
46,3345.8,7.059224389405191e-17
47,3346.8,5.792508906172933e-17
48,3347.8,3.5126963388125105e-17
49,3348.8,2.9284364233933306e-17
50,3349.8,2.644644241179778e-17
51,3350.8,2.1517917032168726e-17
52,3351.8,2.1427997488469045e-17
53,3352.8,3.590251446760275e-17
54,3353.8,3.7733019263992076e-17
55,3354.8,3.817811688129775e-17
56,3355.8,3.246419109767655e-17
57,3356.8,3.491015843201933e-17
58,3357.8,3.6222150883389554e-17
59,3358.8,2.4719881237688196e-17
60,3359.8,2.7953437124795955e-17
61,3360.8,5.1986221974093075e-17
62,3361.8,4.9066010370741304e-17
63,3362.8,3.58616638133462e-17
64,3363.8,5.471777644399285e-17
65,3364.8,5.936745973123242e-17
66,3365.8,5.291953255358228e-17
67,3366.8,7.702485638182308e-17
68,3367.8,7.038809246859725e-17
69,3368.8,4.1876166394128593e-17
70,3369.8,7.651482770657318e-17
71,3370.8,9.156226703047533e-17
72,3371.8,7.629026374839766e-17
73,3372.8,5.617989694257354e-17
