,wl,fl
0,3700.0,3.841594664613869e-16
1,3725.6,4.466424176826745e-16
2,3751.1,4.724798718932437e-16
3,3776.7,2.717281091082886e-16
4,3802.3,3.8526544661799156e-16
5,3827.9,1.9384769426894796e-16
6,3853.4,1.6366027354508934e-16
7,3879.0,2.7081180280042533e-16
8,3904.6,3.604607926054653e-16
9,3930.1,4.2752391502136297e-16
10,3955.7,4.602719507783851e-16
11,3981.3,4.090712889239088e-16
12,4006.8,5.267606296495852e-16
13,4032.4,6.437751205024556e-16
14,4058.0,6.685515682899574e-16
15,4083.6,6.523175998249708e-16
16,4109.1,6.1761841573711e-16
17,4134.7,6.527511339767037e-16
18,4160.3,6.963706912367456e-16
19,4185.8,7.16948413485641e-16
20,4211.4,7.479847923638698e-16
21,4237.0,7.148478430836808e-16
22,4262.6,7.540530674034812e-16
23,4288.1,6.850842164842286e-16
24,4313.7,6.845042868800592e-16
25,4339.3,6.60418972124957e-16
26,4364.8,6.986653943040874e-16
27,4390.4,7.318210528735788e-16
28,4416.0,5.999244300683202e-16
29,4441.6,5.765032943897966e-16
30,4467.1,5.879471624153544e-16
31,4492.7,5.985582359630867e-16
32,4518.3,6.873132153831276e-16
33,4543.8,6.741277597559882e-16
34,4569.4,7.35857166453212e-16
35,4595.0,7.476659424114613e-16
36,4620.5,7.935513934614228e-16
37,4646.1,8.629571839313328e-16
38,4671.7,8.784490617984387e-16
39,4697.3,9.111706139193622e-16
40,4722.8,8.95489503063037e-16
41,4748.4,8.863157074609391e-16
42,4774.0,8.744668512385961e-16
43,4799.5,8.743809402196316e-16
44,4825.1,8.456380742754726e-16
45,4850.7,8.149515960045963e-16
46,4876.3,8.282808719265163e-16
47,4901.8,8.264631655549302e-16
48,4927.4,8.549311286120214e-16
49,4953.0,8.655741721675771e-16
50,4978.5,8.794081847087922e-16
51,5004.1,8.46502600864713e-16
52,5029.7,8.12582969262464e-16
53,5055.3,7.724014185959725e-16
54,5080.8,8.245261056262407e-16
55,5106.4,8.504026329949598e-16
56,5132.0,8.33693014209003e-16
57,5157.5,8.523661703404128e-16
58,5183.1,8.188056053492406e-16
59,5208.7,8.23087760406661e-16
60,5234.2,7.898570034262443e-16
61,5259.8,8.211735657283389e-16
62,5285.4,8.294671920184589e-16
63,5311.0,8.252273914906929e-16
64,5336.5,7.9870267357606e-16
65,5362.1,7.563721227090696e-16
66,5387.7,7.686834955341539e-16
67,5413.2,8.484462336891896e-16
68,5438.8,8.506843123372047e-16
69,5464.4,8.672930503468816e-16
70,5490.0,8.811281734839688e-16
71,5515.5,9.10968931263967e-16
72,5541.1,9.474716426510007e-16
73,5566.7,9.578079883224944e-16
74,5592.2,9.203470165349212e-16
75,5617.8,9.028953363905225e-16
76,5643.4,9.145716998099777e-16
77,5668.9,9.215307742222992e-16
78,5694.5,9.320772229391617e-16
79,5720.1,9.470301690479753e-16
80,5745.7,9.96110383952229e-16
81,5771.2,9.89739621671388e-16
82,5796.8,9.599064301851014e-16
83,5822.4,9.842799591578652e-16
84,5847.9,9.757653828537141e-16
85,5873.5,9.72682298285922e-16
86,5899.1,9.627389191491227e-16
87,5924.7,9.516723220130158e-16
88,5950.2,9.65286996534031e-16
89,5975.8,9.908780956609357e-16
90,6001.4,9.665062123465915e-16
91,6026.9,9.766369054232726e-16
92,6052.5,9.85742197010398e-16
93,6078.1,9.736618445862758e-16
94,6103.7,9.592311652055113e-16
95,6129.2,9.5442244232497e-16
