,wl,fl
0,3700.0,6.06332449681756e-16
1,3725.6,8.831539937401265e-16
2,3751.1,6.342868724803106e-16
3,3776.7,9.81268105882916e-16
4,3802.3,3.1112271821919203e-16
5,3827.9,5.582855195645205e-16
6,3853.4,2.328550684488413e-16
7,3879.0,3.418783087019517e-16
8,3904.6,8.079131547416474e-17
9,3930.1,4.72782730842445e-16
10,3955.7,2.4396769131991366e-16
11,3981.3,2.7320002196069167e-16
12,4006.8,4.348944837300957e-16
13,4032.4,4.85721411765499e-16
14,4058.0,4.729310905728796e-16
15,4083.6,3.701263854343098e-16
16,4109.1,2.709019021725182e-16
17,4134.7,4.4019008058910456e-16
18,4160.3,4.0976180383928367e-16
19,4185.8,4.688253364660903e-16
20,4211.4,4.531806868496116e-16
21,4237.0,4.063718676078668e-16
22,4262.6,3.767029389883531e-16
23,4288.1,3.3998226584414195e-16
24,4313.7,4.22575235033781e-16
25,4339.3,3.3463482672034165e-16
26,4364.8,2.9204644899882717e-16
27,4390.4,1.5105833943056057e-16
28,4416.0,2.4812583065137277e-16
29,4441.6,3.2155226329468423e-16
30,4467.1,2.2020903841329546e-16
31,4492.7,1.0416495901287406e-16
32,4518.3,2.3003117861662304e-16
33,4543.8,1.0937894919436162e-16
34,4569.4,1.90236256571396e-16
35,4595.0,2.0527026647463518e-16
36,4620.5,1.9854233562043429e-16
37,4646.1,2.69409661043174e-16
38,4671.7,2.451031890427703e-16
39,4697.3,2.3551609369717087e-16
40,4722.8,2.6153840684461904e-16
41,4748.4,3.1401532140714585e-16
42,4774.0,2.2149700696660026e-16
43,4799.5,2.474835753259953e-16
44,4825.1,1.9620313964512798e-16
45,4850.7,1.6005415340226395e-16
46,4876.3,1.8985382433465481e-16
47,4901.8,2.333596816040451e-16
48,4927.4,1.9736734255716732e-16
49,4953.0,1.7873685520701753e-16
50,4978.5,1.542513392382518e-16
51,5004.1,1.9855392358812288e-16
52,5029.7,1.962696941550989e-16
53,5055.3,1.0943843092184362e-16
54,5080.8,1.8411078468409923e-16
55,5106.4,1.4970830237401833e-16
56,5132.0,1.5104167031443915e-16
57,5157.5,1.50965374146277e-16
58,5183.1,1.3495559852741198e-16
59,5208.7,1.4767417018951834e-16
60,5234.2,1.636306722582587e-16
61,5259.8,1.7232076709021002e-16
62,5285.4,1.4768112990166793e-16
63,5311.0,1.7270244694886997e-16
64,5336.5,1.4981735501944687e-16
65,5362.1,1.5061543601001755e-16
66,5387.7,1.1869034648213716e-16
67,5413.2,1.501618628138629e-16
68,5438.8,1.7319073013383033e-16
69,5464.4,1.6567646965270476e-16
70,5490.0,1.3056795415301412e-16
71,5515.5,1.1833713530893912e-16
72,5541.1,1.279862660245936e-16
73,5566.7,9.672767539949051e-17
74,5592.2,1.1529249886328848e-16
75,5617.8,1.1578690583415115e-16
76,5643.4,9.512281107564937e-17
77,5668.9,7.17863810723633e-17
78,5694.5,8.710985921354026e-17
79,5720.1,1.1422082602624698e-16
80,5745.7,1.199806674276413e-16
81,5771.2,9.777644273922979e-17
82,5796.8,1.386815638500759e-16
83,5822.4,1.7801388888965125e-16
84,5847.9,1.55857083283191e-16
85,5873.5,1.0052788526271398e-16
86,5899.1,1.1641282927982044e-16
87,5924.7,1.0758749873555781e-16
88,5950.2,1.1880057083398966e-16
89,5975.8,1.0257022780640508e-16
90,6001.4,7.749714010834227e-17
91,6026.9,8.278079691614408e-17
92,6052.5,1.0119920956734902e-16
