,wl,fl
0,3700.0,5.385120117671965e-16
1,3725.6,4.018540169993996e-16
2,3751.1,3.076307034977702e-16
3,3776.7,4.471147215076376e-16
4,3802.3,1.6448540584141245e-16
5,3827.9,1.7310511129463442e-16
6,3853.4,1.3103880339216934e-16
7,3879.0,3.7946200983072454e-16
8,3904.6,1.4209088556472715e-16
9,3930.1,1.485179449687613e-16
10,3955.7,2.648157110891068e-16
11,3981.3,3.9534358859079976e-16
12,4006.8,3.41623347342009e-16
13,4032.4,4.3823737765346162e-16
14,4058.0,4.896669653639575e-16
15,4083.6,5.508082329314398e-16
16,4109.1,4.047879320043222e-16
17,4134.7,4.524658498544814e-16
18,4160.3,3.9232158361227385e-16
19,4185.8,3.884829198234358e-16
20,4211.4,5.0718758348364615e-16
21,4237.0,5.58349639181131e-16
22,4262.6,3.909138617650179e-16
23,4288.1,4.561171440757303e-16
24,4313.7,4.35941024304773e-16
25,4339.3,4.441575952730728e-16
26,4364.8,3.822542305787245e-16
27,4390.4,3.9726853554794004e-16
28,4416.0,3.15222215188733e-16
29,4441.6,2.8669014809913557e-16
30,4467.1,2.76996811471181e-16
31,4492.7,3.2644913187269275e-16
32,4518.3,3.089892160216835e-16
33,4543.8,3.511523054645999e-16
34,4569.4,2.5857549852679494e-16
35,4595.0,3.0026421216187573e-16
36,4620.5,3.422230018845885e-16
37,4646.1,3.3657562708980257e-16
38,4671.7,3.47481180183088e-16
39,4697.3,4.00920893897342e-16
40,4722.8,3.415752193886959e-16
41,4748.4,3.3450735544849456e-16
42,4774.0,3.6087837730960517e-16
43,4799.5,3.645017406430507e-16
44,4825.1,3.1283139014995037e-16
45,4850.7,3.00593945473071e-16
46,4876.3,3.1126102653072445e-16
47,4901.8,3.039337641428465e-16
48,4927.4,2.9007447698097787e-16
49,4953.0,2.561738443625007e-16
50,4978.5,2.3672397984630677e-16
51,5004.1,2.592573454292599e-16
52,5029.7,2.0310846947538809e-16
53,5055.3,2.2851342952936865e-16
54,5080.8,2.1477769835075134e-16
55,5106.4,2.3926383946978614e-16
56,5132.0,2.2466001446302873e-16
57,5157.5,2.5760619188681887e-16
58,5183.1,2.556880076489603e-16
59,5208.7,2.688645315473616e-16
60,5234.2,2.372256908439231e-16
61,5259.8,2.524928868920469e-16
62,5285.4,2.698343538937015e-16
63,5311.0,2.4331038582156677e-16
64,5336.5,2.463641984237342e-16
65,5362.1,2.4733057866036875e-16
66,5387.7,2.659630909617136e-16
67,5413.2,2.448805062807687e-16
68,5438.8,2.1384654669052083e-16
69,5464.4,1.9916905033021817e-16
70,5490.0,1.922821189098306e-16
71,5515.5,1.9426889808109114e-16
72,5541.1,2.1397678887357673e-16
73,5566.7,2.1070532275559616e-16
74,5592.2,1.9629075702826709e-16
75,5617.8,2.0996586397346499e-16
76,5643.4,1.8421073340626476e-16
77,5668.9,1.9166035304192316e-16
78,5694.5,1.9397654518776882e-16
79,5720.1,2.209372851199864e-16
80,5745.7,2.3708454902836073e-16
81,5771.2,2.1737231171623947e-16
82,5796.8,2.2065789814292115e-16
83,5822.4,2.4244931464077843e-16
84,5847.9,2.305977110628458e-16
85,5873.5,2.189738231804306e-16
86,5899.1,2.156240651626329e-16
87,5924.7,2.1575591915365492e-16
88,5950.2,2.0056898320428447e-16
89,5975.8,1.891955188500701e-16
