,wl,fl
0,4020.0,7.979580148690166e-17
1,4029.2,7.56109292275813e-16
2,4038.4,6.787914444163939e-16
3,4047.6,1.266515449625534e-15
4,4056.8,1.0736986864996385e-15
5,4066.0,5.824442226926356e-16
6,4075.2,2.8679108391072964e-16
7,4084.4,1.2296086474284424e-15
8,4093.6,8.338644527855343e-16
9,4102.8,1.8747984665393817e-16
10,4112.0,4.183771878701153e-16
11,4121.2,-7.339842528970026e-17
12,4130.4,5.948717548308586e-16
13,4139.6,3.140340551321163e-16
14,4148.8,2.4946912860864096e-17
15,4158.0,-3.254989124254827e-17
16,4167.2,2.1370138805159637e-16
17,4176.4,1.3440877298181667e-16
18,4185.6,7.053918472289871e-16
19,4194.8,8.176288715175952e-17
20,4204.0,3.3314074378775118e-16
21,4213.2,9.755809673954018e-18
22,4222.4,1.2948525761784616e-16
23,4231.6,1.9575409373543807e-16
24,4240.8,1.4769682082943322e-16
25,4250.0,1.1600720736366413e-17
26,4259.2,1.5865728370039916e-16
27,4268.4,2.73017749952255e-16
28,4277.6,1.188896155000707e-16
29,4286.8,1.7074185297744137e-16
30,4296.0,2.151022761953229e-16
31,4305.2,1.7942004036929092e-16
32,4314.4,1.6777813496693692e-16
33,4323.6,1.2293188961115706e-16
34,4332.8,3.225014953009481e-16
35,4342.0,3.092482611171109e-16
36,4351.2,1.690846556140506e-16
37,4360.4,1.9103048707316256e-16
38,4369.6,3.5389300581608077e-16
39,4378.8,1.3310580523146493e-16
40,4388.0,1.035110653877947e-16
41,4397.2,2.4066106509678673e-16
42,4406.4,1.8544696824700736e-16
43,4415.6,3.546980390347711e-16
44,4424.8,2.0804212423030478e-16
45,4434.0,1.5933836348882592e-16
46,4443.2,4.033907650668892e-17
47,4452.4,3.022208162368357e-16
48,4461.6,3.3668343541432446e-17
49,4470.8,2.98457979756907e-16
50,4480.0,2.587278766423083e-16
51,4489.2,1.1221266944850982e-16
52,4498.4,1.5990002618007864e-16
53,4507.6,7.698565760699977e-17
54,4516.8,2.3786456407101206e-16
55,4526.0,2.6389096636829187e-16
56,4535.2,2.79648294686568e-16
57,4544.4,2.8773960844804055e-16
58,4553.6,2.8776421400032864e-16
59,4562.8,2.701769440435122e-16
60,4572.0,2.8893159253962365e-16
61,4581.2,2.712891445989323e-16
62,4590.4,2.576639966378042e-16
63,4599.6,3.2007027804741774e-16
64,4608.8,4.0489609435706455e-16
65,4618.0,5.797450517558353e-16
66,4627.2,3.902653487803421e-16
67,4636.4,4.260504026007364e-16
68,4645.6,4.468928178221102e-16
69,4654.8,3.643711185853185e-16
70,4664.0,4.633122351273108e-16
71,4673.2,4.600242754453926e-16
72,4682.4,4.367048874164831e-16
73,4691.6,3.915892045862159e-16
74,4700.8,3.2425782814877993e-16
75,4710.0,3.1280937734901697e-16
76,4719.2,4.191293021606004e-16
77,4728.4,3.732776728608609e-16
78,4737.6,3.6062039387565845e-16
79,4746.8,3.7460138162591915e-16
80,4756.0,2.8173410507868517e-16
81,4765.2,3.2761525577596747e-16
82,4774.4,2.1955936025321292e-16
83,4783.6,2.433816726327295e-16
84,4792.8,2.7963910943622616e-16
85,4802.0,2.3247589839853937e-16
86,4811.2,3.6412807294377717e-16
87,4820.4,4.0596388399083656e-16
88,4829.6,2.7506945921285837e-16
89,4838.8,4.052488360234755e-16
90,4848.0,3.4040894678553966e-16
91,4857.2,3.840794599930881e-16
92,4866.4,3.426024808557041e-16
93,4875.6,2.6528754076200726e-16
94,4884.8,4.4074608032371285e-16
95,4894.0,3.449876195165217e-16
96,4903.2,3.0359814781110104e-16
97,4912.4,3.537209992253458e-16
98,4921.6,2.891671119539936e-16
99,4930.8,3.9674454290237225e-16
100,4940.0,3.0211848358189235e-16
101,4949.2,2.994262459907088e-16
102,4958.4,3.385953254694624e-16
103,4967.6,2.8010728453361417e-16
104,4976.8,2.465518177497432e-16
105,4986.0,2.6881803651427684e-16
106,4995.2,3.232355714498048e-16
107,5004.4,2.862067924461237e-16
108,5013.6,2.1997279911753887e-16
109,5022.8,2.7591963770476716e-16
110,5032.0,2.8274226728957754e-16
111,5041.2,3.0004067046234553e-16
112,5050.4,2.763548185748534e-16
113,5059.6,2.9989060226246853e-16
114,5068.8,3.2327777983159704e-16
115,5078.0,1.9815490254041012e-16
116,5087.2,2.6856333267555e-16
117,5096.4,2.0024312464086795e-16
118,5105.6,2.0888156985026058e-16
119,5114.8,2.406567236989361e-16
120,5124.0,2.359199829709107e-16
121,5133.2,2.2030586919413626e-16
122,5142.4,2.1571770176426343e-16
123,5151.6,1.9449402882146303e-16
124,5160.8,2.40097828204601e-16
125,5170.0,2.286304984646932e-16
126,5179.2,2.8885052961032683e-16
127,5188.4,2.705432054896079e-16
128,5197.6,2.9473633729864143e-16
129,5206.8,2.7328785687248944e-16
130,5216.0,2.408092786813746e-16
131,5225.2,2.8459617972613597e-16
132,5234.4,2.8405749405625403e-16
133,5243.6,2.474826080389812e-16
134,5252.8,2.8863255193494544e-16
135,5262.0,2.9446780563309853e-16
136,5271.2,2.872744854833434e-16
137,5280.4,3.193198554533916e-16
138,5289.6,2.7386819939452946e-16
139,5298.8,3.0653864955242448e-16
140,5308.0,2.945157370791591e-16
141,5317.2,3.296562094871533e-16
142,5326.4,2.977056632574053e-16
143,5335.6,3.3963253754165017e-16
144,5344.8,3.576653461312637e-16
145,5354.0,3.6364575164332184e-16
146,5363.2,3.5134238415055253e-16
147,5372.4,3.2125877402911283e-16
148,5381.6,3.1567630739400585e-16
149,5390.8,3.577776087106024e-16
150,5400.0,3.0335957957027245e-16
151,5409.2,3.2978480449703627e-16
152,5418.4,2.8407586599520683e-16
153,5427.6,2.8788664187484005e-16
154,5436.8,3.222607574364837e-16
155,5446.0,2.973928393767486e-16
156,5455.2,3.58164362292964e-16
157,5464.4,3.40862206672524e-16
158,5473.6,3.7572648530069887e-16
159,5482.8,3.358047370041697e-16
160,5492.0,4.1206432171591273e-16
161,5501.2,3.7715181504210673e-16
162,5510.4,3.2834849413431097e-16
163,5519.6,3.133963072113391e-16
164,5528.8,3.472546886933307e-16
165,5538.0,3.2831007214202014e-16
166,5547.2,3.3443042681121593e-16
167,5556.4,2.995990850078275e-16
168,5565.6,3.192240670563112e-16
169,5574.8,3.0639063198144087e-16
170,5584.0,2.8063502615174493e-16
171,5593.2,3.15783487632291e-16
172,5602.4,2.885276436944182e-16
173,5611.6,2.898647372470744e-16
174,5620.8,2.8032070850131264e-16
175,5630.0,2.634087004827911e-16
176,5639.2,2.992595082408916e-16
177,5648.4,2.840938838128935e-16
178,5657.6,2.513900008047126e-16
179,5666.8,2.861373200411269e-16
180,5676.0,3.3522444571380704e-16
181,5685.2,2.9490976049334985e-16
182,5694.4,2.981848220517923e-16
183,5703.6,2.8719638948445073e-16
184,5712.8,2.6677694792348575e-16
185,5722.0,2.9305993474099713e-16
186,5731.2,3.2967007993652197e-16
187,5740.4,2.81875848870954e-16
188,5749.6,2.867849788323391e-16
189,5758.8,3.1654837970859516e-16
190,5768.0,3.1119051772587217e-16
191,5777.2,2.664456524474793e-16
192,5786.4,2.878742895552861e-16
193,5795.6,2.789989739859706e-16
194,5804.8,2.4508565559969433e-16
195,5814.0,2.8310475040489774e-16
196,5823.2,2.5513051618810915e-16
197,5832.4,3.0438315333488167e-16
198,5841.6,2.64446502696433e-16
199,5850.8,2.671804050301159e-16
200,5860.0,2.7004071297686757e-16
201,5869.2,2.7785153422964985e-16
202,5878.4,1.9242641412404082e-16
203,5887.6,1.9438559265629787e-16
204,5896.8,1.8711777998519395e-16
205,5906.0,2.0838572258079617e-16
206,5915.2,2.377524013649543e-16
207,5924.4,2.0797563162508053e-16
208,5933.6,1.9822372425084857e-16
209,5942.8,2.308195261971341e-16
210,5952.0,2.1478152863073615e-16
211,5961.2,2.746122616680474e-16
212,5970.4,2.1517772411288602e-16
213,5979.6,2.0864384874851253e-16
214,5988.8,2.599642411048093e-16
215,5998.0,2.584271517697785e-16
216,6007.2,2.6459199360790126e-16
217,6016.4,3.0826166949411923e-16
218,6025.6,3.0128719411286145e-16
219,6034.8,3.076935871280053e-16
220,6044.0,3.4790041459695565e-16
221,6053.2,2.898324594511853e-16
222,6062.4,2.7942718736031724e-16
223,6071.6,2.793282569199002e-16
224,6080.8,2.6694656879246483e-16
225,6090.0,2.5746081887395953e-16
226,6099.2,2.9933055850461e-16
227,6108.4,2.955661279283272e-16
228,6117.6,3.1971691847052833e-16
229,6126.8,2.51296736783374e-16
230,6136.0,2.6742100370075485e-16
231,6145.2,2.959465123893529e-16
232,6154.4,2.7574524970648247e-16
233,6163.6,2.715539148333606e-16
