,wl,fl
0,3638.04833984,3.6373916864101366e-16
1,3643.56626797,3.9865644993745457e-16
2,3649.08419609,3.6423043982315624e-16
3,3654.60212421,3.730359581088447e-16
4,3660.12005234,3.909951180991009e-16
5,3665.63798046,4.1922597117510234e-16
6,3671.15590858,4.2644142703923105e-16
7,3676.67383671,4.38249099879929e-16
8,3682.19176483,4.0452628648964087e-16
9,3687.70969296,4.1850492958633933e-16
10,3693.22762108,4.0731420747443705e-16
11,3698.7455492,4.0341689507906124e-16
12,3704.26347733,3.921696444719719e-16
13,3709.78140545,4.3117593125394074e-16
14,3715.29933357,4.2319310790410925e-16
15,3720.8172617,4.220541234119982e-16
16,3726.33518982,4.3280881816686947e-16
17,3731.85311794,4.406112548032659e-16
18,3737.37104607,4.2052602093569393e-16
19,3742.88897419,4.158797411968681e-16
20,3748.40690231,4.2704408081849263e-16
21,3753.92483044,4.348502386377879e-16
22,3759.44275856,4.065682652194787e-16
23,3764.96068668,3.934252340327981e-16
24,3770.47861481,4.027965592433929e-16
25,3775.99654293,3.900838624582859e-16
26,3781.51447105,4.025521959606105e-16
27,3787.03239918,3.8267342587720696e-16
28,3792.5503273,3.639328196595304e-16
29,3798.06825542,3.688868995213704e-16
30,3803.58618355,3.731317266152964e-16
31,3809.10411167,3.6652562436408997e-16
32,3814.62203979,3.76766948606203e-16
33,3820.13996792,3.6656029802044224e-16
34,3825.65789604,3.761926055334398e-16
35,3831.17582417,3.458669387108078e-16
36,3836.69375229,3.568215055218011e-16
37,3842.21168041,3.5806867192010777e-16
38,3847.72960854,3.3661411822016957e-16
39,3853.24753666,3.454385399172127e-16
40,3858.76546478,3.1895611999201487e-16
41,3864.28339291,2.84158712028122e-16
42,3869.80132103,2.902440515212532e-16
43,3875.31924915,2.5063978180857294e-16
44,3880.83717728,2.7660371677201403e-16
45,3886.3551054,2.621345214472298e-16
46,3891.87303352,2.352269175918477e-16
47,3897.39096165,2.353505254781363e-16
48,3902.90888977,2.3765782124327437e-16
49,3908.42681789,2.3684303082468487e-16
50,3913.94474602,2.610994474615542e-16
51,3919.46267414,2.7636324569820587e-16
52,3924.98060226,2.8756564543604006e-16
53,3930.49853039,2.9096229287177144e-16
54,3936.01645851,2.7654116299610465e-16
55,3941.53438663,2.7923253576267205e-16
56,3947.05231476,2.870973796611107e-16
57,3952.57024288,2.828674028982513e-16
58,3958.08817101,2.8540104259943505e-16
59,3963.60609913,2.873166952371321e-16
60,3969.12402725,2.8500301274051333e-16
61,3974.64195538,2.8845982423340764e-16
62,3980.1598835,2.9367045267675056e-16
63,3985.67781162,3.007817530752246e-16
64,3991.19573975,2.704112418273238e-16
65,3996.71366787,2.787373602161503e-16
66,4002.23159599,2.8776531572016e-16
67,4007.74952412,2.8409108243538066e-16
68,4013.26745224,2.869033747992071e-16
69,4018.78538036,3.0495588625623356e-16
70,4024.30330849,2.9882332322085635e-16
71,4029.82123661,3.0442440093868785e-16
72,4035.33916473,3.117541249149043e-16
73,4040.85709286,3.3020075663482596e-16
74,4046.37502098,3.4481693107654306e-16
75,4051.8929491,3.485957554212719e-16
76,4057.41087723,3.667844837259505e-16
77,4062.92880535,3.82025616655104e-16
78,4068.44673347,3.9429471249291794e-16
79,4073.9646616,4.1117518643449177e-16
80,4079.48258972,4.112769923024995e-16
81,4085.00051785,4.274456105717099e-16
82,4090.51844597,4.140824655925499e-16
83,4096.03637409,4.158651052731068e-16
84,4101.55430222,4.2702163209671654e-16
85,4107.07223034,4.3720358784494257e-16
86,4112.59015846,4.298830720792134e-16
87,4118.10808659,4.3810992524544455e-16
88,4123.62601471,4.638615405500357e-16
89,4129.14394283,4.552616733178581e-16
90,4134.66187096,4.496362780545114e-16
91,4140.17979908,4.640044706031669e-16
92,4145.6977272,4.3331453026035324e-16
93,4151.21565533,4.1728180957438274e-16
94,4156.73358345,4.321098409975808e-16
95,4162.25151157,4.1183087833175183e-16
96,4167.7694397,4.0496902398350143e-16
97,4173.28736782,3.822678373208854e-16
98,4178.80529594,3.5963876992354743e-16
99,4184.32322407,3.5302652213132105e-16
100,4189.84115219,3.569935930012835e-16
101,4195.35908031,3.8019611610164135e-16
102,4200.87700844,3.635255206301946e-16
103,4206.39493656,3.7352416190154013e-16
104,4211.91286469,3.711132983284256e-16
105,4217.43079281,3.7238482465095303e-16
106,4222.94872093,3.6824496816978717e-16
107,4228.46664906,3.7319299608542435e-16
108,4233.98457718,3.7032113029680075e-16
109,4239.5025053,3.794843092374454e-16
110,4245.02043343,3.8727545315672624e-16
111,4250.53836155,4.0071476486669807e-16
112,4256.05628967,4.1173891371388043e-16
113,4261.5742178,4.0381854336546693e-16
114,4267.09214592,4.0840293213799686e-16
115,4272.61007404,3.9889797362282473e-16
116,4278.12800217,4.1847763015921736e-16
117,4283.64593029,4.20548878816556e-16
