,wl,fl
0,3700.0,4.695219188585463e-16
1,3725.6,4.464994527489543e-16
2,3751.1,3.608637037728705e-16
3,3776.7,3.0141749746220063e-16
4,3802.3,3.924139620577866e-16
5,3827.9,3.203154314675455e-16
6,3853.4,2.6681580927583834e-16
7,3879.0,2.989357855586825e-16
8,3904.6,3.421435402537339e-16
9,3930.1,2.6625930704172096e-16
10,3955.7,3.4357313595866554e-16
11,3981.3,5.163496564035219e-16
12,4006.8,5.332497401516991e-16
13,4032.4,4.2234778741709235e-16
14,4058.0,4.815333847366294e-16
15,4083.6,3.8052578336468485e-16
16,4109.1,3.6894811773274967e-16
17,4134.7,3.3811231708001377e-16
18,4160.3,3.520155375996349e-16
19,4185.8,3.638417698662156e-16
20,4211.4,3.515488408300108e-16
21,4237.0,2.9580552056631396e-16
22,4262.6,2.986346091487257e-16
23,4288.1,3.308328237608775e-16
24,4313.7,3.4150970248851493e-16
25,4339.3,3.2106701365398917e-16
26,4364.8,2.7004340506447313e-16
27,4390.4,2.770067887112746e-16
28,4416.0,2.2033520991320696e-16
29,4441.6,2.427980861030186e-16
30,4467.1,2.436715621827882e-16
31,4492.7,3.216551157506307e-16
32,4518.3,3.399517050452065e-16
33,4543.8,3.746462727589488e-16
34,4569.4,4.567773454880143e-16
35,4595.0,4.839020156418526e-16
36,4620.5,4.2759941762409876e-16
37,4646.1,4.7306981860671e-16
38,4671.7,4.280299357362368e-16
39,4697.3,4.0155831294935176e-16
40,4722.8,4.049754047290282e-16
41,4748.4,3.6286605555513206e-16
42,4774.0,3.7185223807592744e-16
43,4799.5,3.3090207700082848e-16
44,4825.1,3.64185783766114e-16
45,4850.7,3.6092226590176055e-16
46,4876.3,3.5333949289439055e-16
47,4901.8,3.2343721453110285e-16
48,4927.4,3.300605802602822e-16
49,4953.0,3.118990970955009e-16
50,4978.5,2.9600751180921073e-16
51,5004.1,2.4321823539351854e-16
52,5029.7,2.5972170432665683e-16
53,5055.3,2.53509968498741e-16
54,5080.8,2.8305573107182895e-16
55,5106.4,3.0612023460993667e-16
56,5132.0,3.059658490332851e-16
57,5157.5,2.8763634228693236e-16
58,5183.1,2.915936930411936e-16
59,5208.7,2.920602153806122e-16
60,5234.2,3.136716559414971e-16
61,5259.8,2.939189807090853e-16
62,5285.4,3.038273476130898e-16
63,5311.0,3.0839859163258556e-16
64,5336.5,2.9276130566075784e-16
65,5362.1,2.9743688031696804e-16
66,5387.7,2.606816849537006e-16
67,5413.2,2.288593004571947e-16
68,5438.8,2.3723451711138304e-16
69,5464.4,2.504258139118729e-16
70,5490.0,2.3532579810782525e-16
71,5515.5,2.214601402311977e-16
72,5541.1,2.2204628109866326e-16
73,5566.7,2.277553987024735e-16
74,5592.2,2.2147797787458288e-16
75,5617.8,1.9635554787053525e-16
76,5643.4,2.1558578060000508e-16
77,5668.9,2.2498104874201847e-16
78,5694.5,2.474804389944303e-16
79,5720.1,2.457109281805047e-16
80,5745.7,2.444540200075125e-16
