,wl,fl
0,3700.0,5.568494234928079e-16
1,3725.6,2.9910356805488626e-16
2,3751.1,2.788033744134659e-16
3,3776.7,3.707319371154256e-16
4,3802.3,2.5961606770017137e-16
5,3827.9,1.3116392590215763e-16
6,3853.4,2.156369600769082e-16
7,3879.0,1.2495932124574063e-16
8,3904.6,2.296579880311883e-16
9,3930.1,2.524284717393011e-16
10,3955.7,4.175960406479539e-16
11,3981.3,4.2044393628887045e-16
12,4006.8,4.611144907875711e-16
13,4032.4,4.602941142798506e-16
14,4058.0,4.930930600669886e-16
15,4083.6,4.4258909770158613e-16
16,4109.1,4.56853225297925e-16
17,4134.7,4.2276185569293123e-16
18,4160.3,3.7928898522810227e-16
19,4185.8,4.85451064493666e-16
20,4211.4,4.84067592277597e-16
21,4237.0,5.085203566251156e-16
22,4262.6,4.55152556355602e-16
23,4288.1,4.3639238851108997e-16
24,4313.7,4.460089806769881e-16
25,4339.3,4.3557981044414215e-16
26,4364.8,4.1088512943238184e-16
27,4390.4,3.422341830251195e-16
28,4416.0,2.912060319205896e-16
29,4441.6,2.8373590955063317e-16
30,4467.1,2.6202348712657177e-16
31,4492.7,3.210070757322597e-16
32,4518.3,3.2160965878610244e-16
33,4543.8,3.060704581848095e-16
34,4569.4,3.5020390586444826e-16
35,4595.0,3.766861168729938e-16
36,4620.5,3.6538886201694636e-16
37,4646.1,3.7657784015159436e-16
38,4671.7,3.863811678075863e-16
39,4697.3,3.9384743874346305e-16
40,4722.8,3.6297897678820713e-16
41,4748.4,3.424035997024084e-16
42,4774.0,3.2639592235537856e-16
43,4799.5,3.053266690002621e-16
44,4825.1,3.061586318567203e-16
45,4850.7,3.0963346368291456e-16
46,4876.3,2.9662794406435735e-16
47,4901.8,2.715961720226813e-16
48,4927.4,2.7972936859156284e-16
49,4953.0,2.6865352953179857e-16
50,4978.5,2.2204002958425588e-16
51,5004.1,2.0024008511232574e-16
52,5029.7,2.0776004369628574e-16
53,5055.3,2.068461830216675e-16
54,5080.8,2.2773916413139614e-16
55,5106.4,2.3271854076142913e-16
56,5132.0,2.361169003177299e-16
57,5157.5,2.4667061422008755e-16
58,5183.1,2.5101175641238676e-16
59,5208.7,2.506188886657452e-16
60,5234.2,2.626341018134613e-16
61,5259.8,2.647631242200159e-16
62,5285.4,2.528120654927959e-16
63,5311.0,2.599874427849304e-16
64,5336.5,2.4038122038552727e-16
65,5362.1,2.499731027058945e-16
66,5387.7,2.4108823828912405e-16
67,5413.2,2.0723622426072914e-16
68,5438.8,1.958519337308427e-16
69,5464.4,1.8636218135233075e-16
70,5490.0,1.8904042085350412e-16
71,5515.5,1.9423393436687585e-16
72,5541.1,1.8485884750938515e-16
