,wl,fl
0,3400.0,1.3476884292454357e-16
1,3401.534,1.5885826201534787e-16
2,3403.068,2.0652504057247183e-16
3,3404.602,1.8029818834300671e-16
4,3406.136,1.6971652449567566e-16
5,3407.67,1.821488376677819e-16
6,3409.204,1.7331811453779949e-16
7,3410.738,1.6665756760662912e-16
8,3412.271,1.4009241382916287e-16
9,3413.805,1.8992377969802865e-16
10,3415.339,1.989608688319362e-16
11,3416.873,1.8648921590919364e-16
12,3418.407,1.7508523889332227e-16
13,3419.941,2.4357082421149584e-16
14,3421.475,2.2150275761889716e-16
15,3423.009,2.405990145529468e-16
16,3424.543,2.075486658889695e-16
17,3426.077,1.9389476980565247e-16
18,3427.611,2.540256787033732e-16
19,3429.145,2.226685699793928e-16
20,3430.679,2.2989135167873074e-16
21,3432.213,2.2102964742773495e-16
22,3433.746,2.155698951463934e-16
23,3435.28,1.495778492693793e-16
24,3436.814,1.777818673044457e-16
25,3438.348,2.0770736343055034e-16
26,3439.882,2.0409334237965438e-16
27,3441.416,1.8426892857828052e-16
28,3442.95,2.1717086043005505e-16
29,3444.484,2.442276324574892e-16
30,3446.018,2.173893874060605e-16
31,3447.552,2.330240522201439e-16
32,3449.086,2.2639373683780894e-16
33,3450.62,2.3653275726896534e-16
34,3452.154,1.7598487464202253e-16
35,3453.688,1.6592350801583716e-16
36,3455.221,1.7047528789531013e-16
37,3456.755,1.952745173519329e-16
38,3458.289,2.127600758661283e-16
39,3459.823,1.7436421045133697e-16
40,3461.357,1.8118822948543845e-16
41,3462.891,1.7524542228169682e-16
42,3464.425,2.3510543303689984e-16
43,3465.959,2.242557202934931e-16
44,3467.493,2.3788322702876816e-16
45,3469.027,2.3653259592613714e-16
46,3470.561,2.013898686806015e-16
47,3472.095,2.6160598488828453e-16
48,3473.629,2.365243853272433e-16
49,3475.163,2.3226785715392555e-16
50,3476.697,2.4402578630217655e-16
51,3478.23,2.5303209418791874e-16
52,3479.764,1.8568173605692873e-16
53,3481.298,2.3491695595235404e-16
54,3482.832,2.7010964450007284e-16
55,3484.366,3.0391223639930384e-16
56,3485.9,2.831184180357687e-16
57,3487.434,3.379122588834021e-16
58,3488.968,2.9897044756112333e-16
59,3490.502,2.9333856491957564e-16
60,3492.036,2.929193394290527e-16
61,3493.57,2.3051917014512866e-16
62,3495.104,3.053254589353584e-16
63,3496.638,3.5546653248718724e-16
64,3498.171,2.9781695116521573e-16
65,3499.705,2.8787217221141845e-16
66,3501.239,3.2351066743522657e-16
67,3502.773,3.0375408096062147e-16
68,3504.307,2.6694611548777053e-16
69,3505.841,2.4311880160037263e-16
70,3507.375,2.5713696698039554e-16
71,3508.909,2.265730225050821e-16
72,3510.443,2.2630059710859083e-16
73,3511.977,2.083215981796459e-16
74,3513.511,2.0503929140085383e-16
75,3515.045,2.2286724619814084e-16
76,3516.579,2.2258316299244295e-16
77,3518.113,2.0449990364486162e-16
78,3519.646,1.6494054605560192e-16
79,3521.18,1.7722488698898683e-16
80,3522.714,1.8733436208260917e-16
81,3524.248,1.8956010600129713e-16
82,3525.782,1.8053508350737988e-16
83,3527.316,1.7413824031663245e-16
84,3528.85,1.78155647653588e-16
85,3530.384,2.005751118192673e-16
86,3531.918,2.329040741965588e-16
87,3533.452,2.5177305954355033e-16
88,3534.986,1.8904000563591883e-16
89,3536.52,2.122195734899564e-16
90,3538.054,2.0591888516945223e-16
91,3539.588,1.5736688925774056e-16
92,3541.122,2.1950007436780793e-16
93,3542.656,2.260809525912741e-16
94,3544.189,1.819390038686053e-16
95,3545.723,1.7503209417673635e-16
96,3547.257,1.885610577594619e-16
97,3548.791,2.0338997315550566e-16
98,3550.325,2.1494736952022547e-16
99,3551.859,2.5228361456333287e-16
100,3553.393,2.3951544529329614e-16
101,3554.927,2.3870629929580257e-16
102,3556.461,2.575161448292158e-16
103,3557.995,2.73436678470611e-16
104,3559.529,2.758720127755558e-16
105,3561.063,2.9649187536690416e-16
106,3562.596,2.8893926264230173e-16
107,3564.13,2.946190416016242e-16
108,3565.664,2.8996630687719873e-16
109,3567.198,3.045098614930014e-16
110,3568.732,3.072775055066601e-16
111,3570.266,2.7450728025352515e-16
112,3571.8,2.663013026473028e-16
113,3573.334,2.6417949346170657e-16
114,3574.868,2.4696895844794687e-16
115,3576.402,2.552488907155888e-16
116,3577.936,2.270552618582413e-16
117,3579.47,2.51853660551198e-16
118,3581.004,2.214322059870059e-16
119,3582.538,2.1048772550899518e-16
120,3584.072,2.4828233490108723e-16
121,3585.605,2.1204535159055822e-16
122,3587.139,2.0605110372075097e-16
123,3588.673,2.168460235827424e-16
124,3590.207,2.1780336508788585e-16
125,3591.741,2.3619185882207473e-16
126,3593.275,2.50191484906301e-16
127,3594.809,2.452222326177405e-16
128,3596.343,2.560016327355236e-16
129,3597.877,2.546565368612832e-16
130,3599.411,2.3547841697380825e-16
131,3600.945,2.0466779067965892e-16
132,3602.479,2.024547232911711e-16
133,3604.013,1.8921661067336434e-16
134,3605.547,1.6460909211878404e-16
135,3607.081,1.9046528077457008e-16
136,3608.615,2.081796307686751e-16
137,3610.148,2.0065175354119894e-16
138,3611.682,1.9772435937869637e-16
139,3613.216,1.75742889050449e-16
140,3614.75,1.7969217779849347e-16
141,3616.284,1.8832394014586773e-16
142,3617.818,1.8601706088708686e-16
143,3619.352,2.0635990964612504e-16
144,3620.886,1.8946967396002666e-16
145,3622.42,2.0403270961210394e-16
146,3623.954,2.0211871545948138e-16
147,3625.488,2.101758006429932e-16
148,3627.021,2.029012128599228e-16
149,3628.555,2.0738410963112667e-16
150,3630.089,1.8968778000950613e-16
151,3631.623,1.9636243741214587e-16
152,3633.157,2.4228134316895885e-16
153,3634.691,2.457139441443895e-16
154,3636.225,2.476575928080953e-16
155,3637.759,2.227819823512974e-16
156,3639.293,2.355393323383331e-16
157,3640.827,2.4405641022744395e-16
158,3642.361,2.524180263969866e-16
159,3643.895,2.6603005480078496e-16
160,3645.429,2.449567743779081e-16
161,3646.963,2.4637602968435086e-16
162,3648.497,2.2631712898948094e-16
163,3650.031,2.430710496190363e-16
164,3651.564,2.406925548395691e-16
165,3653.098,2.3613572836789146e-16
166,3654.632,2.4278085880223267e-16
167,3656.166,2.489374253068449e-16
168,3657.7,2.334181180790953e-16
169,3659.234,2.776984321551661e-16
170,3660.768,2.6504760512509714e-16
171,3662.302,2.3847285580401427e-16
